argv,drift_max_m,entry_frame,family,fell,final_dist_m,foot_com_height_m,foot_comp,foot_gain,foot_len_bias,foot_offset_clip_m,foot_vy_avg_n,foot_yaw_bias,grid_cols,grid_rows,heading,heading_cap_rad,heading_len,heading_len_cap_rad,hip_saturated,inplace_at,level_m,n_probes,param,probe,reached,rep,run_utc,score,settle_ok,skill,spawn_x,spawn_z0_m,steps,swing_lift_mm,swing_lift_sym,t_reached_s,tau_hip_max_nm,yaw_cum_deg,yaw_moment,yaw_moment_cap_nm,yaw_moment_gain,yaw_moment_nm,yaw_ok_deg
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --results-csv outputs/yawm/grid_ab.csv,,0,step_up,1,1.2187009159270636,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.22,15,skill.STEP_TROT_MAX,step_up_0p22,0,0,2026-09-01T07:36:29Z,goal,1,TROT,0.9999999999999964,0.0,901,0.0,1,nan,14.509568214416504,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --results-csv outputs/yawm/grid_ab.csv,,0,step_up,0,1.1335646093151337,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.24,15,skill.STEP_TROT_MAX,step_up_0p24,0,0,2026-09-01T07:36:29Z,goal,1,TROT,1.0,0.0,901,0.0,1,nan,14.528310775756836,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --results-csv outputs/yawm/grid_ab.csv,,0,step_up,0,1.7453489079275701,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.26,15,skill.STEP_TROT_MAX,step_up_0p26,0,0,2026-09-01T07:36:29Z,goal,1,TROT,1.0,0.0,901,0.0,1,nan,14.57654857635498,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --results-csv outputs/yawm/grid_ab.csv,,0,step_up,1,2.133374157880506,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.28,15,skill.STEP_TROT_MAX,step_up_0p28,0,0,2026-09-01T07:36:29Z,goal,1,TROT,0.9999999999999982,0.0,901,0.0,1,nan,14.545007705688477,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --results-csv outputs/yawm/grid_ab.csv,,0,step_up,0,1.3886991318240616,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.3,15,skill.STEP_TROT_MAX,step_up_0p30,0,0,2026-09-01T07:36:29Z,goal,1,TROT,0.9999999999999964,0.0,901,0.0,1,nan,14.658554077148438,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --results-csv outputs/yawm/grid_ab.csv,,6,step_up,1,3.744331093851545,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.02,15,skill.STEP_TROT_MAX,step_up_0p02,0,1,2026-09-01T07:36:29Z,goal,1,TROT,1.0,0.0,104,0.0,1,nan,11.640765190124512,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --results-csv outputs/yawm/grid_ab.csv,,6,step_up,1,3.8016741697516774,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.04,15,skill.STEP_TROT_MAX,step_up_0p04,0,1,2026-09-01T07:36:29Z,goal,1,TROT,0.9999999999999982,0.0,104,0.0,1,nan,22.290563583374023,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --results-csv outputs/yawm/grid_ab.csv,,6,step_up,1,3.394827824165789,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.06,15,skill.STEP_TROT_MAX,step_up_0p06,0,1,2026-09-01T07:36:29Z,goal,1,TROT,0.9999999999999964,0.0,104,0.0,1,nan,13.932924270629883,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --results-csv outputs/yawm/grid_ab.csv,,6,step_up,1,3.3075932317031005,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.08,15,skill.STEP_TROT_MAX,step_up_0p08,0,1,2026-09-01T07:36:29Z,goal,1,TROT,1.0,0.0,104,0.0,1,nan,18.140443801879883,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --results-csv outputs/yawm/grid_ab.csv,,6,step_up,1,3.453604103500141,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.1,15,skill.STEP_TROT_MAX,step_up_0p10,0,1,2026-09-01T07:36:29Z,goal,1,TROT,1.0,0.0,104,0.0,1,nan,13.740245819091797,,hold,2.0,5.0,0.0,
