argv,drift_max_m,entry_frame,entry_offset,family,fell,final_dist_m,foot_com_height_m,foot_comp,foot_gain,foot_len_bias,foot_offset_clip_m,foot_vy_avg_n,foot_yaw_bias,grid_cols,grid_rows,heading,heading_cap_rad,heading_len,heading_len_cap_rad,hip_saturated,inplace_at,level_m,n_probes,param,probe,reached,rep,run_utc,score,settle_ok,skill,spawn_x,spawn_z0_m,steps,swing_lift_mm,swing_lift_sym,t_reached_s,tau_hip_max_nm,yaw_cum_deg,yaw_moment,yaw_moment_cap_nm,yaw_moment_gain,yaw_moment_nm,yaw_ok_deg
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 13 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --trace-npz outputs/yawm/trace_sB13.npz --results-csv outputs/yawm/ladder_frames.csv,,13,13,step_up,1,4.05199939461803,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.22,15,skill.STEP_TROT_MAX,step_up_0p22,0,0,2026-09-01T07:59:39Z,goal,1,TROT,0.9999999999999964,0.0,141,0.0,1,nan,20.731172561645508,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 13 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --trace-npz outputs/yawm/trace_sB13.npz --results-csv outputs/yawm/ladder_frames.csv,,13,13,step_up,1,4.070270950660095,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.24,15,skill.STEP_TROT_MAX,step_up_0p24,0,0,2026-09-01T07:59:39Z,goal,1,TROT,1.0,0.0,141,0.0,1,nan,20.787307739257812,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 13 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --trace-npz outputs/yawm/trace_sB13.npz --results-csv outputs/yawm/ladder_frames.csv,,13,13,step_up,1,4.051255017254112,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.26,15,skill.STEP_TROT_MAX,step_up_0p26,0,0,2026-09-01T07:59:39Z,goal,1,TROT,1.0,0.0,141,0.0,1,nan,20.93025016784668,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 13 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --trace-npz outputs/yawm/trace_sB13.npz --results-csv outputs/yawm/ladder_frames.csv,,13,13,step_up,1,4.017051530439986,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.28,15,skill.STEP_TROT_MAX,step_up_0p28,0,0,2026-09-01T07:59:39Z,goal,1,TROT,0.9999999999999982,0.0,141,0.0,1,nan,20.177173614501953,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 13 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --trace-npz outputs/yawm/trace_sB13.npz --results-csv outputs/yawm/ladder_frames.csv,,13,13,step_up,1,4.231183873229887,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.3,15,skill.STEP_TROT_MAX,step_up_0p30,0,0,2026-09-01T07:59:39Z,goal,1,TROT,0.9999999999999964,0.0,141,0.0,1,nan,18.48819351196289,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 1 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment off --trace-npz outputs/yawm/trace_sA1.npz --results-csv outputs/yawm/ladder_frames.csv,,1,1,step_up,1,4.681406100818085,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.02,15,skill.STEP_TROT_MAX,step_up_0p02,0,0,2026-09-01T07:59:39Z,goal,1,TROT,1.0,0.0,901,0.0,1,nan,15.756678581237793,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 1 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment off --trace-npz outputs/yawm/trace_sA1.npz --results-csv outputs/yawm/ladder_frames.csv,,1,1,step_up,1,1.9145283599309255,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.04,15,skill.STEP_TROT_MAX,step_up_0p04,0,0,2026-09-01T07:59:39Z,goal,1,TROT,0.9999999999999982,0.0,901,0.0,1,nan,14.276167869567871,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 1 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment off --trace-npz outputs/yawm/trace_sA1.npz --results-csv outputs/yawm/ladder_frames.csv,,1,1,step_up,0,1.558629985248308,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.06,15,skill.STEP_TROT_MAX,step_up_0p06,0,0,2026-09-01T07:59:39Z,goal,1,TROT,0.9999999999999964,0.0,901,0.0,1,nan,13.942312240600586,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 1 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment off --trace-npz outputs/yawm/trace_sA1.npz --results-csv outputs/yawm/ladder_frames.csv,,1,1,step_up,1,2.147248176874585,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.08,15,skill.STEP_TROT_MAX,step_up_0p08,0,0,2026-09-01T07:59:39Z,goal,1,TROT,1.0,0.0,901,0.0,1,nan,13.953874588012695,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 1 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment off --trace-npz outputs/yawm/trace_sA1.npz --results-csv outputs/yawm/ladder_frames.csv,,1,1,step_up,0,1.6604395791695408,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.1,15,skill.STEP_TROT_MAX,step_up_0p10,0,0,2026-09-01T07:59:39Z,goal,1,TROT,1.0,0.0,901,0.0,1,nan,13.939618110656738,,off,nan,0.0,0.0,
