argv,curv_deg_per_m,dt,duty,entry_turn,executed_switches,foot_comp,gate_deferrals,heading,hip_effort_limit_nm,hip_sat_frac,initial,main_skill,main_verdict,max_cmd_jump_rad,min_switch_gap_s,n_steps,pairs,planner_switches,refused_skills,refused_ticks,run_utc,schedule,seg_not_ok,seg_ok,segments,speed_gate,speed_refusals,stride_hz,switch_blend_s,switch_entry,switch_gate,tau_hip_peak_nm,term_reason,terminated_s,vx_mean,vy_mean,yaw_moment,yaw_moment_cap_nm,yaw_moment_gain,yaw_moment_nm,yaw_moment_skill,yaw_rate_deg_s
--schedule hold --initial TROT --headless --device cpu --heading heading-only --entry-offset 0 --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-nm 0.49 --yaw-moment-cap-nm 2.0 --results-csv outputs/yawm/ff.csv --trace-npz outputs/yawm/trace_ff0.npz,0.0746321536858234,0.02,0.545375,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,ok,,,2000,,0,,0,2026-09-01T07:49:30Z,hold,0,1,1,off,0,1.5625,0.0,contact,off,11.90496,,,0.6616206169128418,0.02867269143462181,hold,2.0,5.0,0.49,TROT,-0.0493781715631485
--schedule hold --initial TROT --headless --device cpu --heading heading-only --entry-offset 16 --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-nm 0.49 --yaw-moment-cap-nm 2.0 --results-csv outputs/yawm/ff.csv --trace-npz outputs/yawm/trace_ff16.npz,0.19456620835287414,0.02,0.546125,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,ok,,,2000,,0,,0,2026-09-01T07:49:30Z,hold,0,1,1,off,0,1.5625,0.0,contact,off,14.61711,,,0.6624157428741455,0.03144539147615433,hold,2.0,5.0,0.49,TROT,0.1288837194442749
--schedule hold --initial TROT --headless --device cpu --heading heading-only --entry-offset 17 --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-nm 0.49 --yaw-moment-cap-nm 2.0 --results-csv outputs/yawm/ff.csv --trace-npz outputs/yawm/trace_ff17.npz,0.13294468192646425,0.02,0.5495,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,ok,,,2000,,0,,0,2026-09-01T07:49:30Z,hold,0,1,1,off,0,1.5625,0.0,contact,off,14.116159,,,0.6610969305038452,0.03358713537454605,hold,2.0,5.0,0.49,TROT,0.08788932114839554
