argv,curv_deg_per_m,dt,duty,entry_turn,executed_switches,foot_comp,gate_deferrals,heading,hip_effort_limit_nm,hip_sat_frac,initial,main_skill,main_verdict,max_cmd_jump_rad,min_switch_gap_s,n_steps,pairs,planner_switches,refused_skills,refused_ticks,run_utc,schedule,seg_not_ok,seg_ok,segments,speed_gate,speed_refusals,stride_hz,switch_blend_s,switch_entry,switch_gate,tau_hip_peak_nm,term_reason,terminated_s,vx_mean,vy_mean,yaw_moment,yaw_moment_cap_nm,yaw_moment_gain,yaw_moment_nm,yaw_moment_skill,yaw_rate_deg_s
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase32.csv --entry-offset 4 --yaw-moment off,107.64506567270254,0.02,0.5038461538461538,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,ok,,,130,,0,,0,2026-09-01T07:42:46Z,hold,0,1,1,off,0,1.5384615384615383,0.0,contact,off,0.0,roll,2.58,0.24233300983905792,-0.1865142285823822,off,nan,0.0,0.0,TROT,-26.085952758789062
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase32.csv --entry-offset 6 --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0,19.68360927626756,0.02,0.494,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,FAIL,,,125,,0,,0,2026-09-01T07:42:46Z,hold,1,0,1,off,0,2.0833333333333335,0.0,contact,off,13.795054,roll,2.48,0.42224007844924927,-0.1736152023077011,hold,2.0,5.0,0.0,TROT,-8.311208724975586
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase32.csv --entry-offset 4 --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0,103.45574371492941,0.02,0.541095890410959,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,ok,,,146,,0,,0,2026-09-01T07:42:46Z,hold,0,1,1,off,0,1.5625,0.0,contact,off,19.424496,roll,2.9,0.16850095987319946,0.12954920530319214,hold,2.0,5.0,0.0,TROT,17.432392120361328
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase32.csv --entry-offset 0 --yaw-moment off,3.2044688992401897,0.02,0.551875,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,ok,,,2000,,0,,0,2026-09-01T07:42:46Z,hold,0,1,1,off,0,1.5625,0.0,contact,off,0.0,,,0.662945568561554,0.044927582144737244,off,nan,0.0,0.0,TROT,2.1243884563446045
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase32.csv --entry-offset 0 --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0,0.01393141631497434,0.02,0.547875,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,ok,,,2000,,0,,0,2026-09-01T07:42:46Z,hold,0,1,1,off,0,1.5625,0.0,contact,off,11.950871,,,0.6638371348381042,0.04386506602168083,hold,2.0,5.0,0.0,TROT,0.009248191490769386
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase32.csv --entry-offset 9 --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0,866.2396781523275,0.02,0.4695121951219512,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,FAIL,,,41,,0,,0,2026-09-01T07:43:28Z,hold,1,0,1,off,0,nan,0.0,contact,off,12.910056,roll,0.8,0.07471515238285065,0.396072655916214,hold,2.0,5.0,0.0,TROT,64.72122955322266
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase32.csv --entry-offset 12 --yaw-moment off,367.5380401688683,0.02,0.5104166666666666,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,FAIL,,,48,,0,,0,2026-09-01T07:43:28Z,hold,1,0,1,off,0,2.6315789473684212,0.0,contact,off,0.0,roll,0.9400000000000001,0.15781430900096893,0.33733925223350525,off,nan,0.0,0.0,TROT,58.00276184082031
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase32.csv --entry-offset 9 --yaw-moment off,804.6526705096466,0.02,0.4634146341463415,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,FAIL,,,41,,0,,0,2026-09-01T07:43:28Z,hold,1,0,1,off,0,nan,0.0,contact,off,0.0,roll,0.8,0.08658461272716522,0.4046873152256012,off,nan,0.0,0.0,TROT,69.67053985595703
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase32.csv --entry-offset 13 --yaw-moment off,408.9924553522611,0.02,0.5106382978723404,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,FAIL,,,47,,0,,0,2026-09-01T07:43:28Z,hold,1,0,1,off,0,2.6315789473684212,0.0,contact,off,0.0,roll,0.92,0.1473061889410019,0.34864526987075806,off,nan,0.0,0.0,TROT,60.24711990356445
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase32.csv --entry-offset 14 --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0,425.69227254032813,0.02,0.5625,rule,0,on,0,heading-only,23.700000762939453,0.11363636363636363,TROT,TROT,FAIL,,,44,,0,,0,2026-09-01T07:43:28Z,hold,1,0,1,off,0,nan,0.0,contact,off,23.7,roll,0.86,0.15130209922790527,0.3781130015850067,hold,2.0,5.0,0.0,TROT,64.40813446044922
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase32.csv --entry-offset 13 --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0,409.82478215996684,0.02,0.5489130434782609,rule,0,on,0,heading-only,23.700000762939453,0.10869565217391304,TROT,TROT,FAIL,,,46,,0,,0,2026-09-01T07:43:28Z,hold,1,0,1,off,0,nan,0.0,contact,off,23.7,roll,0.9,0.14043883979320526,0.36008259654045105,hold,2.0,5.0,0.0,TROT,57.55531692504883
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase32.csv --entry-offset 10 --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0,445.2818316154553,0.02,0.5625,rule,0,on,0,heading-only,23.700000762939453,0.0625,TROT,TROT,FAIL,,,48,,0,,0,2026-09-01T07:43:28Z,hold,1,0,1,off,0,nan,0.0,contact,off,23.7,roll,0.9400000000000001,0.12610070407390594,0.3700789511203766,hold,2.0,5.0,0.0,TROT,56.150352478027344
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase32.csv --entry-offset 15 --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0,47.77724864206475,0.02,0.49,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,FAIL,,,100,,0,,0,2026-09-01T07:43:28Z,hold,1,0,1,off,0,nan,0.0,contact,off,18.30338,roll,1.98,0.28862226009368896,0.26302093267440796,hold,2.0,5.0,0.0,TROT,13.78957748413086
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase32.csv --entry-offset 10 --yaw-moment off,485.9438554778732,0.02,0.5416666666666666,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,FAIL,,,48,,0,,0,2026-09-01T07:43:29Z,hold,1,0,1,off,0,nan,0.0,contact,off,0.0,roll,0.9400000000000001,0.1292814463376999,0.36028191447257996,off,nan,0.0,0.0,TROT,62.823524475097656
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase32.csv --entry-offset 11 --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0,366.4821209968975,0.02,0.5052083333333334,rule,0,on,0,heading-only,23.700000762939453,0.125,TROT,TROT,FAIL,,,48,,0,,0,2026-09-01T07:43:28Z,hold,1,0,1,off,0,2.6315789473684212,0.0,contact,off,23.7,roll,0.9400000000000001,0.15204574167728424,0.355167031288147,hold,2.0,5.0,0.0,TROT,55.7220458984375
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase32.csv --entry-offset 11 --yaw-moment off,370.362682333387,0.02,0.49489795918367346,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,FAIL,,,49,,0,,0,2026-09-01T07:43:29Z,hold,1,0,1,off,0,2.7777777777777777,0.0,contact,off,0.0,roll,0.96,0.15509836375713348,0.3447399139404297,off,nan,0.0,0.0,TROT,57.44264602661133
