task,task_name,level,episode,goals,settle_ok,heading,heading_cap_rad,final_x_m,final_y_m,travelled_m,dist_to_next_goal_m,dist_to_last_goal_m,alive_at_end,end_cause,upright_s,yaw_cum_deg,yaw_rate_deg_s,base_h_max_m,vx_mean_ms,vy_mean_ms,cross_track_m,cross_track_abs_max_m,curvature_rad_m,fell,episode_s,end_roll_deg,end_pitch_deg,peak_roll_deg,peak_pitch_deg,switches,refused_ticks,steps_alive,frac_WALK,frac_TROT,frac_TURN,yaw_moment,yaw_moment_gain,terrain,planner_set,perception,turn_target,swing_lift_mm,foot_yaw_turn,roll_couple,roll_gain,roll_damp,roll_cap_nm,roll_sign,partial,skill,start_phase,foot_comp,steps,terrain_seed,measurement_seed,episode_length_s,episodes,num_envs,rate,gutter,spawn_z,settle_s,foot_clip_rad,steering,cross_track,cross_track_gain,cross_track_cap,cmd_mean_feet_down,cmd_frac_below_3_feet
0,jump_on_and_off_box,0,0,1,1,heading-only,0.04,1.3323711156845093,2.655036449432373,0.7345361179862671,1.3693100570737162,16.780418682268216,0,roll,16.02,43.99248871762191,2.746097922448309,0.326286256313324,0.02074726065446375,0.040888667255454,0.6556887626647949,0.18158550278025815,2.3101098080910814,1,16.02,-91.14303170384026,0.17095378370520667,91.14303170384026,16.76029225096572,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,hold,8.0,0.8,2.0,1.0,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.15,dead-reckoned-heading-hold,off,,,2.649,0.5676
0,jump_on_and_off_box,1,0,1,1,heading-only,0.04,1.458322143554689,1.5212900638580322,0.6627385534534804,1.14416215718272,16.44864535267525,0,roll,11.02,-30.4213253331844,-2.7605558378570234,0.3292739689350128,0.041590031175561606,-0.04344010309818219,-0.4758723974227905,0.29426263926153534,-1.1584696426981023,1,11.02,87.60082686972146,2.891091409611354,87.60082686972146,17.47960082220161,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,hold,8.0,0.8,2.0,1.0,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.15,dead-reckoned-heading-hold,off,,,2.649,0.5676
0,jump_on_and_off_box,2,0,1,1,heading-only,0.04,1.4438354492187528,2.7444612979888916,0.8667251756967241,1.2645147526421843,15.873631496467816,0,roll,7.5200000000000005,26.440877854954778,3.516074182839731,0.33086007833480835,0.059020671438663935,0.0989975130304377,0.7335443496704102,0.39483979981865674,1.0397555591805987,1,7.5200000000000005,-87.09615594992219,10.803611717843104,87.09615594992219,13.38956330063122,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,hold,8.0,0.8,2.0,1.0,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.15,dead-reckoned-heading-hold,off,,,2.649,0.5676
0,jump_on_and_off_box,3,0,1,1,heading-only,0.04,1.6965911865234489,1.822413444519043,0.7188715224779302,0.8732982098112168,15.404432480937897,1,timeout,20.0,-32.36097123972141,-1.6180485619860705,0.32548877596855164,0.034829559326172446,-0.008879327774047851,-0.16940808296203613,0.35590333735436985,-0.8108134415182083,0,20.0,-1.5673860335321363,-7.882719922078715,10.716821419901263,12.398177220456148,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,hold,8.0,0.8,2.0,1.0,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.15,dead-reckoned-heading-hold,off,,,2.649,0.5676
0,jump_on_and_off_box,4,0,1,1,heading-only,0.04,1.3609527587890682,1.197318196296692,0.8801050914940983,1.4473239982942065,16.059119978497968,0,roll,12.82,-42.88509801954905,-3.345171452382921,0.3279380202293396,0.028155441403203446,-0.06261168515626428,-0.821250319480896,0.450873377083828,-2.07364022647359,1,12.82,88.53936893331024,-8.402376073585335,88.53936893331024,14.107073903039609,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,hold,8.0,0.8,2.0,1.0,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.15,dead-reckoned-heading-hold,off,,,2.649,0.5676
0,jump_on_and_off_box,5,0,0,1,heading-only,0.04,0.8793487548828125,1.3448069095611572,0.6662092079122963,0.9024887555112899,15.984085184298843,0,roll,2.6,-6.019431781136888,-2.3151660696680336,0.32010865211486816,-0.046404325045072116,-0.251997342476478,-0.653328537940979,0.4106693565619969,0.870765184213247,1,2.6,88.08277768495851,5.281246362541788,88.08277768495851,12.255523394480013,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,hold,8.0,0.8,2.0,1.0,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.15,dead-reckoned-heading-hold,off,,,2.649,0.5676
0,jump_on_and_off_box,6,0,1,1,heading-only,0.04,1.6411224365234602,2.0963046550750732,0.6483151742809258,0.9475410851420671,14.559196079965727,1,timeout,20.0,7.010643569539383,0.35053217847696916,0.32764244079589844,0.03205612182617301,0.004815232753753662,0.09712016582489014,0.07221922303704756,0.19085092955993105,0,20.0,5.170924620365313,-2.67801687471662,8.371804927269375,4.8600163491996895,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,hold,8.0,0.8,2.0,1.0,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.15,dead-reckoned-heading-hold,off,,,2.649,0.5676
0,jump_on_and_off_box,7,0,1,1,heading-only,0.04,1.377459716796892,1.4321210384368896,0.6818814800171555,1.276253421544041,15.08323430514049,0,roll,11.94,-31.772572511034127,-2.6610194732859402,0.3193027675151825,0.031613041607779904,-0.04756105205721192,-0.6028904914855957,0.3856448942874385,-1.4691263132711434,1,11.94,86.95932312400997,-9.805211760660525,86.95932312400997,13.552172922891597,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,hold,8.0,0.8,2.0,1.0,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.15,dead-reckoned-heading-hold,off,,,2.649,0.5676
0,jump_on_and_off_box,8,0,0,1,heading-only,0.04,0.8464782714843864,2.5488290786743164,0.5698967263679628,0.8534072927040959,15.41329604589658,0,roll,3.6,26.801350177466333,7.444819493740647,0.33906617760658264,-0.042644924587670455,0.15245252185397679,0.5693813562393188,0.3695899904933173,-3.046942013352724,1,3.6,-87.97163455490217,5.786676182951662,87.97163455490217,11.253600006797505,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,hold,8.0,0.8,2.0,1.0,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.15,dead-reckoned-heading-hold,off,,,2.649,0.5676
0,jump_on_and_off_box,9,0,1,1,heading-only,0.04,1.677801513671909,1.5257359743118286,0.8272492115426171,0.9084162117854138,13.730391752031196,1,timeout,20.0,-60.58614042799843,-3.0293070213999216,0.33348238468170166,0.03389007568359546,-0.02371320128440857,-0.4703561067581177,0.49295572790973774,-1.560084494081063,0,20.0,9.0071860948707,-6.368078465202262,13.802034202910951,9.522893760636451,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,hold,8.0,0.8,2.0,1.0,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.15,dead-reckoned-heading-hold,off,,,2.649,0.5676
