task,task_name,level,episode,goals,settle_ok,heading,heading_cap_rad,final_x_m,final_y_m,travelled_m,dist_to_next_goal_m,dist_to_last_goal_m,alive_at_end,end_cause,upright_s,yaw_cum_deg,yaw_rate_deg_s,base_h_max_m,vx_mean_ms,end_roll_deg,end_pitch_deg,peak_roll_deg,peak_pitch_deg,switches,refused_ticks,steps_alive,frac_WALK,frac_TROT,frac_TURN,yaw_moment,yaw_moment_gain,terrain,planner_set,perception,turn_target,swing_lift_mm,foot_yaw_turn,roll_couple,roll_gain,roll_damp,roll_cap_nm,roll_sign,partial,skill,start_phase,foot_comp,steps
0,jump_on_and_off_box,0,0,1,1,off,0.0,1.389930009841919,2.509528398513794,0.6416109424467062,1.2477891435741038,16.717836530630205,0,roll,7.6000000000000005,42.19729892510213,5.552276174355543,0.32736727595329285,0.05130658024235775,-90.39151038199223,0.12202686908915988,90.39151038199223,19.599226608922187,,,,,,,off,5.0,legged_eval-seed1-no-roughness,,n/a,settle,0.0,auto,hold,8.0,0.8,2.0,1.0,0,WALK,first,on,1000
0,jump_on_and_off_box,1,0,1,1,off,0.0,1.2992492675781264,2.458657741546631,0.5476468278249232,1.3222440757987894,16.607085590310117,0,roll,7.62,53.86885390575284,7.069403399705098,0.3287837505340576,0.039271557424950976,-89.32072194794667,3.3107827596211425,89.32072194794667,17.809148443385585,,,,,,,off,5.0,legged_eval-seed1-no-roughness,,n/a,settle,0.0,auto,hold,8.0,0.8,2.0,1.0,0,WALK,first,on,1000
0,jump_on_and_off_box,2,0,1,1,off,0.0,2.195857238769534,0.38535213470458984,2.009269087111161,1.6658361482059882,15.190201324555696,1,timeout,20.0,-59.258948624764145,-2.962947431238207,0.32635313272476196,0.0597928619384767,-5.024343207444403,-6.224876405208558,11.604571560682183,7.7047127385336145,,,,,,,off,5.0,legged_eval-seed1-no-roughness,,n/a,settle,0.0,auto,hold,8.0,0.8,2.0,1.0,0,WALK,first,on,1000
0,jump_on_and_off_box,3,0,1,1,off,0.0,1.8517196655273551,1.1362534761428833,1.213047586091033,1.1009974993484144,15.272724420225105,1,timeout,20.0,-69.39878229704692,-3.469939114852346,0.32709643244743347,0.042585983276367756,-2.713674319750284,-2.7620297803781333,12.587774469501278,9.323815837509901,,,,,,,off,5.0,legged_eval-seed1-no-roughness,,n/a,settle,0.0,auto,hold,8.0,0.8,2.0,1.0,0,WALK,first,on,1000
0,jump_on_and_off_box,4,0,1,1,off,0.0,1.6878112792968807,1.730299949645996,0.7387979920715566,0.9460944411999842,15.714503253751023,1,timeout,20.0,-49.259012082277906,-2.462950604113895,0.32361242175102234,0.03439056396484404,8.650375089164752,-4.8815555651737705,9.230414883054301,7.174368137014482,,,,,,,off,5.0,legged_eval-seed1-no-roughness,,n/a,settle,0.0,auto,hold,8.0,0.8,2.0,1.0,0,WALK,first,on,1000
0,jump_on_and_off_box,5,0,1,1,off,0.0,1.735107421875,1.476477861404419,0.9024734629314038,0.9369611331620189,15.123956264081754,1,timeout,20.0,-71.35544853530473,-3.5677724267652366,0.3253081738948822,0.03675537109375,4.218858549583429,-2.751630237301135,10.066808211403885,7.69216613325942,,,,,,,off,5.0,legged_eval-seed1-no-roughness,,n/a,settle,0.0,auto,hold,8.0,0.8,2.0,1.0,0,WALK,first,on,1000
0,jump_on_and_off_box,6,0,1,1,off,0.0,1.6835876464843977,1.7101459503173828,0.7425008017123558,0.9398800010976367,14.519305871405061,1,timeout,20.0,-52.398814597582174,-2.619940729879109,0.32245051860809326,0.03417938232421989,8.494554817804117,-4.724414823945634,9.562768172400023,7.78847807707414,,,,,,,off,5.0,legged_eval-seed1-no-roughness,,n/a,settle,0.0,auto,hold,8.0,0.8,2.0,1.0,0,WALK,first,on,1000
0,jump_on_and_off_box,7,0,1,1,off,0.0,1.704852294921892,1.7751679420471191,0.7398420182309096,0.8537706049523874,14.746861710169185,1,timeout,20.0,-43.60656242850371,-2.1803281214251853,0.3215809762477875,0.0352426147460946,5.766662101532814,-2.750532006537819,9.35990922621776,7.456116905318021,,,,,,,off,5.0,legged_eval-seed1-no-roughness,,n/a,settle,0.0,auto,hold,8.0,0.8,2.0,1.0,0,WALK,first,on,1000
0,jump_on_and_off_box,8,0,1,1,off,0.0,1.6620605468750114,1.8577831983566284,0.6771630426995475,0.7415043703436263,14.588632667481564,1,timeout,20.0,-29.751470693554012,-1.4875735346777006,0.32324862480163574,0.03310302734375057,7.366473828206228,-5.076969971393286,9.003365597590113,7.257007909264458,,,,,,,off,5.0,legged_eval-seed1-no-roughness,,n/a,settle,0.0,auto,hold,8.0,0.8,2.0,1.0,0,WALK,first,on,1000
0,jump_on_and_off_box,9,0,1,1,off,0.0,1.703161621093784,1.765844464302063,0.7411242003046631,0.7732064471780543,13.698839746225795,1,timeout,20.0,-44.752585896358596,-2.2376292948179297,0.3221759796142578,0.035158081054689205,7.049814373622609,-1.842672810822477,10.83871952203375,8.071486335990024,,,,,,,off,5.0,legged_eval-seed1-no-roughness,,n/a,settle,0.0,auto,hold,8.0,0.8,2.0,1.0,0,WALK,first,on,1000
