argv,drift_max_m,entry_frame,entry_frame_arg,family,fell,final_dist_m,foot_com_height_m,foot_comp,foot_gain,foot_len_bias,foot_offset_clip_m,foot_vy_avg_n,foot_yaw_bias,grid_cols,grid_rows,heading,heading_cap_rad,heading_len,heading_len_cap_rad,hip_saturated,inplace_at,level_m,n_probes,param,probe,reached,rep,run_utc,score,settle_ok,skill,spawn_x,spawn_z0_m,steps,swing_lift_mm,swing_lift_sym,t_reached_s,tau_hip_max_nm,yaw_cum_deg,yaw_moment,yaw_moment_cap_nm,yaw_moment_gain,yaw_moment_nm,yaw_ok_deg
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 0 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --swing-lift 70 --trace-npz outputs/lift/trace_trot70_0.npz --results-csv outputs/lift/lift.csv,,0,0,step_up,1,3.5322303317723143,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.22,15,skill.STEP_TROT_MAX,step_up_0p22,0,0,2026-09-01T08:26:40Z,goal,1,TROT,0.9999999999999964,0.0,98,70.0,1,nan,15.554190635681152,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 0 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --swing-lift 70 --trace-npz outputs/lift/trace_trot70_0.npz --results-csv outputs/lift/lift.csv,,0,0,step_up,1,3.5716449667463745,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.24,15,skill.STEP_TROT_MAX,step_up_0p24,0,0,2026-09-01T08:26:40Z,goal,1,TROT,1.0,0.0,98,70.0,1,nan,14.826859474182129,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 0 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --swing-lift 70 --trace-npz outputs/lift/trace_trot70_0.npz --results-csv outputs/lift/lift.csv,,0,0,step_up,1,3.527239665333399,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.26,15,skill.STEP_TROT_MAX,step_up_0p26,0,0,2026-09-01T08:26:40Z,goal,1,TROT,1.0,0.0,98,70.0,1,nan,18.141193389892578,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 0 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --swing-lift 70 --trace-npz outputs/lift/trace_trot70_0.npz --results-csv outputs/lift/lift.csv,,0,0,step_up,1,3.5320056193683014,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.28,15,skill.STEP_TROT_MAX,step_up_0p28,0,0,2026-09-01T08:26:40Z,goal,1,TROT,0.9999999999999982,0.0,98,70.0,1,nan,15.744311332702637,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 0 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --swing-lift 70 --trace-npz outputs/lift/trace_trot70_0.npz --results-csv outputs/lift/lift.csv,,0,0,step_up,1,3.548217281586423,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.3,15,skill.STEP_TROT_MAX,step_up_0p30,0,0,2026-09-01T08:26:40Z,goal,1,TROT,0.9999999999999964,0.0,98,70.0,1,nan,16.499740600585938,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 16 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --swing-lift 70 --trace-npz outputs/lift/trace_trot70_16.npz --results-csv outputs/lift/lift.csv,,16,16,step_up,1,3.7558362133151415,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.02,15,skill.STEP_TROT_MAX,step_up_0p02,0,0,2026-09-01T08:26:40Z,goal,1,TROT,1.0,0.0,86,70.0,1,nan,17.20728874206543,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 16 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --swing-lift 70 --trace-npz outputs/lift/trace_trot70_16.npz --results-csv outputs/lift/lift.csv,,16,16,step_up,1,3.8033121445801554,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.04,15,skill.STEP_TROT_MAX,step_up_0p04,0,0,2026-09-01T08:26:40Z,goal,1,TROT,0.9999999999999982,0.0,86,70.0,1,nan,19.500263214111328,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 16 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --swing-lift 70 --trace-npz outputs/lift/trace_trot70_16.npz --results-csv outputs/lift/lift.csv,,16,16,step_up,1,3.7530902939421544,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.06,15,skill.STEP_TROT_MAX,step_up_0p06,0,0,2026-09-01T08:26:40Z,goal,1,TROT,0.9999999999999964,0.0,86,70.0,1,nan,17.176963806152344,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 16 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --swing-lift 70 --trace-npz outputs/lift/trace_trot70_16.npz --results-csv outputs/lift/lift.csv,,16,16,step_up,1,3.7589120650243095,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.08,15,skill.STEP_TROT_MAX,step_up_0p08,0,0,2026-09-01T08:26:40Z,goal,1,TROT,1.0,0.0,86,70.0,1,nan,17.16045379638672,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 16 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --swing-lift 70 --trace-npz outputs/lift/trace_trot70_16.npz --results-csv outputs/lift/lift.csv,,16,16,step_up,1,3.7590097898618864,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.1,15,skill.STEP_TROT_MAX,step_up_0p10,0,0,2026-09-01T08:26:40Z,goal,1,TROT,1.0,0.0,86,70.0,1,nan,17.181360244750977,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 16 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --swing-lift 70 --trace-npz outputs/lift/trace_trot70_16.npz --results-csv outputs/lift/lift.csv,,16,16,step_up,1,3.772748525873364,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.12,15,skill.STEP_TROT_MAX,step_up_0p12,0,0,2026-09-01T08:26:40Z,goal,1,TROT,0.9999999999999982,0.0,86,70.0,1,nan,18.12302017211914,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 16 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --swing-lift 70 --trace-npz outputs/lift/trace_trot70_16.npz --results-csv outputs/lift/lift.csv,,16,16,step_up,1,3.758610716440874,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.14,15,skill.STEP_TROT_MAX,step_up_0p14,0,0,2026-09-01T08:26:40Z,goal,1,TROT,0.9999999999999964,0.0,86,70.0,1,nan,17.387451171875,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 16 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --swing-lift 70 --trace-npz outputs/lift/trace_trot70_16.npz --results-csv outputs/lift/lift.csv,,16,16,step_up,1,3.750438854833041,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.16,15,skill.STEP_TROT_MAX,step_up_0p16,0,0,2026-09-01T08:26:40Z,goal,1,TROT,1.0,0.0,86,70.0,1,nan,16.99628257751465,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 16 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --swing-lift 70 --trace-npz outputs/lift/trace_trot70_16.npz --results-csv outputs/lift/lift.csv,,16,16,step_up,1,3.7638327314028888,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.18,15,skill.STEP_TROT_MAX,step_up_0p18,0,0,2026-09-01T08:26:40Z,goal,1,TROT,1.0,0.0,86,70.0,1,nan,17.496047973632812,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 16 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --swing-lift 70 --trace-npz outputs/lift/trace_trot70_16.npz --results-csv outputs/lift/lift.csv,,16,16,step_up,1,3.763316536617842,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.2,15,skill.STEP_TROT_MAX,step_up_0p20,0,0,2026-09-01T08:26:40Z,goal,1,TROT,0.9999999999999982,0.0,86,70.0,1,nan,17.262304306030273,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 16 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --swing-lift 70 --trace-npz outputs/lift/trace_trot70_16.npz --results-csv outputs/lift/lift.csv,,16,16,step_up,1,3.7625625096726583,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.22,15,skill.STEP_TROT_MAX,step_up_0p22,0,0,2026-09-01T08:26:40Z,goal,1,TROT,0.9999999999999964,0.0,86,70.0,1,nan,17.725208282470703,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 16 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --swing-lift 70 --trace-npz outputs/lift/trace_trot70_16.npz --results-csv outputs/lift/lift.csv,,16,16,step_up,1,3.7820782588904347,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.24,15,skill.STEP_TROT_MAX,step_up_0p24,0,0,2026-09-01T08:26:40Z,goal,1,TROT,1.0,0.0,86,70.0,1,nan,17.841205596923828,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 16 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --swing-lift 70 --trace-npz outputs/lift/trace_trot70_16.npz --results-csv outputs/lift/lift.csv,,16,16,step_up,1,3.7591583564897664,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.26,15,skill.STEP_TROT_MAX,step_up_0p26,0,0,2026-09-01T08:26:40Z,goal,1,TROT,1.0,0.0,86,70.0,1,nan,17.497575759887695,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 16 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --swing-lift 70 --trace-npz outputs/lift/trace_trot70_16.npz --results-csv outputs/lift/lift.csv,,16,16,step_up,1,3.762708936917179,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.28,15,skill.STEP_TROT_MAX,step_up_0p28,0,0,2026-09-01T08:26:40Z,goal,1,TROT,0.9999999999999982,0.0,86,70.0,1,nan,17.59383773803711,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 16 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --swing-lift 70 --trace-npz outputs/lift/trace_trot70_16.npz --results-csv outputs/lift/lift.csv,,16,16,step_up,1,3.7702332367318085,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.3,15,skill.STEP_TROT_MAX,step_up_0p30,0,0,2026-09-01T08:26:40Z,goal,1,TROT,0.9999999999999964,0.0,86,70.0,1,nan,17.954044342041016,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 16 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --swing-lift 60 --trace-npz outputs/lift/trace_trot60_16.npz --results-csv outputs/lift/lift.csv,,16,16,step_up,1,3.732482346343579,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.02,15,skill.STEP_TROT_MAX,step_up_0p02,0,0,2026-09-01T08:26:40Z,goal,1,TROT,1.0,0.0,88,60.0,1,nan,18.170068740844727,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 16 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --swing-lift 60 --trace-npz outputs/lift/trace_trot60_16.npz --results-csv outputs/lift/lift.csv,,16,16,step_up,1,3.7342805851225456,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.04,15,skill.STEP_TROT_MAX,step_up_0p04,0,0,2026-09-01T08:26:40Z,goal,1,TROT,0.9999999999999982,0.0,88,60.0,1,nan,18.16649055480957,,hold,2.0,5.0,0.0,
