argv,drift_max_m,entry_frame,family,fell,final_dist_m,foot_comp,grid_cols,grid_rows,heading,heading_cap_rad,heading_len,heading_len_cap_rad,inplace_at,level_m,n_probes,param,probe,reached,rep,run_utc,score,skill,spawn_x,spawn_z0_m,steps,swing_lift_mm,swing_lift_sym,t_reached_s,yaw_cum_deg,yaw_ok_deg
--headless --device cpu --probes data/calibration_probes_v2.npz --params skill.SLOPE_WALK_MAX skill.ROUGHNESS_TROT_MAX --reps 5 --foot-comp on --heading heading-only --trace-npz outputs/trace_v2_walk.npz --results-csv outputs/v2_slope_rough.csv,,0,roughness,1,2.040501718142877,on,5,4,heading-only,0.0,0,0.04,obstacle,0.025,20,skill.ROUGHNESS_TROT_MAX,roughness_0p03,0,0,2026-08-31T02:22:09Z,goal,TROT,0.9999999999999964,0.0,1849,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --params skill.SLOPE_WALK_MAX skill.ROUGHNESS_TROT_MAX --reps 5 --foot-comp on --heading heading-only --trace-npz outputs/trace_v2_walk.npz --results-csv outputs/v2_slope_rough.csv,,0,roughness,1,1.6864069139209563,on,5,4,heading-only,0.0,0,0.04,obstacle,0.03,20,skill.ROUGHNESS_TROT_MAX,roughness_0p03,0,0,2026-08-31T02:22:09Z,goal,TROT,1.0,0.0,1849,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --params skill.SLOPE_WALK_MAX skill.ROUGHNESS_TROT_MAX --reps 5 --foot-comp on --heading heading-only --trace-npz outputs/trace_v2_walk.npz --results-csv outputs/v2_slope_rough.csv,,0,roughness,1,2.3699058322160784,on,5,4,heading-only,0.0,0,0.04,obstacle,0.035,20,skill.ROUGHNESS_TROT_MAX,roughness_0p04,0,0,2026-08-31T02:22:09Z,goal,TROT,0.9999999999999929,0.0,1849,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --params skill.SLOPE_WALK_MAX skill.ROUGHNESS_TROT_MAX --reps 5 --foot-comp on --heading heading-only --trace-npz outputs/trace_v2_walk.npz --results-csv outputs/v2_slope_rough.csv,,0,roughness,1,2.4306618715579096,on,5,4,heading-only,0.0,0,0.04,obstacle,0.04,20,skill.ROUGHNESS_TROT_MAX,roughness_0p04,0,0,2026-08-31T02:22:09Z,goal,TROT,1.0,0.0,1849,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --params skill.SLOPE_WALK_MAX skill.ROUGHNESS_TROT_MAX --reps 5 --foot-comp on --heading heading-only --trace-npz outputs/trace_v2_walk.npz --results-csv outputs/v2_slope_rough.csv,,0,roughness,1,3.191187162208858,on,5,4,heading-only,0.0,0,0.04,obstacle,0.045,20,skill.ROUGHNESS_TROT_MAX,roughness_0p04,0,0,2026-08-31T02:22:09Z,goal,TROT,0.9999999999999982,0.0,1849,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --params skill.SLOPE_WALK_MAX skill.ROUGHNESS_TROT_MAX --reps 5 --foot-comp on --heading heading-only --trace-npz outputs/trace_v2_walk.npz --results-csv outputs/v2_slope_rough.csv,,0,roughness,1,2.609620060412023,on,5,4,heading-only,0.0,0,0.04,obstacle,0.05,20,skill.ROUGHNESS_TROT_MAX,roughness_0p05,0,0,2026-08-31T02:22:09Z,goal,TROT,0.9999999999999964,0.0,1849,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --params skill.SLOPE_WALK_MAX skill.ROUGHNESS_TROT_MAX --reps 5 --foot-comp on --heading heading-only --trace-npz outputs/trace_v2_walk.npz --results-csv outputs/v2_slope_rough.csv,,0,roughness,1,3.204680200431041,on,5,4,heading-only,0.0,0,0.04,obstacle,0.055,20,skill.ROUGHNESS_TROT_MAX,roughness_0p06,0,0,2026-08-31T02:22:09Z,goal,TROT,1.0,0.0,1849,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --params skill.SLOPE_WALK_MAX skill.ROUGHNESS_TROT_MAX --reps 5 --foot-comp on --heading heading-only --trace-npz outputs/trace_v2_walk.npz --results-csv outputs/v2_slope_rough.csv,,0,roughness,1,2.889461502418255,on,5,4,heading-only,0.0,0,0.04,obstacle,0.06,20,skill.ROUGHNESS_TROT_MAX,roughness_0p06,0,0,2026-08-31T02:22:09Z,goal,TROT,0.9999999999999929,0.0,1849,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --params skill.SLOPE_WALK_MAX skill.ROUGHNESS_TROT_MAX --reps 5 --foot-comp on --heading heading-only --trace-npz outputs/trace_v2_walk.npz --results-csv outputs/v2_slope_rough.csv,,7,slope,1,1.7485403689373997,on,5,4,heading-only,0.0,0,0.04,obstacle,5.0,20,skill.SLOPE_WALK_MAX,slope_5p00,0,1,2026-08-31T02:22:09Z,goal,WALK,1.0,0.0,1816,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --params skill.SLOPE_WALK_MAX skill.ROUGHNESS_TROT_MAX --reps 5 --foot-comp on --heading heading-only --trace-npz outputs/trace_v2_walk.npz --results-csv outputs/v2_slope_rough.csv,,7,slope,1,2.700232592810617,on,5,4,heading-only,0.0,0,0.04,obstacle,10.0,20,skill.SLOPE_WALK_MAX,slope_10p00,0,1,2026-08-31T02:22:09Z,goal,WALK,0.9999999999999982,0.0,1816,0.0,1,nan,,
