argv,entry_frame,family,fell,final_dist_m,foot_comp,grid_cols,grid_rows,level_m,n_probes,param,probe,reached,rep,run_utc,skill,steps,swing_lift_mm,t_reached_s
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,0,step_up,1,19.735909108239756,on,6,5,0.02,30,skill.STEP_WALK_MAX,step_up_0p02,1,0,2026-08-29T15:37:51Z,WALK,2140,0.0,16.92
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,0,step_up,1,1.281654013268112,on,6,5,0.04,30,skill.STEP_WALK_MAX,step_up_0p04,0,0,2026-08-29T15:37:51Z,WALK,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,0,step_up,1,1.657204991597118,on,6,5,0.06,30,skill.STEP_WALK_MAX,step_up_0p06,0,0,2026-08-29T15:37:51Z,WALK,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,0,step_up,1,1.8179232770840317,on,6,5,0.08,30,skill.STEP_WALK_MAX,step_up_0p08,0,0,2026-08-29T15:37:51Z,WALK,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,0,step_up,1,1.5845866779323845,on,6,5,0.1,30,skill.STEP_WALK_MAX,step_up_0p10,0,0,2026-08-29T15:37:51Z,WALK,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,0,step_up,1,1.7520409644000552,on,6,5,0.12,30,skill.STEP_WALK_MAX,step_up_0p12,0,0,2026-08-29T15:37:51Z,WALK,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,0,step_up,1,1.7994400690394259,on,6,5,0.14,30,skill.STEP_WALK_MAX,step_up_0p14,0,0,2026-08-29T15:37:51Z,WALK,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,0,step_up,1,1.7299149021039282,on,6,5,0.16,30,skill.STEP_WALK_MAX,step_up_0p16,0,0,2026-08-29T15:37:51Z,WALK,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,0,step_up,1,1.8116533086077562,on,6,5,0.18,30,skill.STEP_WALK_MAX,step_up_0p18,0,0,2026-08-29T15:37:51Z,WALK,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,0,step_up,1,1.7080427516418437,on,6,5,0.2,30,skill.STEP_WALK_MAX,step_up_0p20,0,0,2026-08-29T15:37:51Z,WALK,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,0,step_up,1,1.8216508839432723,on,6,5,0.22,30,skill.STEP_WALK_MAX,step_up_0p22,0,0,2026-08-29T15:37:51Z,WALK,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,0,step_up,1,1.8846288787335672,on,6,5,0.24,30,skill.STEP_WALK_MAX,step_up_0p24,0,0,2026-08-29T15:37:51Z,WALK,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,0,step_up,0,2.4320892497424422,on,6,5,0.26,30,skill.STEP_WALK_MAX,step_up_0p26,0,0,2026-08-29T15:37:51Z,WALK,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,0,step_up,0,1.3535548501615327,on,6,5,0.28,30,skill.STEP_WALK_MAX,step_up_0p28,0,0,2026-08-29T15:37:51Z,WALK,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,0,step_up,0,1.5797849456960789,on,6,5,0.3,30,skill.STEP_WALK_MAX,step_up_0p30,0,0,2026-08-29T15:37:51Z,WALK,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,0,step_up,1,1.5668872822345132,on,6,5,0.02,30,skill.STEP_TROT_MAX,step_up_0p02,0,0,2026-08-29T15:37:51Z,TROT,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,0,step_up,0,1.3704787058044081,on,6,5,0.04,30,skill.STEP_TROT_MAX,step_up_0p04,0,0,2026-08-29T15:37:51Z,TROT,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,0,step_up,0,1.6960536442790857,on,6,5,0.06,30,skill.STEP_TROT_MAX,step_up_0p06,0,0,2026-08-29T15:37:51Z,TROT,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,0,step_up,0,1.94444004989879,on,6,5,0.08,30,skill.STEP_TROT_MAX,step_up_0p08,0,0,2026-08-29T15:37:51Z,TROT,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,0,step_up,1,1.981292153071962,on,6,5,0.1,30,skill.STEP_TROT_MAX,step_up_0p10,0,0,2026-08-29T15:37:51Z,TROT,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,0,step_up,0,2.219546715250928,on,6,5,0.12,30,skill.STEP_TROT_MAX,step_up_0p12,0,0,2026-08-29T15:37:51Z,TROT,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,0,step_up,1,1.9696353408554226,on,6,5,0.14,30,skill.STEP_TROT_MAX,step_up_0p14,0,0,2026-08-29T15:37:51Z,TROT,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,0,step_up,1,1.9074072755215616,on,6,5,0.16,30,skill.STEP_TROT_MAX,step_up_0p16,0,0,2026-08-29T15:37:51Z,TROT,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,0,step_up,1,1.6670719172419346,on,6,5,0.18,30,skill.STEP_TROT_MAX,step_up_0p18,0,0,2026-08-29T15:37:51Z,TROT,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,0,step_up,1,1.9461498834279167,on,6,5,0.2,30,skill.STEP_TROT_MAX,step_up_0p20,0,0,2026-08-29T15:37:51Z,TROT,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,0,step_up,1,1.4071667673906,on,6,5,0.22,30,skill.STEP_TROT_MAX,step_up_0p22,0,0,2026-08-29T15:37:51Z,TROT,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,0,step_up,1,2.0853786307687514,on,6,5,0.24,30,skill.STEP_TROT_MAX,step_up_0p24,0,0,2026-08-29T15:37:51Z,TROT,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,0,step_up,1,1.9821142508724399,on,6,5,0.26,30,skill.STEP_TROT_MAX,step_up_0p26,0,0,2026-08-29T15:37:51Z,TROT,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,0,step_up,1,2.1765042239276604,on,6,5,0.28,30,skill.STEP_TROT_MAX,step_up_0p28,0,0,2026-08-29T15:37:51Z,TROT,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,0,step_up,1,1.3201284189710945,on,6,5,0.3,30,skill.STEP_TROT_MAX,step_up_0p30,0,0,2026-08-29T15:37:51Z,TROT,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,7,step_up,1,12.896476199470323,on,6,5,0.02,30,skill.STEP_WALK_MAX,step_up_0p02,1,1,2026-08-29T15:37:51Z,WALK,2140,0.0,17.16
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,7,step_up,1,1.2121610007376153,on,6,5,0.04,30,skill.STEP_WALK_MAX,step_up_0p04,0,1,2026-08-29T15:37:51Z,WALK,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,7,step_up,1,1.4946742894808545,on,6,5,0.06,30,skill.STEP_WALK_MAX,step_up_0p06,0,1,2026-08-29T15:37:51Z,WALK,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,7,step_up,1,1.7152329988560466,on,6,5,0.08,30,skill.STEP_WALK_MAX,step_up_0p08,0,1,2026-08-29T15:37:51Z,WALK,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,7,step_up,1,1.647218639635942,on,6,5,0.1,30,skill.STEP_WALK_MAX,step_up_0p10,0,1,2026-08-29T15:37:51Z,WALK,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,7,step_up,1,1.7576186858185527,on,6,5,0.12,30,skill.STEP_WALK_MAX,step_up_0p12,0,1,2026-08-29T15:37:51Z,WALK,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,7,step_up,1,1.8149911221982518,on,6,5,0.14,30,skill.STEP_WALK_MAX,step_up_0p14,0,1,2026-08-29T15:37:51Z,WALK,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,7,step_up,1,1.7548955192114102,on,6,5,0.16,30,skill.STEP_WALK_MAX,step_up_0p16,0,1,2026-08-29T15:37:51Z,WALK,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,7,step_up,1,1.8229220893877378,on,6,5,0.18,30,skill.STEP_WALK_MAX,step_up_0p18,0,1,2026-08-29T15:37:51Z,WALK,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,7,step_up,1,1.8109499832392448,on,6,5,0.2,30,skill.STEP_WALK_MAX,step_up_0p20,0,1,2026-08-29T15:37:51Z,WALK,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,7,step_up,1,1.765658831630635,on,6,5,0.22,30,skill.STEP_WALK_MAX,step_up_0p22,0,1,2026-08-29T15:37:51Z,WALK,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,7,step_up,0,1.2642642867067544,on,6,5,0.24,30,skill.STEP_WALK_MAX,step_up_0p24,0,1,2026-08-29T15:37:51Z,WALK,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,7,step_up,1,2.0309786725359444,on,6,5,0.26,30,skill.STEP_WALK_MAX,step_up_0p26,0,1,2026-08-29T15:37:51Z,WALK,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,7,step_up,1,2.0529141261652257,on,6,5,0.28,30,skill.STEP_WALK_MAX,step_up_0p28,0,1,2026-08-29T15:37:51Z,WALK,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,7,step_up,1,1.966315659637521,on,6,5,0.3,30,skill.STEP_WALK_MAX,step_up_0p30,0,1,2026-08-29T15:37:51Z,WALK,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,6,step_up,1,3.678356570997589,on,6,5,0.02,30,skill.STEP_TROT_MAX,step_up_0p02,0,1,2026-08-29T15:37:51Z,TROT,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,6,step_up,1,3.707988026983241,on,6,5,0.04,30,skill.STEP_TROT_MAX,step_up_0p04,0,1,2026-08-29T15:37:51Z,TROT,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,6,step_up,1,3.7678771626904335,on,6,5,0.06,30,skill.STEP_TROT_MAX,step_up_0p06,0,1,2026-08-29T15:37:51Z,TROT,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,6,step_up,1,3.6907725004036567,on,6,5,0.08,30,skill.STEP_TROT_MAX,step_up_0p08,0,1,2026-08-29T15:37:51Z,TROT,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,6,step_up,1,3.6643765689077554,on,6,5,0.1,30,skill.STEP_TROT_MAX,step_up_0p10,0,1,2026-08-29T15:37:51Z,TROT,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,6,step_up,1,3.651135507625563,on,6,5,0.12,30,skill.STEP_TROT_MAX,step_up_0p12,0,1,2026-08-29T15:37:51Z,TROT,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,6,step_up,1,3.6810861485610196,on,6,5,0.14,30,skill.STEP_TROT_MAX,step_up_0p14,0,1,2026-08-29T15:37:51Z,TROT,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,6,step_up,1,3.6625665699222827,on,6,5,0.16,30,skill.STEP_TROT_MAX,step_up_0p16,0,1,2026-08-29T15:37:51Z,TROT,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,6,step_up,1,3.712023954065176,on,6,5,0.18,30,skill.STEP_TROT_MAX,step_up_0p18,0,1,2026-08-29T15:37:51Z,TROT,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,6,step_up,1,3.6837502019115047,on,6,5,0.2,30,skill.STEP_TROT_MAX,step_up_0p20,0,1,2026-08-29T15:37:51Z,TROT,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,6,step_up,1,3.664892463506465,on,6,5,0.22,30,skill.STEP_TROT_MAX,step_up_0p22,0,1,2026-08-29T15:37:51Z,TROT,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,6,step_up,1,3.6684621508022586,on,6,5,0.24,30,skill.STEP_TROT_MAX,step_up_0p24,0,1,2026-08-29T15:37:51Z,TROT,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,6,step_up,1,3.672681357198687,on,6,5,0.26,30,skill.STEP_TROT_MAX,step_up_0p26,0,1,2026-08-29T15:37:51Z,TROT,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,6,step_up,1,3.7350268080674494,on,6,5,0.28,30,skill.STEP_TROT_MAX,step_up_0p28,0,1,2026-08-29T15:37:51Z,TROT,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,6,step_up,1,3.665561583293197,on,6,5,0.3,30,skill.STEP_TROT_MAX,step_up_0p30,0,1,2026-08-29T15:37:51Z,TROT,2140,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,15,step_up,1,2.4499111529291526,on,6,5,0.02,30,skill.STEP_WALK_MAX,step_up_0p02,1,2,2026-08-29T15:37:51Z,WALK,2132,0.0,16.54
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,15,step_up,1,1.2828890468804606,on,6,5,0.04,30,skill.STEP_WALK_MAX,step_up_0p04,0,2,2026-08-29T15:37:51Z,WALK,2132,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,15,step_up,1,1.381152628182402,on,6,5,0.06,30,skill.STEP_WALK_MAX,step_up_0p06,0,2,2026-08-29T15:37:51Z,WALK,2132,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,15,step_up,1,1.613980525722588,on,6,5,0.08,30,skill.STEP_WALK_MAX,step_up_0p08,0,2,2026-08-29T15:37:51Z,WALK,2132,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,15,step_up,1,1.6766169958240815,on,6,5,0.1,30,skill.STEP_WALK_MAX,step_up_0p10,0,2,2026-08-29T15:37:51Z,WALK,2132,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,15,step_up,1,1.7097946919351903,on,6,5,0.12,30,skill.STEP_WALK_MAX,step_up_0p12,0,2,2026-08-29T15:37:51Z,WALK,2132,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,15,step_up,1,1.688022777817775,on,6,5,0.14,30,skill.STEP_WALK_MAX,step_up_0p14,0,2,2026-08-29T15:37:51Z,WALK,2132,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,15,step_up,1,1.7350616628269941,on,6,5,0.16,30,skill.STEP_WALK_MAX,step_up_0p16,0,2,2026-08-29T15:37:51Z,WALK,2132,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,15,step_up,1,1.7644719756971023,on,6,5,0.18,30,skill.STEP_WALK_MAX,step_up_0p18,0,2,2026-08-29T15:37:51Z,WALK,2132,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,15,step_up,1,1.739669308805772,on,6,5,0.2,30,skill.STEP_WALK_MAX,step_up_0p20,0,2,2026-08-29T15:37:51Z,WALK,2132,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,15,step_up,1,1.7848761370416308,on,6,5,0.22,30,skill.STEP_WALK_MAX,step_up_0p22,0,2,2026-08-29T15:37:51Z,WALK,2132,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,15,step_up,1,1.7600802504598643,on,6,5,0.24,30,skill.STEP_WALK_MAX,step_up_0p24,0,2,2026-08-29T15:37:51Z,WALK,2132,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,15,step_up,1,1.8462144430177452,on,6,5,0.26,30,skill.STEP_WALK_MAX,step_up_0p26,0,2,2026-08-29T15:37:51Z,WALK,2132,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,15,step_up,1,1.7274898432299397,on,6,5,0.28,30,skill.STEP_WALK_MAX,step_up_0p28,0,2,2026-08-29T15:37:51Z,WALK,2132,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,15,step_up,1,2.7133331995730723,on,6,5,0.3,30,skill.STEP_WALK_MAX,step_up_0p30,0,2,2026-08-29T15:37:51Z,WALK,2132,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,13,step_up,1,4.124613248042197,on,6,5,0.02,30,skill.STEP_TROT_MAX,step_up_0p02,0,2,2026-08-29T15:37:51Z,TROT,2132,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,13,step_up,1,4.38703047277469,on,6,5,0.04,30,skill.STEP_TROT_MAX,step_up_0p04,0,2,2026-08-29T15:37:51Z,TROT,2132,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,13,step_up,1,4.03699034019882,on,6,5,0.06,30,skill.STEP_TROT_MAX,step_up_0p06,0,2,2026-08-29T15:37:51Z,TROT,2132,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,13,step_up,1,4.094388921857605,on,6,5,0.08,30,skill.STEP_TROT_MAX,step_up_0p08,0,2,2026-08-29T15:37:51Z,TROT,2132,0.0,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_steps.csv,13,step_up,1,4.041060776214331,on,6,5,0.1,30,skill.STEP_TROT_MAX,step_up_0p10,0,2,2026-08-29T15:37:51Z,TROT,2132,0.0,nan
