argv,drift_max_m,entry_frame,family,fell,final_dist_m,foot_comp,grid_cols,grid_rows,heading,heading_cap_rad,heading_len,heading_len_cap_rad,inplace_at,level_m,n_probes,param,probe,reached,rep,run_utc,score,settle_ok,skill,spawn_x,spawn_z0_m,steps,swing_lift_mm,swing_lift_sym,t_reached_s,yaw_cum_deg,yaw_ok_deg
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,0,roughness,1,2.6254941460512615,on,5,4,heading-only,0.0,0,0.04,obstacle,0.04,20,probe.roughness@WALK,roughness_0p040,0,0,2026-08-31T02:27:13Z,goal,1,WALK,1.0,0.0,1849,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,0,roughness,1,2.612449836680539,on,5,4,heading-only,0.0,0,0.04,obstacle,0.045,20,probe.roughness@WALK,roughness_0p045,0,0,2026-08-31T02:27:13Z,goal,1,WALK,0.9999999999999982,0.0,1849,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,0,roughness,1,2.6017423290529855,on,5,4,heading-only,0.0,0,0.04,obstacle,0.05,20,probe.roughness@WALK,roughness_0p050,0,0,2026-08-31T02:27:13Z,goal,1,WALK,0.9999999999999964,0.0,1849,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,0,roughness,1,2.3244195247402866,on,5,4,heading-only,0.0,0,0.04,obstacle,0.055,20,probe.roughness@WALK,roughness_0p055,0,0,2026-08-31T02:27:13Z,goal,1,WALK,1.0,0.0,1849,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,0,roughness,1,3.0458397567597455,on,5,4,heading-only,0.0,0,0.04,obstacle,0.06,20,probe.roughness@WALK,roughness_0p060,0,0,2026-08-31T02:27:13Z,goal,1,WALK,0.9999999999999929,0.0,1849,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,7,slope,1,1.1002384841273074,on,5,4,heading-only,0.0,0,0.04,obstacle,5.0,20,probe.slope@WALK,slope_5p00,0,1,2026-08-31T02:27:13Z,goal,1,WALK,1.0,0.0,2942,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,7,slope,1,2.69540305178714,on,5,4,heading-only,0.0,0,0.04,obstacle,10.0,20,probe.slope@WALK,slope_10p00,0,1,2026-08-31T02:27:13Z,goal,1,WALK,0.9999999999999982,0.0,2942,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,7,slope,1,2.546340686536172,on,5,4,heading-only,0.0,0,0.04,obstacle,15.0,20,probe.slope@WALK,slope_15p00,0,1,2026-08-31T02:27:13Z,goal,1,WALK,0.9999999999999964,0.0,2942,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,7,slope,1,3.190991829313153,on,5,4,heading-only,0.0,0,0.04,obstacle,20.0,20,probe.slope@WALK,slope_20p00,0,1,2026-08-31T02:27:13Z,goal,1,WALK,1.0,0.0,2942,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,7,slope,1,3.1533839090401763,on,5,4,heading-only,0.0,0,0.04,obstacle,25.0,20,probe.slope@WALK,slope_25p00,0,1,2026-08-31T02:27:13Z,goal,1,WALK,0.9999999999999929,0.0,2942,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,7,slope,1,3.170669895673523,on,5,4,heading-only,0.0,0,0.04,obstacle,30.0,20,probe.slope@WALK,slope_30p00,0,1,2026-08-31T02:27:13Z,goal,1,WALK,1.0,0.0,2942,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,7,slope,1,3.109642616606018,on,5,4,heading-only,0.0,0,0.04,obstacle,35.0,20,probe.slope@WALK,slope_35p00,0,1,2026-08-31T02:27:13Z,goal,1,WALK,0.9999999999999982,0.0,2942,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,7,slope,1,3.204674871638104,on,5,4,heading-only,0.0,0,0.04,obstacle,40.0,20,probe.slope@WALK,slope_40p00,0,1,2026-08-31T02:27:13Z,goal,1,WALK,0.9999999999999964,0.0,2942,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,7,roughness,1,26.408731122720535,on,5,4,heading-only,0.0,0,0.04,obstacle,0.005,20,probe.roughness@WALK,roughness_0p005,1,1,2026-08-31T02:27:13Z,goal,1,WALK,1.0,0.0,2942,0.0,1,23.12,,
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,7,roughness,1,1.1800848954473637,on,5,4,heading-only,0.0,0,0.04,obstacle,0.01,20,probe.roughness@WALK,roughness_0p010,1,1,2026-08-31T02:27:13Z,goal,1,WALK,0.9999999999999929,0.0,2942,0.0,1,23.04,,
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,7,roughness,1,1.069427255300591,on,5,4,heading-only,0.0,0,0.04,obstacle,0.015,20,probe.roughness@WALK,roughness_0p015,0,1,2026-08-31T02:27:13Z,goal,1,WALK,1.0,0.0,2942,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,7,roughness,1,2.502725494147597,on,5,4,heading-only,0.0,0,0.04,obstacle,0.02,20,probe.roughness@WALK,roughness_0p020,0,1,2026-08-31T02:27:13Z,goal,1,WALK,0.9999999999999982,0.0,2942,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,7,roughness,1,2.381269040231898,on,5,4,heading-only,0.0,0,0.04,obstacle,0.025,20,probe.roughness@WALK,roughness_0p025,0,1,2026-08-31T02:27:13Z,goal,1,WALK,0.9999999999999964,0.0,2942,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,7,roughness,1,2.3637635501574414,on,5,4,heading-only,0.0,0,0.04,obstacle,0.03,20,probe.roughness@WALK,roughness_0p030,0,1,2026-08-31T02:27:13Z,goal,1,WALK,1.0,0.0,2942,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,7,roughness,1,2.6414596803881274,on,5,4,heading-only,0.0,0,0.04,obstacle,0.035,20,probe.roughness@WALK,roughness_0p035,0,1,2026-08-31T02:27:13Z,goal,1,WALK,0.9999999999999929,0.0,2942,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,7,roughness,1,2.6304816631208565,on,5,4,heading-only,0.0,0,0.04,obstacle,0.04,20,probe.roughness@WALK,roughness_0p040,0,1,2026-08-31T02:27:13Z,goal,1,WALK,1.0,0.0,2942,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,7,roughness,1,2.240243087015319,on,5,4,heading-only,0.0,0,0.04,obstacle,0.045,20,probe.roughness@WALK,roughness_0p045,0,1,2026-08-31T02:27:13Z,goal,1,WALK,0.9999999999999982,0.0,2942,0.0,1,nan,,
