argv,drift_max_m,entry_frame,family,fell,final_dist_m,foot_comp,grid_cols,grid_rows,heading,heading_cap_rad,heading_len,heading_len_cap_rad,inplace_at,level_m,n_probes,param,probe,reached,rep,run_utc,score,settle_ok,skill,spawn_x,spawn_z0_m,steps,swing_lift_mm,swing_lift_sym,t_reached_s,yaw_cum_deg,yaw_ok_deg
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/v2_turn_flat.csv,0.39940914511680603,18,slope,0,5.830882073143743,on,3,2,off,0.0,0,0.04,spawn,5.0,6,probe.slope@TURN,slope_5p00,0,2,2026-08-31T02:27:13Z,inplace,1,TURN,1.0,0.0,398,0.0,1,nan,-50.025731582222335,65.13042038866371
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/v2_turn_flat.csv,0.5899307727813721,18,slope,1,5.968168691501746,on,3,2,off,0.0,0,0.04,spawn,10.0,6,probe.slope@TURN,slope_10p00,0,2,2026-08-31T02:27:13Z,inplace,1,TURN,0.9999999999999982,0.0,398,0.0,1,nan,-54.371262620242675,53.42596733823578
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/v2_turn_flat.csv,0.5496466755867004,18,slope,1,5.958495090013666,on,3,2,off,0.0,0,0.04,spawn,15.0,6,probe.slope@TURN,slope_15p00,0,2,2026-08-31T02:27:13Z,inplace,1,TURN,0.9999999999999964,0.0,398,0.0,1,nan,-47.5520157268931,57.29625936976612
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/v2_turn_flat.csv,0.5760555267333984,18,roughness,1,5.964952503343396,on,3,2,off,0.0,0,0.04,spawn,0.005,6,probe.roughness@TURN,roughness_0p005,0,2,2026-08-31T02:27:13Z,inplace,1,TURN,1.0,0.0,398,0.0,1,nan,-44.42997599740232,57.696006587589096
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/v2_turn_flat.csv,0.578481912612915,18,roughness,1,5.953861331527474,on,3,2,off,0.0,0,0.04,spawn,0.01,6,probe.roughness@TURN,roughness_0p010,0,2,2026-08-31T02:27:13Z,inplace,1,TURN,0.9999999999999982,0.0,398,0.0,1,nan,-44.06517807796814,54.14770012797334
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/v2_turn_flat.csv,0.5692535042762756,18,roughness,1,5.976168485714984,on,3,2,off,0.0,0,0.04,spawn,0.015,6,probe.roughness@TURN,roughness_0p015,0,2,2026-08-31T02:27:13Z,inplace,1,TURN,0.9999999999999964,0.0,398,0.0,1,nan,-49.74985004705832,58.73084469012986
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/v2_turn_flat.csv,0.5749067664146423,27,slope,1,5.980957808002905,on,3,2,off,0.0,0,0.04,spawn,5.0,6,probe.slope@TURN,slope_5p00,0,3,2026-08-31T02:27:13Z,inplace,1,TURN,1.0,0.0,295,0.0,1,nan,-41.15001338078159,51.89445584074113
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/v2_turn_flat.csv,0.3845925033092499,27,slope,1,5.847150079785264,on,3,2,off,0.0,0,0.04,spawn,10.0,6,probe.slope@TURN,slope_10p00,0,3,2026-08-31T02:27:13Z,inplace,1,TURN,0.9999999999999982,0.0,295,0.0,1,nan,-39.76574423630393,48.27569389303878
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/v2_turn_flat.csv,0.487122505903244,27,slope,1,5.937694338354021,on,3,2,off,0.0,0,0.04,spawn,15.0,6,probe.slope@TURN,slope_15p00,0,3,2026-08-31T02:27:13Z,inplace,1,TURN,0.9999999999999964,0.0,295,0.0,1,nan,-39.3726957198721,54.20776825694634
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/v2_turn_flat.csv,0.5474507808685303,27,roughness,1,5.976759836329106,on,3,2,off,0.0,0,0.04,spawn,0.005,6,probe.roughness@TURN,roughness_0p005,0,3,2026-08-31T02:27:13Z,inplace,1,TURN,1.0,0.0,295,0.0,1,nan,-39.49679264944592,51.872208328601914
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/v2_turn_flat.csv,0.38387757539749146,27,roughness,1,5.837139390693752,on,3,2,off,0.0,0,0.04,spawn,0.01,6,probe.roughness@TURN,roughness_0p010,0,3,2026-08-31T02:27:13Z,inplace,1,TURN,0.9999999999999982,0.0,295,0.0,1,nan,-40.68220084763951,47.60335312701466
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/v2_turn_flat.csv,0.3991129994392395,27,roughness,1,5.877318778232212,on,3,2,off,0.0,0,0.04,spawn,0.015,6,probe.roughness@TURN,roughness_0p015,0,3,2026-08-31T02:27:13Z,inplace,1,TURN,0.9999999999999964,0.0,295,0.0,1,nan,-37.24240264035333,58.348237431129235
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/v2_turn_flat.csv,0.171190544962883,36,slope,0,5.35907499402382,on,3,2,off,0.0,0,0.04,spawn,5.0,6,probe.slope@TURN,slope_5p00,1,4,2026-08-31T02:27:13Z,inplace,1,TURN,1.0,0.0,314,0.0,1,5.88,-94.08625162754976,94.08625162754976
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/v2_turn_flat.csv,0.1999325007200241,36,slope,0,5.3291185775412035,on,3,2,off,0.0,0,0.04,spawn,10.0,6,probe.slope@TURN,slope_10p00,1,4,2026-08-31T02:27:13Z,inplace,1,TURN,0.9999999999999982,0.0,314,0.0,1,6.22,-91.74796251850418,91.74796251850418
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/v2_turn_flat.csv,0.1575443148612976,36,slope,0,5.372745687997187,on,3,2,off,0.0,0,0.04,spawn,15.0,6,probe.slope@TURN,slope_15p00,1,4,2026-08-31T02:27:13Z,inplace,1,TURN,0.9999999999999964,0.0,314,0.0,1,6.26,-90.78857844063828,90.78857844063828
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/v2_turn_flat.csv,0.1620907187461853,36,roughness,0,5.367050742989432,on,3,2,off,0.0,0,0.04,spawn,0.005,6,probe.roughness@TURN,roughness_0p005,1,4,2026-08-31T02:27:13Z,inplace,1,TURN,1.0,0.0,314,0.0,1,6.26,-90.61220733228345,90.61220733228345
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/v2_turn_flat.csv,0.1714508831501007,36,roughness,0,5.359203841723259,on,3,2,off,0.0,0,0.04,spawn,0.01,6,probe.roughness@TURN,roughness_0p010,1,4,2026-08-31T02:27:13Z,inplace,1,TURN,0.9999999999999982,0.0,314,0.0,1,5.84,-94.67936640196035,94.67936640196035
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/v2_turn_flat.csv,0.21953512728214264,36,roughness,0,5.310461926065879,on,3,2,off,0.0,0,0.04,spawn,0.015,6,probe.roughness@TURN,roughness_0p015,1,4,2026-08-31T02:27:13Z,inplace,1,TURN,0.9999999999999964,0.0,314,0.0,1,5.82,-95.21287759422435,95.21287759422435
