switch_delay_s,task,level,skill,t_start_s,t_end_s,x_start_m,x_end_m,duration_s
0,jump_on_and_off_box,2,WALK,39.4,43.3,11.2133,11.993,3.9
0,jump_on_and_off_box,2,RUN,43.3,44.1,11.993,12.3769,0.8
0,jump_on_and_off_box,2,WALK,44.1,48.2,12.3769,13.1819,4.1
0,jump_on_and_off_box,2,RUN,48.2,49.5,13.1819,13.8052,1.3
0,jump_on_and_off_box,2,WALK,49.5,53.4,13.8052,14.5843,3.9
0,jump_on_and_off_box,2,RUN,53.4,54.3,14.5843,15.0158,0.9
0,jump_on_and_off_box,2,WALK,54.3,58.2,15.0158,15.7936,3.9
0,jump_on_and_off_box,2,RUN,58.2,61.2,15.7936,17.2329,3
0,jump_on_and_off_box,2,WALK,61.2,64.8,17.2329,17.95,3.6
0,jump_on_and_off_box,3,TROT,0,0,1,1,0
0,jump_on_and_off_box,3,WALK,0,3.7,1,1.73971,3.7
0,jump_on_and_off_box,3,RUN,3.7,4,1.73971,1.88353,0.3
0,jump_on_and_off_box,3,WALK,4,8,1.88353,2.67548,4
0,jump_on_and_off_box,3,RUN,8,9.3,2.67548,3.29897,1.3
0,jump_on_and_off_box,3,WALK,9.3,13.2,3.29897,4.07834,3.9
0,jump_on_and_off_box,3,RUN,13.2,13.9,4.07834,4.41406,0.7
0,jump_on_and_off_box,3,WALK,13.9,17.8,4.41406,5.17527,3.9
0,jump_on_and_off_box,3,RUN,17.8,19.1,5.17527,5.79884,1.3
0,jump_on_and_off_box,3,WALK,19.1,23,5.79884,6.57832,3.9
0,jump_on_and_off_box,3,RUN,23,23.8,6.57832,6.96206,0.8
0,jump_on_and_off_box,3,WALK,23.8,27.7,6.96206,7.72997,3.9
0,jump_on_and_off_box,3,RUN,27.7,29,7.72997,8.35328,1.3
0,jump_on_and_off_box,3,WALK,29,32.9,8.35328,9.13241,3.9
0,jump_on_and_off_box,3,RUN,32.9,33.7,9.13241,9.51599,0.8
0,jump_on_and_off_box,3,WALK,33.7,37.6,9.51599,10.2907,3.9
0,jump_on_and_off_box,3,RUN,37.6,38.9,10.2907,10.9137,1.3
0,jump_on_and_off_box,3,WALK,38.9,42.8,10.9137,11.6924,3.9
0,jump_on_and_off_box,3,RUN,42.8,43.5,11.6924,12.0279,0.7
0,jump_on_and_off_box,3,WALK,43.5,47.6,12.0279,12.835,4.1
0,jump_on_and_off_box,3,RUN,47.6,48.9,12.835,13.4583,1.3
0,jump_on_and_off_box,3,WALK,48.9,52.8,13.4583,14.2374,3.9
0,jump_on_and_off_box,3,RUN,52.8,53.3,14.2374,14.4771,0.5
0,jump_on_and_off_box,3,WALK,53.3,57.4,14.4771,15.2859,4.1
0,jump_on_and_off_box,3,RUN,57.4,61.5,15.2859,17.2535,4.1
0,jump_on_and_off_box,3,WALK,61.5,62.5,17.2535,17.45,1
0,jump_on_and_off_box,4,TROT,0,0,1,1,0
0,jump_on_and_off_box,4,WALK,0,3.7,1,1.73989,3.7
0,jump_on_and_off_box,4,RUN,3.7,4.6,1.73989,2.17169,0.9
0,jump_on_and_off_box,4,WALK,4.6,8.5,2.17169,2.94313,3.9
0,jump_on_and_off_box,4,RUN,8.5,9.8,2.94313,3.56713,1.3
0,jump_on_and_off_box,4,WALK,9.8,13.6,3.56713,4.32713,3.8
0,jump_on_and_off_box,4,RUN,13.6,13.9,4.32713,4.47113,0.3
0,jump_on_and_off_box,4,WALK,13.9,17.7,4.47113,5.22687,3.8
0,jump_on_and_off_box,4,RUN,17.7,19,5.22687,5.85053,1.3
0,jump_on_and_off_box,4,WALK,19,22.9,5.85053,6.63011,3.9
0,jump_on_and_off_box,4,RUN,22.9,23.5,6.63011,6.91795,0.6
0,jump_on_and_off_box,4,WALK,23.5,27.4,6.91795,7.68611,3.9
0,jump_on_and_off_box,4,RUN,27.4,28.7,7.68611,8.30983,1.3
0,jump_on_and_off_box,4,WALK,28.7,32.6,8.30983,9.08947,3.9
0,jump_on_and_off_box,4,RUN,32.6,33.1,9.08947,9.32937,0.5
0,jump_on_and_off_box,4,WALK,33.1,37.2,9.32937,10.1366,4.1
0,jump_on_and_off_box,4,RUN,37.2,38.5,10.1366,10.76,1.3
0,jump_on_and_off_box,4,WALK,38.5,42.4,10.76,11.5392,3.9
0,jump_on_and_off_box,4,RUN,42.4,42.9,11.5392,11.779,0.5
0,jump_on_and_off_box,4,WALK,42.9,47,11.779,12.5893,4.1
0,jump_on_and_off_box,4,RUN,47,48.3,12.5893,13.213,1.3
0,jump_on_and_off_box,4,WALK,48.3,52.2,13.213,13.9927,3.9
0,jump_on_and_off_box,4,RUN,52.2,53,13.9927,14.3766,0.8
0,jump_on_and_off_box,4,WALK,53,57.1,14.3766,15.178,4.1
0,jump_on_and_off_box,4,RUN,57.1,61.4,15.178,17.242,4.3
0,jump_on_and_off_box,4,WALK,61.4,62,17.242,17.35,0.6
0,jump_on_and_off_box,5,TROT,0,0,1,1,0
0,jump_on_and_off_box,5,WALK,0,3.7,1,1.73948,3.7
0,jump_on_and_off_box,5,RUN,3.7,4.2,1.73948,1.97896,0.5
0,jump_on_and_off_box,5,WALK,4.2,8.2,1.97896,2.77617,4
0,jump_on_and_off_box,5,RUN,8.2,9.4,2.77617,3.35189,1.2
0,jump_on_and_off_box,5,WALK,9.4,13.3,3.35189,4.13152,3.9
0,jump_on_and_off_box,5,RUN,13.3,14.3,4.13152,4.61128,1
0,jump_on_and_off_box,5,WALK,14.3,18.2,4.61128,5.38039,3.9
0,jump_on_and_off_box,5,RUN,18.2,19.4,5.38039,5.95634,1.2
0,jump_on_and_off_box,5,WALK,19.4,23.3,5.95634,6.73627,3.9
0,jump_on_and_off_box,5,RUN,23.3,23.6,6.73627,6.88026,0.3
0,jump_on_and_off_box,5,WALK,23.6,27.6,6.88026,7.67647,4
0,jump_on_and_off_box,5,RUN,27.6,28.8,7.67647,8.25221,1.2
0,jump_on_and_off_box,5,WALK,28.8,32.7,8.25221,9.03186,3.9
0,jump_on_and_off_box,5,RUN,32.7,33.3,9.03186,9.31973,0.6
0,jump_on_and_off_box,5,WALK,33.3,37.2,9.31973,10.0875,3.9
0,jump_on_and_off_box,5,RUN,37.2,38.4,10.0875,10.6635,1.2
0,jump_on_and_off_box,5,WALK,38.4,42.3,10.6635,11.4434,3.9
0,jump_on_and_off_box,5,RUN,42.3,43.2,11.4434,11.8754,0.9
0,jump_on_and_off_box,5,WALK,43.2,47.3,11.8754,12.6831,4.1
0,jump_on_and_off_box,5,RUN,47.3,48.5,12.6831,13.2591,1.2
0,jump_on_and_off_box,5,WALK,48.5,52.4,13.2591,14.039,3.9
0,jump_on_and_off_box,5,RUN,52.4,52.6,14.039,14.135,0.2
0,jump_on_and_off_box,5,WALK,52.6,56.6,14.135,14.9307,4
0,jump_on_and_off_box,5,RUN,56.6,61.1,14.9307,17.05,4.5
0,jump_on_and_off_box,6,TROT,0,0,1,1,0
0,jump_on_and_off_box,6,WALK,0,3.7,1,1.73965,3.7
0,jump_on_and_off_box,6,RUN,3.7,4,1.73965,1.88343,0.3
0,jump_on_and_off_box,6,WALK,4,8,1.88343,2.68144,4
0,jump_on_and_off_box,6,RUN,8,9.2,2.68144,3.2572,1.2
0,jump_on_and_off_box,6,WALK,9.2,13.1,3.2572,4.03688,3.9
0,jump_on_and_off_box,6,RUN,13.1,13.5,4.03688,4.2288,0.4
