argv,drift_max_m,entry_frame,family,fell,final_dist_m,foot_comp,grid_cols,grid_rows,heading,heading_cap_rad,heading_len,heading_len_cap_rad,inplace_at,level_m,n_probes,param,probe,reached,rep,run_utc,score,skill,spawn_x,spawn_z0_m,steps,swing_lift_mm,swing_lift_sym,t_reached_s,yaw_cum_deg,yaw_ok_deg
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,0,step_up,0,1.2521141976117172,on,4,4,heading-only,0.0,1,0.04,obstacle,0.26,15,skill.STEP_TROT_MAX,step_up_0p26,0,0,2026-08-31T02:18:37Z,goal,TROT,1.0,0.0,901,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,0,step_up,1,2.0507427682888526,on,4,4,heading-only,0.0,1,0.04,obstacle,0.28,15,skill.STEP_TROT_MAX,step_up_0p28,0,0,2026-08-31T02:18:37Z,goal,TROT,0.9999999999999982,0.0,901,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,0,step_up,0,1.5967953400845667,on,4,4,heading-only,0.0,1,0.04,obstacle,0.3,15,skill.STEP_TROT_MAX,step_up_0p30,0,0,2026-08-31T02:18:37Z,goal,TROT,0.9999999999999964,0.0,901,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,6,step_up,1,3.682224423299787,on,4,4,heading-only,0.0,1,0.04,obstacle,0.02,15,skill.STEP_TROT_MAX,step_up_0p02,0,1,2026-08-31T02:18:37Z,goal,TROT,1.0,0.0,68,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,6,step_up,1,3.68396298413153,on,4,4,heading-only,0.0,1,0.04,obstacle,0.04,15,skill.STEP_TROT_MAX,step_up_0p04,0,1,2026-08-31T02:18:37Z,goal,TROT,0.9999999999999982,0.0,68,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,6,step_up,1,3.689487663363638,on,4,4,heading-only,0.0,1,0.04,obstacle,0.06,15,skill.STEP_TROT_MAX,step_up_0p06,0,1,2026-08-31T02:18:37Z,goal,TROT,0.9999999999999964,0.0,68,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,6,step_up,1,3.6907717150556243,on,4,4,heading-only,0.0,1,0.04,obstacle,0.08,15,skill.STEP_TROT_MAX,step_up_0p08,0,1,2026-08-31T02:18:37Z,goal,TROT,1.0,0.0,68,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,6,step_up,1,3.684131092232171,on,4,4,heading-only,0.0,1,0.04,obstacle,0.1,15,skill.STEP_TROT_MAX,step_up_0p10,0,1,2026-08-31T02:18:37Z,goal,TROT,1.0,0.0,68,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,6,step_up,1,3.6920450052927465,on,4,4,heading-only,0.0,1,0.04,obstacle,0.12,15,skill.STEP_TROT_MAX,step_up_0p12,0,1,2026-08-31T02:18:37Z,goal,TROT,0.9999999999999982,0.0,68,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,6,step_up,1,3.6868866170770884,on,4,4,heading-only,0.0,1,0.04,obstacle,0.14,15,skill.STEP_TROT_MAX,step_up_0p14,0,1,2026-08-31T02:18:37Z,goal,TROT,0.9999999999999964,0.0,68,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,6,step_up,1,3.6877463482998856,on,4,4,heading-only,0.0,1,0.04,obstacle,0.16,15,skill.STEP_TROT_MAX,step_up_0p16,0,1,2026-08-31T02:18:37Z,goal,TROT,1.0,0.0,68,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,6,step_up,1,3.6830183170684525,on,4,4,heading-only,0.0,1,0.04,obstacle,0.18,15,skill.STEP_TROT_MAX,step_up_0p18,0,1,2026-08-31T02:18:37Z,goal,TROT,1.0,0.0,68,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,6,step_up,1,3.6876888368719865,on,4,4,heading-only,0.0,1,0.04,obstacle,0.2,15,skill.STEP_TROT_MAX,step_up_0p20,0,1,2026-08-31T02:18:37Z,goal,TROT,0.9999999999999982,0.0,68,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,6,step_up,1,3.690069132854354,on,4,4,heading-only,0.0,1,0.04,obstacle,0.22,15,skill.STEP_TROT_MAX,step_up_0p22,0,1,2026-08-31T02:18:37Z,goal,TROT,0.9999999999999964,0.0,68,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,6,step_up,1,3.692023242306053,on,4,4,heading-only,0.0,1,0.04,obstacle,0.24,15,skill.STEP_TROT_MAX,step_up_0p24,0,1,2026-08-31T02:18:37Z,goal,TROT,1.0,0.0,68,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,6,step_up,1,3.686107365935508,on,4,4,heading-only,0.0,1,0.04,obstacle,0.26,15,skill.STEP_TROT_MAX,step_up_0p26,0,1,2026-08-31T02:18:37Z,goal,TROT,1.0,0.0,68,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,6,step_up,1,3.6882902986571096,on,4,4,heading-only,0.0,1,0.04,obstacle,0.28,15,skill.STEP_TROT_MAX,step_up_0p28,0,1,2026-08-31T02:18:37Z,goal,TROT,0.9999999999999982,0.0,68,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,6,step_up,1,3.6803453605440715,on,4,4,heading-only,0.0,1,0.04,obstacle,0.3,15,skill.STEP_TROT_MAX,step_up_0p30,0,1,2026-08-31T02:18:37Z,goal,TROT,0.9999999999999964,0.0,68,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,13,step_up,0,3.889381954417523,on,4,4,heading-only,0.0,1,0.04,obstacle,0.02,15,skill.STEP_TROT_MAX,step_up_0p02,0,2,2026-08-31T02:18:37Z,goal,TROT,1.0,0.0,901,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,13,step_up,1,4.093748528844496,on,4,4,heading-only,0.0,1,0.04,obstacle,0.04,15,skill.STEP_TROT_MAX,step_up_0p04,0,2,2026-08-31T02:18:37Z,goal,TROT,0.9999999999999982,0.0,901,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,13,step_up,1,4.3006988249413105,on,4,4,heading-only,0.0,1,0.04,obstacle,0.06,15,skill.STEP_TROT_MAX,step_up_0p06,0,2,2026-08-31T02:18:37Z,goal,TROT,0.9999999999999964,0.0,901,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,13,step_up,0,3.6601325668050593,on,4,4,heading-only,0.0,1,0.04,obstacle,0.08,15,skill.STEP_TROT_MAX,step_up_0p08,0,2,2026-08-31T02:18:37Z,goal,TROT,1.0,0.0,901,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,13,step_up,1,17.275666930728594,on,4,4,heading-only,0.0,1,0.04,obstacle,0.1,15,skill.STEP_TROT_MAX,step_up_0p10,0,2,2026-08-31T02:18:37Z,goal,TROT,1.0,0.0,901,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,13,step_up,1,6.000159081313747,on,4,4,heading-only,0.0,1,0.04,obstacle,0.12,15,skill.STEP_TROT_MAX,step_up_0p12,0,2,2026-08-31T02:18:37Z,goal,TROT,0.9999999999999982,0.0,901,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,13,step_up,1,4.092085553901072,on,4,4,heading-only,0.0,1,0.04,obstacle,0.14,15,skill.STEP_TROT_MAX,step_up_0p14,0,2,2026-08-31T02:18:37Z,goal,TROT,0.9999999999999964,0.0,901,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,13,step_up,1,4.00782886731535,on,4,4,heading-only,0.0,1,0.04,obstacle,0.16,15,skill.STEP_TROT_MAX,step_up_0p16,0,2,2026-08-31T02:18:37Z,goal,TROT,1.0,0.0,901,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,13,step_up,1,4.429786299113814,on,4,4,heading-only,0.0,1,0.04,obstacle,0.18,15,skill.STEP_TROT_MAX,step_up_0p18,0,2,2026-08-31T02:18:37Z,goal,TROT,1.0,0.0,901,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,13,step_up,1,4.1033828025396755,on,4,4,heading-only,0.0,1,0.04,obstacle,0.2,15,skill.STEP_TROT_MAX,step_up_0p20,0,2,2026-08-31T02:18:37Z,goal,TROT,0.9999999999999982,0.0,901,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,13,step_up,1,4.073763624123243,on,4,4,heading-only,0.0,1,0.04,obstacle,0.22,15,skill.STEP_TROT_MAX,step_up_0p22,0,2,2026-08-31T02:18:37Z,goal,TROT,0.9999999999999964,0.0,901,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,13,step_up,1,4.104812024405103,on,4,4,heading-only,0.0,1,0.04,obstacle,0.24,15,skill.STEP_TROT_MAX,step_up_0p24,0,2,2026-08-31T02:18:37Z,goal,TROT,1.0,0.0,901,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,13,step_up,1,4.101098308057601,on,4,4,heading-only,0.0,1,0.04,obstacle,0.26,15,skill.STEP_TROT_MAX,step_up_0p26,0,2,2026-08-31T02:18:37Z,goal,TROT,1.0,0.0,901,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,13,step_up,1,4.035944563183634,on,4,4,heading-only,0.0,1,0.04,obstacle,0.28,15,skill.STEP_TROT_MAX,step_up_0p28,0,2,2026-08-31T02:18:37Z,goal,TROT,0.9999999999999982,0.0,901,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,13,step_up,1,4.418392653406648,on,4,4,heading-only,0.0,1,0.04,obstacle,0.3,15,skill.STEP_TROT_MAX,step_up_0p30,0,2,2026-08-31T02:18:37Z,goal,TROT,0.9999999999999964,0.0,901,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,19,step_up,1,4.2147101931639845,on,4,4,heading-only,0.0,1,0.04,obstacle,0.02,15,skill.STEP_TROT_MAX,step_up_0p02,0,3,2026-08-31T02:18:37Z,goal,TROT,1.0,0.0,84,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,19,step_up,1,4.214670515185257,on,4,4,heading-only,0.0,1,0.04,obstacle,0.04,15,skill.STEP_TROT_MAX,step_up_0p04,0,3,2026-08-31T02:18:37Z,goal,TROT,0.9999999999999982,0.0,84,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,19,step_up,1,4.213170816076754,on,4,4,heading-only,0.0,1,0.04,obstacle,0.06,15,skill.STEP_TROT_MAX,step_up_0p06,0,3,2026-08-31T02:18:37Z,goal,TROT,0.9999999999999964,0.0,84,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,19,step_up,1,4.211034163271022,on,4,4,heading-only,0.0,1,0.04,obstacle,0.08,15,skill.STEP_TROT_MAX,step_up_0p08,0,3,2026-08-31T02:18:37Z,goal,TROT,1.0,0.0,84,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,19,step_up,1,4.215578053021072,on,4,4,heading-only,0.0,1,0.04,obstacle,0.1,15,skill.STEP_TROT_MAX,step_up_0p10,0,3,2026-08-31T02:18:37Z,goal,TROT,1.0,0.0,84,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,19,step_up,1,4.209174072373809,on,4,4,heading-only,0.0,1,0.04,obstacle,0.12,15,skill.STEP_TROT_MAX,step_up_0p12,0,3,2026-08-31T02:18:37Z,goal,TROT,0.9999999999999982,0.0,84,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,19,step_up,1,4.216582009905925,on,4,4,heading-only,0.0,1,0.04,obstacle,0.14,15,skill.STEP_TROT_MAX,step_up_0p14,0,3,2026-08-31T02:18:37Z,goal,TROT,0.9999999999999964,0.0,84,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,19,step_up,1,4.208690295667768,on,4,4,heading-only,0.0,1,0.04,obstacle,0.16,15,skill.STEP_TROT_MAX,step_up_0p16,0,3,2026-08-31T02:18:37Z,goal,TROT,1.0,0.0,84,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,19,step_up,1,4.20974459581077,on,4,4,heading-only,0.0,1,0.04,obstacle,0.18,15,skill.STEP_TROT_MAX,step_up_0p18,0,3,2026-08-31T02:18:37Z,goal,TROT,1.0,0.0,84,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,19,step_up,1,4.2099111855990135,on,4,4,heading-only,0.0,1,0.04,obstacle,0.2,15,skill.STEP_TROT_MAX,step_up_0p20,0,3,2026-08-31T02:18:37Z,goal,TROT,0.9999999999999982,0.0,84,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,19,step_up,1,4.215916733212465,on,4,4,heading-only,0.0,1,0.04,obstacle,0.22,15,skill.STEP_TROT_MAX,step_up_0p22,0,3,2026-08-31T02:18:37Z,goal,TROT,0.9999999999999964,0.0,84,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,19,step_up,1,4.207685616712987,on,4,4,heading-only,0.0,1,0.04,obstacle,0.24,15,skill.STEP_TROT_MAX,step_up_0p24,0,3,2026-08-31T02:18:37Z,goal,TROT,1.0,0.0,84,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,19,step_up,1,4.211041690164123,on,4,4,heading-only,0.0,1,0.04,obstacle,0.26,15,skill.STEP_TROT_MAX,step_up_0p26,0,3,2026-08-31T02:18:37Z,goal,TROT,1.0,0.0,84,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,19,step_up,1,4.212135592301335,on,4,4,heading-only,0.0,1,0.04,obstacle,0.28,15,skill.STEP_TROT_MAX,step_up_0p28,0,3,2026-08-31T02:18:37Z,goal,TROT,0.9999999999999982,0.0,84,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,19,step_up,1,4.214121110910503,on,4,4,heading-only,0.0,1,0.04,obstacle,0.3,15,skill.STEP_TROT_MAX,step_up_0p30,0,3,2026-08-31T02:18:37Z,goal,TROT,0.9999999999999964,0.0,84,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,26,step_up,1,4.293063233473709,on,4,4,heading-only,0.0,1,0.04,obstacle,0.02,15,skill.STEP_TROT_MAX,step_up_0p02,0,4,2026-08-31T02:18:37Z,goal,TROT,1.0,0.0,57,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,26,step_up,1,4.29522858079702,on,4,4,heading-only,0.0,1,0.04,obstacle,0.04,15,skill.STEP_TROT_MAX,step_up_0p04,0,4,2026-08-31T02:18:37Z,goal,TROT,0.9999999999999982,0.0,57,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,26,step_up,1,4.294359745948376,on,4,4,heading-only,0.0,1,0.04,obstacle,0.06,15,skill.STEP_TROT_MAX,step_up_0p06,0,4,2026-08-31T02:18:37Z,goal,TROT,0.9999999999999964,0.0,57,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,26,step_up,1,4.301028336808961,on,4,4,heading-only,0.0,1,0.04,obstacle,0.08,15,skill.STEP_TROT_MAX,step_up_0p08,0,4,2026-08-31T02:18:37Z,goal,TROT,1.0,0.0,57,0.0,1,nan,,
