ablation,argv,balance_comp,balance_kd_pitch,balance_kd_roll,balance_kp_pitch,balance_kp_roll,balance_max_rad,base_height_mean_m,best_mapping,best_mapping_r,cap_effort_target,cap_runtime_gains,clip,clip_archive,cmd_jump_rad,contact_rule,contact_threshold_n,decimation,dev_cmd_max_rad,dev_cmd_rms_calf_stance,dev_cmd_rms_calf_swing,dev_cmd_rms_hip_stance,dev_cmd_rms_hip_swing,dev_cmd_rms_thigh_stance,dev_cmd_rms_thigh_swing,dev_meas_rms_calf_stance,dev_meas_rms_calf_swing,dev_meas_rms_hip_stance,dev_meas_rms_hip_swing,dev_meas_rms_thigh_stance,dev_meas_rms_thigh_swing,dt,duty,duty_bare_threshold,duty_per_leg,fall_height_m,flight_frac,foot_axis,foot_cap_hit_frac,foot_clip_rad,foot_comp,foot_hip_x_front_m,foot_k,foot_len_bias,foot_lever_m,foot_sign,foot_swing_source,foot_t_stance_s,foot_vel_filter_hz,foot_vx_des,foot_vy_log,foot_vy_target,foot_wz_log,foot_yaw,foot_yaw_bias,gain_writes,ground_friction_mu,handover_ang_dps,handover_feet_loaded,handover_speed_mps,hip_offset_rad_max,hip_sign,mode_requested,mode_used,n_cycles,n_steps,overwrite_frac_legsteps,overwrite_frac_time,phys_dt,plant_comp,plant_comp_alpha,rate,run_utc,settle_mode,start_feet_down,start_foot_spread_m,start_frame,start_phase,stride_cv,stride_hz,stride_hz_bare_threshold,swing_frac,swing_lift_added_mm,swing_lift_calf_max_rad,swing_lift_mm,swing_lift_sym,swing_lift_thigh_max_rad,switch_after_cycles,switch_step,switch_t_s,tag,term_reason,terminated_s,then_clip,torque_saturated_frac,verdict,via_clip,vx_mean,vy_mean,yaw_rate_deg_s
none,--clip-archive data/skill_clips.npz --clip TURN --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase first --settle-mode stand --cycles 60 --results-csv outputs/turn_entry_verify.csv --tag turn_first --foot-comp raibert --foot-clip-rad 0.05 --foot-yaw log-cycle,off,0.0,0.0,0.0,0.0,0.0,0.3342081308364868,identity,0.3455864971814056,True,True,TURN,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.05000000074505806,0.0,0.0,0.0,0.045970089733600616,0.0,0.0,0.18445183336734772,0.08238226920366287,0.1017892137169838,0.08882959187030792,0.06699065864086151,0.07006560266017914,0.019829280799998135,0.5799180327868853,0.5686475409836066,"[0.5860655737704918, 0.6639344262295082, 0.5081967213114754, 0.5614754098360656]",0.15,0.0,y,0.7623456790123457,0.05,raibert,0.19340021700854076,0.0,0.0,0.3045956939458847,1.0,clip,0.5998357441999437,0.0,0.007509986553621348,0.0143151,,-0.395449,log-cycle,0.0,0,1.3,24.946408754730736,2,0.06627246737480164,0.0,keep,position,position,2,244,0.3319672131147541,0.8237704918032787,0.004957320199999534,off,0.0,lo,2026-08-31T15:58:51Z,stand,4,nan,31,first,0.2835820895522388,0.752693619343459,4.584588408728342,0.3319672131147541,{},0.0,0.0,1,0.0,,,,turn_first,roll,4.8185152343995465,,0.0,FAIL,,0.0225472804158926,-0.06999681890010834,-10.947175979614258
none,--clip-archive data/skill_clips.npz --clip TURN --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --results-csv outputs/turn_entry_verify.csv --tag turn_level --foot-comp raibert --foot-clip-rad 0.05 --foot-yaw log-cycle,off,0.0,0.0,0.0,0.0,0.0,0.34196025133132935,identity,0.4488985228041808,True,True,TURN,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.05000000074505806,0.0,0.0,0.0,0.043781232088804245,0.0,0.0,0.18038158118724823,0.05616682022809982,0.07519998401403427,0.06346005946397781,0.03598593547940254,0.02631206437945366,0.019829280799998135,0.6214814814814815,0.5919444444444445,"[0.6566666666666666, 0.705925925925926, 0.6096296296296296, 0.5137037037037037]",0.15,0.0,y,0.6488700564971751,0.05,raibert,0.1934002084666337,0.0,0.0,0.29903870075941086,1.0,clip,0.5998357441999437,0.0,0.007509986553621348,0.0143151,,-0.395449,log-cycle,0.0,0,1.3,32.107841608921596,2,0.06130257248878479,0.0,keep,position,position,63,2700,0.3277777777777778,0.8222222222222222,0.004957320199999534,off,0.0,lo,2026-08-31T15:59:21Z,stand,3,0.005334831774234772,24,level,0.22556427055053377,1.120677166578039,1.738981810207302,0.3277777777777778,{},0.0,0.0,1,0.0,,,,turn_level,,,,0.0,PASS,,0.02003386802971363,0.02941245213150978,-20.657011032104492
none,--clip-archive data/skill_clips.npz --clip TURN --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase stance --settle-mode stand --cycles 60 --results-csv outputs/turn_entry_verify.csv --tag turn_stance --foot-comp raibert --foot-clip-rad 0.05 --foot-yaw log-cycle,off,0.0,0.0,0.0,0.0,0.0,0.3328789174556732,identity,0.3069734157761559,True,True,TURN,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.05000000074505806,0.0,0.0,0.0,0.0464879646897316,0.0,0.0,0.17804330587387085,0.10220607370138168,0.13341693580150604,0.09141882508993149,0.06268378347158432,0.07169690728187561,0.019829280799998135,0.5944444444444444,0.5768518518518518,"[0.5851851851851851, 0.7074074074074074, 0.4777777777777778, 0.6074074074074074]",0.15,0.0,y,0.7853107344632768,0.05,raibert,0.19340023537600778,0.0,0.0,0.29910213500261307,1.0,clip,0.5998357441999437,0.0,0.007509986553621348,0.0143151,,-0.395449,log-cycle,0.0,0,1.3,36.95215669284772,2,0.06232782453298569,0.0,keep,position,position,3,270,0.3277777777777778,0.8222222222222222,0.004957320199999534,off,0.0,lo,2026-08-31T16:00:02Z,stand,4,nan,31,stance,0.0939237782377951,1.1461471021820855,2.192629238957033,0.3277777777777778,{},0.0,0.0,1,0.0,,,,turn_stance,roll,5.3340765351994985,,0.0,FAIL,,0.024808047339320183,-0.05666743963956833,-11.341137886047363
none,--clip-archive data/skill_clips.npz --clip TURN --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase measured --settle-mode stand --cycles 60 --results-csv outputs/turn_entry_verify.csv --tag turn_measured --foot-comp raibert --foot-clip-rad 0.05 --foot-yaw log-cycle,off,0.0,0.0,0.0,0.0,0.0,0.342215895652771,identity,0.4698877880970637,True,True,TURN,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.05000000074505806,0.0,0.0,0.0,0.043378449976444244,0.0,0.0,0.18037629127502441,0.055910076946020126,0.0702996551990509,0.061102334409952164,0.03554091230034828,0.02500356175005436,0.019829280799998135,0.6132407407407408,0.5875925925925926,"[0.6411111111111111, 0.7037037037037037, 0.5955555555555555, 0.5125925925925926]",0.15,0.0,y,0.6344632768361582,0.05,raibert,0.19340007734771092,0.0,0.0,0.3042193353176117,1.0,clip,0.5998357441999437,0.0,0.007509986553621348,0.0143151,,-0.395449,log-cycle,0.0,0,1.3,42.781603621143134,2,0.06911198794841766,0.0,keep,position,position,62,2700,0.3277777777777778,0.8222222222222222,0.004957320199999534,off,0.0,lo,2026-08-31T16:00:31Z,stand,4,nan,6,measured,0.2045932868960723,1.120677166578039,1.6810157498670586,0.3277777777777778,{},0.0,0.0,1,0.0,,,,turn_measured,,,,0.0,PASS,,0.021148420870304108,0.03015902265906334,-21.333812713623047
