argv,drift_max_m,entry_frame,family,fell,final_dist_m,foot_comp,foot_len_bias,foot_yaw_bias,grid_cols,grid_rows,heading,heading_cap_rad,heading_len,heading_len_cap_rad,inplace_at,level_m,n_probes,param,probe,reached,rep,run_utc,score,settle_ok,skill,spawn_x,spawn_z0_m,steps,swing_lift_mm,swing_lift_sym,t_reached_s,yaw_cum_deg,yaw_ok_deg
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 45 --foot-comp on --heading off --results-csv outputs/turn_phase_sweep.csv,0.18592295050621033,2,step_down,0,3.903332079538447,on,0.0,0.0,3,3,off,0.0,0,0.04,spawn,0.02,9,probe.step_down@TURN,step_down_0p02,1,2,2026-08-31T15:46:57Z,inplace,1,TURN,1.0,0.0,398,0.0,1,6.86,-105.58186167867407,105.58186167867407
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 45 --foot-comp on --heading off --results-csv outputs/turn_phase_sweep.csv,0.194191575050354,2,step_down,0,3.8780919131879017,on,0.0,0.0,3,3,off,0.0,0,0.04,spawn,0.04,9,probe.step_down@TURN,step_down_0p04,1,2,2026-08-31T15:46:57Z,inplace,1,TURN,0.9999999999999982,0.0,398,0.0,1,5.94,-128.66131042574705,128.66131042574705
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 45 --foot-comp on --heading off --results-csv outputs/turn_phase_sweep.csv,0.5516878366470337,2,step_down,1,4.510358572672112,on,0.0,0.0,3,3,off,0.0,0,0.04,spawn,0.06,9,probe.step_down@TURN,step_down_0p06,0,2,2026-08-31T15:46:57Z,inplace,1,TURN,0.9999999999999964,0.0,398,0.0,1,nan,-62.08699125871192,63.68601715667705
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 45 --foot-comp on --heading off --results-csv outputs/turn_phase_sweep.csv,0.19798001646995544,2,gap,0,3.4214954292376265,on,0.0,0.0,3,3,off,0.0,0,0.04,spawn,0.05,9,probe.gap@TURN,gap_0p05,1,2,2026-08-31T15:46:57Z,inplace,1,TURN,1.0,0.0,398,0.0,1,5.96,-128.97247237038954,128.97247237038954
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 45 --foot-comp on --heading off --results-csv outputs/turn_phase_sweep.csv,0.2126302272081375,2,gap,0,3.4479965500765934,on,0.0,0.0,3,3,off,0.0,0,0.04,spawn,0.1,9,probe.gap@TURN,gap_0p10,1,2,2026-08-31T15:46:57Z,inplace,1,TURN,0.9999999999999982,0.0,398,0.0,1,5.46,-140.35381482189712,140.35381482189712
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 45 --foot-comp on --heading off --results-csv outputs/turn_phase_sweep.csv,0.20442433655261993,2,gap,0,3.4900075134058817,on,0.0,0.0,3,3,off,0.0,0,0.04,spawn,0.15,9,probe.gap@TURN,gap_0p15,1,2,2026-08-31T15:46:57Z,inplace,1,TURN,0.9999999999999964,0.0,398,0.0,1,6.0,-125.3996766638696,125.3996766638696
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 45 --foot-comp on --heading off --results-csv outputs/turn_phase_sweep.csv,0.44736021757125854,3,step_up,1,4.425703301304287,on,0.0,0.0,3,3,off,0.0,0,0.04,spawn,0.02,9,probe.step_up@TURN,step_up_0p02,0,3,2026-08-31T15:46:57Z,inplace,1,TURN,1.0,0.0,273,0.0,1,nan,-50.147998587979316,65.50408656631322
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 45 --foot-comp on --heading off --results-csv outputs/turn_phase_sweep.csv,0.5564001798629761,3,step_up,1,4.502952979629387,on,0.0,0.0,3,3,off,0.0,0,0.04,spawn,0.04,9,probe.step_up@TURN,step_up_0p04,0,3,2026-08-31T15:46:57Z,inplace,1,TURN,0.9999999999999982,0.0,273,0.0,1,nan,-45.14479218957007,57.15278224983146
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 45 --foot-comp on --heading off --results-csv outputs/turn_phase_sweep.csv,0.4058772921562195,3,step_up,1,4.39599012532532,on,0.0,0.0,3,3,off,0.0,0,0.04,spawn,0.06,9,probe.step_up@TURN,step_up_0p06,0,3,2026-08-31T15:46:57Z,inplace,1,TURN,0.9999999999999964,0.0,273,0.0,1,nan,-54.56496925647758,65.38039361080263
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 45 --foot-comp on --heading off --results-csv outputs/turn_phase_sweep.csv,0.4358712136745453,3,step_down,1,4.416311784870834,on,0.0,0.0,3,3,off,0.0,0,0.04,spawn,0.02,9,probe.step_down@TURN,step_down_0p02,0,3,2026-08-31T15:46:57Z,inplace,1,TURN,1.0,0.0,273,0.0,1,nan,-48.31596787128902,66.47176164250124
