argv,drift_max_m,entry_frame,family,fell,final_dist_m,foot_comp,grid_cols,grid_rows,heading,heading_cap_rad,heading_len,heading_len_cap_rad,inplace_at,level_m,n_probes,param,probe,reached,rep,run_utc,score,skill,spawn_x,spawn_z0_m,steps,swing_lift_mm,swing_lift_sym,t_reached_s,yaw_cum_deg,yaw_ok_deg
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --trace-npz outputs/trace_trot_headA.npz --results-csv outputs/trot_heading_A.csv,,0,step_up,1,1.5917477275484788,on,4,4,heading-only,0.0,0,0.04,obstacle,0.02,15,skill.STEP_TROT_MAX,step_up_0p02,0,0,2026-08-31T02:18:37Z,goal,TROT,1.0,0.0,901,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --trace-npz outputs/trace_trot_headA.npz --results-csv outputs/trot_heading_A.csv,,0,step_up,0,1.4894551929436997,on,4,4,heading-only,0.0,0,0.04,obstacle,0.04,15,skill.STEP_TROT_MAX,step_up_0p04,0,0,2026-08-31T02:18:37Z,goal,TROT,0.9999999999999982,0.0,901,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --trace-npz outputs/trace_trot_headA.npz --results-csv outputs/trot_heading_A.csv,,0,step_up,0,1.4469564597266256,on,4,4,heading-only,0.0,0,0.04,obstacle,0.06,15,skill.STEP_TROT_MAX,step_up_0p06,0,0,2026-08-31T02:18:37Z,goal,TROT,0.9999999999999964,0.0,901,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --trace-npz outputs/trace_trot_headA.npz --results-csv outputs/trot_heading_A.csv,,0,step_up,1,1.9064519078533149,on,4,4,heading-only,0.0,0,0.04,obstacle,0.08,15,skill.STEP_TROT_MAX,step_up_0p08,0,0,2026-08-31T02:18:37Z,goal,TROT,1.0,0.0,901,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --trace-npz outputs/trace_trot_headA.npz --results-csv outputs/trot_heading_A.csv,,0,step_up,0,1.4938548844866124,on,4,4,heading-only,0.0,0,0.04,obstacle,0.1,15,skill.STEP_TROT_MAX,step_up_0p10,0,0,2026-08-31T02:18:37Z,goal,TROT,1.0,0.0,901,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --trace-npz outputs/trace_trot_headA.npz --results-csv outputs/trot_heading_A.csv,,0,step_up,0,1.555225920498583,on,4,4,heading-only,0.0,0,0.04,obstacle,0.12,15,skill.STEP_TROT_MAX,step_up_0p12,0,0,2026-08-31T02:18:37Z,goal,TROT,0.9999999999999982,0.0,901,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --trace-npz outputs/trace_trot_headA.npz --results-csv outputs/trot_heading_A.csv,,0,step_up,1,1.1561229928163668,on,4,4,heading-only,0.0,0,0.04,obstacle,0.14,15,skill.STEP_TROT_MAX,step_up_0p14,0,0,2026-08-31T02:18:37Z,goal,TROT,0.9999999999999964,0.0,901,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --trace-npz outputs/trace_trot_headA.npz --results-csv outputs/trot_heading_A.csv,,0,step_up,1,1.9496417613279526,on,4,4,heading-only,0.0,0,0.04,obstacle,0.16,15,skill.STEP_TROT_MAX,step_up_0p16,0,0,2026-08-31T02:18:37Z,goal,TROT,1.0,0.0,901,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --trace-npz outputs/trace_trot_headA.npz --results-csv outputs/trot_heading_A.csv,,0,step_up,1,1.7290804790539986,on,4,4,heading-only,0.0,0,0.04,obstacle,0.18,15,skill.STEP_TROT_MAX,step_up_0p18,0,0,2026-08-31T02:18:37Z,goal,TROT,1.0,0.0,901,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --trace-npz outputs/trace_trot_headA.npz --results-csv outputs/trot_heading_A.csv,,0,step_up,1,1.56818210551618,on,4,4,heading-only,0.0,0,0.04,obstacle,0.2,15,skill.STEP_TROT_MAX,step_up_0p20,0,0,2026-08-31T02:18:37Z,goal,TROT,0.9999999999999982,0.0,901,0.0,1,nan,,
