ablation,argv,balance_comp,balance_kd_pitch,balance_kd_roll,balance_kp_pitch,balance_kp_roll,balance_max_rad,base_height_mean_m,best_mapping,best_mapping_r,cap_effort_target,cap_runtime_gains,clip,clip_archive,cmd_jump_rad,contact_rule,contact_threshold_n,decimation,dev_cmd_max_rad,dev_cmd_rms_calf_stance,dev_cmd_rms_calf_swing,dev_cmd_rms_hip_stance,dev_cmd_rms_hip_swing,dev_cmd_rms_thigh_stance,dev_cmd_rms_thigh_swing,dev_meas_rms_calf_stance,dev_meas_rms_calf_swing,dev_meas_rms_hip_stance,dev_meas_rms_hip_swing,dev_meas_rms_thigh_stance,dev_meas_rms_thigh_swing,dt,duty,duty_bare_threshold,duty_per_leg,fall_height_m,flight_frac,foot_axis,foot_cap_hit_frac,foot_clip_rad,foot_comp,foot_hip_x_front_m,foot_k,foot_len_bias,foot_lever_m,foot_sign,foot_swing_source,foot_t_stance_s,foot_vel_filter_hz,foot_vx_des,foot_vy_log,foot_vy_target,foot_wz_log,foot_yaw,foot_yaw_bias,gain_writes,ground_friction_mu,handover_ang_dps,handover_feet_loaded,handover_speed_mps,hip_offset_rad_max,hip_sign,mode_requested,mode_used,n_cycles,n_steps,overwrite_frac_legsteps,overwrite_frac_time,phys_dt,plant_comp,plant_comp_alpha,rate,run_utc,settle_mode,start_feet_down,start_foot_spread_m,start_frame,start_phase,stride_cv,stride_hz,stride_hz_bare_threshold,swing_frac,switch_after_cycles,switch_step,switch_t_s,tag,term_reason,terminated_s,then_clip,torque_saturated_frac,verdict,via_clip,vx_mean,vy_mean,yaw_rate_deg_s
none,--clip-archive data/skill_clips.npz --clip WALK --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --foot-comp raibert --foot-clip-rad 0.05 --tag h_walk_a0 --results-csv outputs/height_comp.csv --trace-npz outputs/traces/height/h_walk_a0.npz --plant-comp height --plant-comp-alpha 0,off,0.0,0.0,0.0,0.0,0.0,0.3160277307033539,identity,0.5329794835679108,True,True,WALK,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.05000000074505806,0.0,0.0,0.0,0.040190935134887695,0.0,0.0,0.2321527749300003,0.0421438030898571,0.10255441069602966,0.04920674487948418,0.08192294090986252,0.04644153639674187,0.01977108591891901,0.5875,0.5522522522522523,"[0.6522522522522523, 0.5527027027027027, 0.5617117117117117, 0.5833333333333334]",0.15,0.0,y,0.43033333333333335,0.05,raibert,0.19340020381222495,0.0,0.0,0.2869259938597679,1.0,clip,0.48439160501351586,0.0,0.18746616149213685,0.00722115,0.0,-0.0128187,off,0.0,0,1.3,3.1959654678462646,3,0.019550304859876633,0.0,keep,position,position,58,2220,0.33783783783783783,0.7837837837837838,0.004942771479729753,height,0.0,lo,2026-08-29T14:37:50Z,stand,3,0.026363134384155273,18,level,0.023422657324677534,1.3669976013388716,1.3669976013388716,0.33783783783783783,,,,h_walk_a0,,,,0.0,WARN,,0.2313266545534134,-0.003380662063136697,3.0016932487487793
none,--clip-archive data/skill_clips.npz --clip WALK --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --foot-comp raibert --foot-clip-rad 0.05 --tag h_walk_a05 --results-csv outputs/height_comp.csv --trace-npz outputs/traces/height/h_walk_a05.npz --plant-comp height --plant-comp-alpha 0.5,off,0.0,0.0,0.0,0.0,0.0,0.34875038266181946,identity,0.506409628592812,True,True,WALK,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.05000000074505806,0.0,0.0,0.0,0.03739552199840546,0.0,0.0,0.22032351791858673,0.042242154479026794,0.10638552159070969,0.04772864282131195,0.07740473002195358,0.04625041037797928,0.01977108591891901,0.5833333333333334,0.5471846846846847,"[0.6585585585585586, 0.5234234234234234, 0.5621621621621622, 0.5891891891891892]",0.15,0.0,y,0.302,0.05,raibert,0.1934002402455786,0.0,0.0,0.3197675943374634,1.0,clip,0.48439160501351586,0.0,0.18746616149213685,0.00722115,0.0,-0.0128187,off,0.0,0,1.3,4.025764296337467,2,0.07802097499370575,0.22895856443361035,keep,position,position,58,2220,0.33783783783783783,0.7837837837837838,0.004942771479729753,height,0.5,lo,2026-08-29T14:38:29Z,stand,3,0.026363134384155273,18,level,0.022087378848405437,1.3669976013388716,1.3669976013388716,0.33783783783783783,,,,h_walk_a05,,,,0.0,WARN,,0.2677878439426422,0.008658836595714092,4.333327293395996
none,--clip-archive data/skill_clips.npz --clip WALK --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --foot-comp raibert --foot-clip-rad 0.05 --tag h_walk_a10 --results-csv outputs/height_comp.csv --trace-npz outputs/traces/height/h_walk_a10.npz --plant-comp height --plant-comp-alpha 1.0,off,0.0,0.0,0.0,0.0,0.0,0.36684486269950867,identity,0.40801415451565615,True,True,WALK,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.05000000074505806,0.0,0.0,0.0,0.040413957089185715,0.0,0.0,0.18796242773532867,0.07595022022724152,0.11472547799348831,0.06526794284582138,0.13590621948242188,0.17462576925754547,0.01977108591891901,0.5266272189349113,0.522189349112426,"[0.7041420118343196, 0.5502958579881657, 0.378698224852071, 0.47337278106508873]",0.15,0.011834319526627219,y,0.5043859649122807,0.05,raibert,0.19340021749959208,0.0,0.0,0.3481900244951248,1.0,clip,0.48439160501351586,0.0,0.18746616149213685,0.00722115,0.0,-0.0128187,off,0.0,0,1.3,5.055570273633684,2,0.12327643483877182,0.4579171288672207,keep,position,position,3,169,0.33727810650887574,0.7810650887573964,0.004942771479729753,height,1.0,lo,2026-08-29T14:39:07Z,stand,3,0.026363134384155273,18,level,0.16162440712835371,1.2968951602445704,2.593790320489141,0.33727810650887574,,,,h_walk_a10,roll,3.3215424343783937,,0.0029585798816568047,FAIL,,0.33754852414131165,0.11962484568357468,3.9649667739868164
none,--clip-archive data/skill_clips.npz --clip TROT --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --foot-comp raibert --foot-clip-rad 0.05 --tag h_trot_a0 --results-csv outputs/height_comp.csv --trace-npz outputs/traces/height/h_trot_a0.npz --plant-comp height --plant-comp-alpha 0,off,0.0,0.0,0.0,0.0,0.0,0.3335344195365906,identity,0.6181180032104512,True,True,TROT,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.05000000074505806,0.0,0.0,0.0,0.022225670516490936,0.0,0.0,0.24396151304244995,0.0688866451382637,0.1161646768450737,0.03363433852791786,0.1209273561835289,0.053456589579582214,0.020090821531248082,0.54296875,0.537109375,"[0.5869791666666667, 0.5692708333333333, 0.4713541666666667, 0.5442708333333334]",0.15,0.0,y,0.020061728395061727,0.05,raibert,0.1934001270520398,0.0,0.0,0.31089838594198227,1.0,clip,0.3716801983280895,0.0,0.443721311481766,-0.00273842,0.0,0.019511,off,0.0,0,1.3,13.176564451488588,3,0.06827092915773392,0.0,keep,position,position,58,1920,0.421875,0.90625,0.0050227053828120205,height,0.0,lo,2026-08-29T14:39:35Z,stand,2,0.014293946325778961,16,level,0.018806214062007987,1.555436643115643,2.765220698872254,0.421875,,,,h_trot_a0,,,,0.0,WARN,,0.6585094332695007,0.01522577740252018,5.321401119232178
none,--clip-archive data/skill_clips.npz --clip TROT --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --foot-comp raibert --foot-clip-rad 0.05 --tag h_trot_a10 --results-csv outputs/height_comp.csv --trace-npz outputs/traces/height/h_trot_a10.npz --plant-comp height --plant-comp-alpha 1.0,off,0.0,0.0,0.0,0.0,0.0,0.38251152634620667,identity,0.4596454964655883,True,True,TROT,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.05000000074505806,0.0,0.0,0.0,0.0419546402990818,0.0,0.0,0.2988567650318146,0.1081903800368309,0.14524884521961212,0.13217395544052124,0.11386892944574356,0.13703101873397827,0.020090821531248082,0.5054945054945055,0.5054945054945055,"[0.7142857142857143, 0.27472527472527475, 0.6153846153846154, 0.4175824175824176]",0.15,0.0,y,0.5986842105263158,0.05,raibert,0.19340012330010747,0.0,0.0,0.37434444576501846,1.0,clip,0.3716801983280895,0.0,0.443721311481766,-0.00273842,0.0,0.019511,off,0.0,0,1.3,7.28877660862387,2,0.13778945803642273,0.5985280631711506,keep,position,position,2,91,0.4175824175824176,0.9010989010989011,0.0050227053828120205,height,1.0,lo,2026-08-29T14:40:11Z,stand,2,0.014293946325778961,16,level,0.01694915254237288,1.6872533077864602,2.0739155241541907,0.4175824175824176,,,,h_trot_a10,roll,1.8081739378123274,,0.0027472527472527475,FAIL,,0.3678222596645355,0.25294631719589233,36.69169616699219
none,--clip-archive data/skill_clips.npz --clip TURN --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --foot-comp raibert --foot-clip-rad 0.05 --tag h_turn_a0 --results-csv outputs/height_comp.csv --trace-npz outputs/traces/height/h_turn_a0.npz --plant-comp height --plant-comp-alpha 0 --foot-yaw log-cycle --foot-clip-rad 0.05,off,0.0,0.0,0.0,0.0,0.0,0.34196025133132935,identity,0.44889874270243385,True,True,TURN,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.05000000074505806,0.0,0.0,0.0,0.043781232088804245,0.0,0.0,0.18038158118724823,0.05616682022809982,0.07519998401403427,0.06346005946397781,0.03598593547940254,0.02631206437945366,0.019829280799998135,0.6214814814814815,0.5919444444444445,"[0.6566666666666666, 0.705925925925926, 0.6096296296296296, 0.5137037037037037]",0.15,0.0,y,0.6488700564971751,0.05,raibert,0.1934002084666337,0.0,0.0,0.29903870075941086,1.0,clip,0.5998357441999437,0.0,0.007509986553621348,0.0143151,,-0.395449,log-cycle,0.0,0,1.3,32.107841608921596,2,0.06130257248878479,0.0,keep,position,position,63,2700,0.3277777777777778,0.8222222222222222,0.004957320199999534,height,0.0,lo,2026-08-29T14:40:39Z,stand,3,0.005334831774234772,24,level,0.22556427055053377,1.120677166578039,1.738981810207302,0.3277777777777778,,,,h_turn_a0,,,,0.0,PASS,,0.02003386802971363,0.02941245213150978,-20.657011032104492
none,--clip-archive data/skill_clips.npz --clip TURN --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --foot-comp raibert --foot-clip-rad 0.05 --tag h_turn_a10 --results-csv outputs/height_comp.csv --trace-npz outputs/traces/height/h_turn_a10.npz --plant-comp height --plant-comp-alpha 1.0 --foot-yaw log-cycle --foot-clip-rad 0.05,off,0.0,0.0,0.0,0.0,0.0,0.34405234456062317,diagonal_swapped + thigh sign flipped,0.24034128764328144,True,True,TURN,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.05000000074505806,0.0,0.0,0.0,0.04221361130475998,0.0,0.0,0.24684666097164154,0.12781156599521637,0.17018766701221466,0.12291263788938522,0.13279244303703308,0.13137049973011017,0.019829280799998135,0.6269230769230769,0.48205128205128206,"[0.6307692307692307, 0.4666666666666667, 0.8564102564102564, 0.5538461538461539]",0.15,0.005128205128205128,y,0.6088709677419355,0.05,raibert,0.19340018137947979,0.0,0.0,0.3460215553641319,1.0,clip,0.5998357441999437,0.0,0.007509986553621348,0.0143151,,-0.395449,log-cycle,0.0,0,1.3,31.423354201248767,2,0.11911854147911072,0.4823185672828177,keep,position,position,3,195,0.31794871794871793,0.8102564102564103,0.004957320199999534,height,1.0,lo,2026-08-29T14:41:19Z,stand,3,0.005334831774234772,24,level,0.519258730913241,1.8010883034289913,2.401451071238655,0.31794871794871793,,,,h_turn_a10,roll,3.8468804751996384,,0.0,FAIL,,-0.027385221794247627,0.10869622230529785,3.243368625640869
