argv,drift_max_m,entry_frame,family,fell,final_dist_m,foot_comp,foot_len_bias,foot_yaw_bias,grid_cols,grid_rows,heading,heading_cap_rad,heading_len,heading_len_cap_rad,inplace_at,level_m,n_probes,param,probe,reached,rep,run_utc,score,settle_ok,skill,spawn_x,spawn_z0_m,steps,swing_lift_mm,swing_lift_sym,t_reached_s,yaw_cum_deg,yaw_ok_deg
--headless --device cpu --params skill.STEP_TROT_MAX --max-probes 1 --reps 5 --foot-comp on --heading heading-only --foot-yaw-bias -0.02 --trace-full --trace-npz outputs/trace_ff_C.npz --results-csv outputs/trot_ff_C.csv,,0,step_up,1,1.695109083345664,on,0.0,-0.02,1,1,heading-only,0.0,0,0.04,obstacle,0.02,1,skill.STEP_TROT_MAX,step_up_0p02,0,0,2026-08-31T02:28:50Z,goal,1,TROT,1.0,0.0,357,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --max-probes 1 --reps 5 --foot-comp on --heading heading-only --foot-yaw-bias -0.02 --trace-full --trace-npz outputs/trace_ff_C.npz --results-csv outputs/trot_ff_C.csv,,6,step_up,1,3.6738563137677103,on,0.0,-0.02,1,1,heading-only,0.0,0,0.04,obstacle,0.02,1,skill.STEP_TROT_MAX,step_up_0p02,0,1,2026-08-31T02:28:50Z,goal,1,TROT,1.0,0.0,68,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --max-probes 1 --reps 5 --foot-comp on --heading heading-only --foot-yaw-bias -0.02 --trace-full --trace-npz outputs/trace_ff_C.npz --results-csv outputs/trot_ff_C.csv,,13,step_up,1,4.118721964036063,on,0.0,-0.02,1,1,heading-only,0.0,0,0.04,obstacle,0.02,1,skill.STEP_TROT_MAX,step_up_0p02,0,2,2026-08-31T02:28:50Z,goal,1,TROT,1.0,0.0,67,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --max-probes 1 --reps 5 --foot-comp on --heading heading-only --foot-yaw-bias -0.02 --trace-full --trace-npz outputs/trace_ff_C.npz --results-csv outputs/trot_ff_C.csv,,19,step_up,1,4.193484481133827,on,0.0,-0.02,1,1,heading-only,0.0,0,0.04,obstacle,0.02,1,skill.STEP_TROT_MAX,step_up_0p02,0,3,2026-08-31T02:28:50Z,goal,1,TROT,1.0,0.0,79,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --max-probes 1 --reps 5 --foot-comp on --heading heading-only --foot-yaw-bias -0.02 --trace-full --trace-npz outputs/trace_ff_C.npz --results-csv outputs/trot_ff_C.csv,,26,step_up,1,4.284181242296723,on,0.0,-0.02,1,1,heading-only,0.0,0,0.04,obstacle,0.02,1,skill.STEP_TROT_MAX,step_up_0p02,0,4,2026-08-31T02:28:50Z,goal,1,TROT,1.0,0.0,59,0.0,1,nan,,
