argv,drift_max_m,entry_frame,family,fell,final_dist_m,foot_com_height_m,foot_comp,foot_gain,foot_len_bias,foot_offset_clip_m,foot_vy_avg_n,foot_yaw_bias,grid_cols,grid_rows,heading,heading_cap_rad,heading_len,heading_len_cap_rad,inplace_at,level_m,n_probes,param,probe,reached,rep,run_utc,score,settle_ok,skill,spawn_x,spawn_z0_m,steps,swing_lift_mm,swing_lift_sym,t_reached_s,yaw_cum_deg,yaw_ok_deg
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --results-csv outputs/trot_capture.csv --trace-npz outputs/trace_trot_cap_M.npz --foot-offset-clip-m 0.05,,19,step_up,1,4.225016212475551,,on,half-stance,0.0,0.05,0,0.0,4,4,heading-only,0.0,0,0.04,obstacle,0.02,15,skill.STEP_TROT_MAX,step_up_0p02,0,3,2026-08-31T15:56:56Z,goal,1,TROT,1.0,0.0,81,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --results-csv outputs/trot_capture.csv --trace-npz outputs/trace_trot_cap_M.npz --foot-offset-clip-m 0.05,,19,step_up,1,4.232735279390242,,on,half-stance,0.0,0.05,0,0.0,4,4,heading-only,0.0,0,0.04,obstacle,0.04,15,skill.STEP_TROT_MAX,step_up_0p04,0,3,2026-08-31T15:56:56Z,goal,1,TROT,0.9999999999999982,0.0,81,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --results-csv outputs/trot_capture.csv --trace-npz outputs/trace_trot_cap_M.npz --foot-offset-clip-m 0.05,,19,step_up,1,4.22857525917441,,on,half-stance,0.0,0.05,0,0.0,4,4,heading-only,0.0,0,0.04,obstacle,0.06,15,skill.STEP_TROT_MAX,step_up_0p06,0,3,2026-08-31T15:56:56Z,goal,1,TROT,0.9999999999999964,0.0,81,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --results-csv outputs/trot_capture.csv --trace-npz outputs/trace_trot_cap_M.npz --foot-offset-clip-m 0.05,,19,step_up,1,4.216418562736971,,on,half-stance,0.0,0.05,0,0.0,4,4,heading-only,0.0,0,0.04,obstacle,0.08,15,skill.STEP_TROT_MAX,step_up_0p08,0,3,2026-08-31T15:56:56Z,goal,1,TROT,1.0,0.0,81,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --results-csv outputs/trot_capture.csv --trace-npz outputs/trace_trot_cap_M.npz --foot-offset-clip-m 0.05,,19,step_up,1,4.227276773228247,,on,half-stance,0.0,0.05,0,0.0,4,4,heading-only,0.0,0,0.04,obstacle,0.1,15,skill.STEP_TROT_MAX,step_up_0p10,0,3,2026-08-31T15:56:56Z,goal,1,TROT,1.0,0.0,81,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --results-csv outputs/trot_capture.csv --trace-npz outputs/trace_trot_cap_M.npz --foot-offset-clip-m 0.05,,19,step_up,1,4.239945951364849,,on,half-stance,0.0,0.05,0,0.0,4,4,heading-only,0.0,0,0.04,obstacle,0.12,15,skill.STEP_TROT_MAX,step_up_0p12,0,3,2026-08-31T15:56:56Z,goal,1,TROT,0.9999999999999982,0.0,81,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --results-csv outputs/trot_capture.csv --trace-npz outputs/trace_trot_cap_M.npz --foot-offset-clip-m 0.05,,19,step_up,1,4.252604352763762,,on,half-stance,0.0,0.05,0,0.0,4,4,heading-only,0.0,0,0.04,obstacle,0.14,15,skill.STEP_TROT_MAX,step_up_0p14,0,3,2026-08-31T15:56:56Z,goal,1,TROT,0.9999999999999964,0.0,81,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --results-csv outputs/trot_capture.csv --trace-npz outputs/trace_trot_cap_M.npz --foot-offset-clip-m 0.05,,19,step_up,1,4.228167555840716,,on,half-stance,0.0,0.05,0,0.0,4,4,heading-only,0.0,0,0.04,obstacle,0.16,15,skill.STEP_TROT_MAX,step_up_0p16,0,3,2026-08-31T15:56:56Z,goal,1,TROT,1.0,0.0,81,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --results-csv outputs/trot_capture.csv --trace-npz outputs/trace_trot_cap_M.npz --foot-offset-clip-m 0.05,,19,step_up,1,4.2279522086241705,,on,half-stance,0.0,0.05,0,0.0,4,4,heading-only,0.0,0,0.04,obstacle,0.18,15,skill.STEP_TROT_MAX,step_up_0p18,0,3,2026-08-31T15:56:56Z,goal,1,TROT,1.0,0.0,81,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --results-csv outputs/trot_capture.csv --trace-npz outputs/trace_trot_cap_M.npz --foot-offset-clip-m 0.05,,19,step_up,1,4.232336905200933,,on,half-stance,0.0,0.05,0,0.0,4,4,heading-only,0.0,0,0.04,obstacle,0.2,15,skill.STEP_TROT_MAX,step_up_0p20,0,3,2026-08-31T15:56:56Z,goal,1,TROT,0.9999999999999982,0.0,81,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --results-csv outputs/trot_capture.csv --trace-npz outputs/trace_trot_cap_M.npz --foot-offset-clip-m 0.05,,19,step_up,1,4.230257821798459,,on,half-stance,0.0,0.05,0,0.0,4,4,heading-only,0.0,0,0.04,obstacle,0.22,15,skill.STEP_TROT_MAX,step_up_0p22,0,3,2026-08-31T15:56:56Z,goal,1,TROT,0.9999999999999964,0.0,81,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --results-csv outputs/trot_capture.csv --trace-npz outputs/trace_trot_cap_M.npz --foot-offset-clip-m 0.05,,19,step_up,1,4.232842309574012,,on,half-stance,0.0,0.05,0,0.0,4,4,heading-only,0.0,0,0.04,obstacle,0.24,15,skill.STEP_TROT_MAX,step_up_0p24,0,3,2026-08-31T15:56:56Z,goal,1,TROT,1.0,0.0,81,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --results-csv outputs/trot_capture.csv --trace-npz outputs/trace_trot_cap_M.npz --foot-offset-clip-m 0.05,,19,step_up,1,4.231942804232076,,on,half-stance,0.0,0.05,0,0.0,4,4,heading-only,0.0,0,0.04,obstacle,0.26,15,skill.STEP_TROT_MAX,step_up_0p26,0,3,2026-08-31T15:56:56Z,goal,1,TROT,1.0,0.0,81,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --results-csv outputs/trot_capture.csv --trace-npz outputs/trace_trot_cap_M.npz --foot-offset-clip-m 0.05,,19,step_up,1,4.220624070802793,,on,half-stance,0.0,0.05,0,0.0,4,4,heading-only,0.0,0,0.04,obstacle,0.28,15,skill.STEP_TROT_MAX,step_up_0p28,0,3,2026-08-31T15:56:56Z,goal,1,TROT,0.9999999999999982,0.0,81,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --results-csv outputs/trot_capture.csv --trace-npz outputs/trace_trot_cap_M.npz --foot-offset-clip-m 0.05,,19,step_up,1,4.225285532742073,,on,half-stance,0.0,0.05,0,0.0,4,4,heading-only,0.0,0,0.04,obstacle,0.3,15,skill.STEP_TROT_MAX,step_up_0p30,0,3,2026-08-31T15:56:56Z,goal,1,TROT,0.9999999999999964,0.0,81,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --results-csv outputs/trot_capture.csv --trace-npz outputs/trace_trot_cap_M.npz --foot-offset-clip-m 0.05,,26,step_up,1,4.269428769953572,,on,half-stance,0.0,0.05,0,0.0,4,4,heading-only,0.0,0,0.04,obstacle,0.02,15,skill.STEP_TROT_MAX,step_up_0p02,0,4,2026-08-31T15:56:56Z,goal,1,TROT,1.0,0.0,63,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --results-csv outputs/trot_capture.csv --trace-npz outputs/trace_trot_cap_M.npz --foot-offset-clip-m 0.05,,26,step_up,1,4.2714177643014395,,on,half-stance,0.0,0.05,0,0.0,4,4,heading-only,0.0,0,0.04,obstacle,0.04,15,skill.STEP_TROT_MAX,step_up_0p04,0,4,2026-08-31T15:56:56Z,goal,1,TROT,0.9999999999999982,0.0,63,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --results-csv outputs/trot_capture.csv --trace-npz outputs/trace_trot_cap_M.npz --foot-offset-clip-m 0.05,,26,step_up,1,4.27262831317167,,on,half-stance,0.0,0.05,0,0.0,4,4,heading-only,0.0,0,0.04,obstacle,0.06,15,skill.STEP_TROT_MAX,step_up_0p06,0,4,2026-08-31T15:56:56Z,goal,1,TROT,0.9999999999999964,0.0,63,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --results-csv outputs/trot_capture.csv --trace-npz outputs/trace_trot_cap_M.npz --foot-offset-clip-m 0.05,,26,step_up,1,4.296443567714206,,on,half-stance,0.0,0.05,0,0.0,4,4,heading-only,0.0,0,0.04,obstacle,0.08,15,skill.STEP_TROT_MAX,step_up_0p08,0,4,2026-08-31T15:56:56Z,goal,1,TROT,1.0,0.0,63,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --results-csv outputs/trot_capture.csv --trace-npz outputs/trace_trot_cap_M.npz --foot-offset-clip-m 0.05,,26,step_up,1,4.251175051170828,,on,half-stance,0.0,0.05,0,0.0,4,4,heading-only,0.0,0,0.04,obstacle,0.1,15,skill.STEP_TROT_MAX,step_up_0p10,0,4,2026-08-31T15:56:56Z,goal,1,TROT,1.0,0.0,63,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --results-csv outputs/trot_capture.csv --trace-npz outputs/trace_trot_cap_M.npz --foot-offset-clip-m 0.05,,26,step_up,1,4.244924360137434,,on,half-stance,0.0,0.05,0,0.0,4,4,heading-only,0.0,0,0.04,obstacle,0.12,15,skill.STEP_TROT_MAX,step_up_0p12,0,4,2026-08-31T15:56:56Z,goal,1,TROT,0.9999999999999982,0.0,63,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --results-csv outputs/trot_capture.csv --trace-npz outputs/trace_trot_cap_M.npz --foot-offset-clip-m 0.05,,26,step_up,1,4.273043324179622,,on,half-stance,0.0,0.05,0,0.0,4,4,heading-only,0.0,0,0.04,obstacle,0.14,15,skill.STEP_TROT_MAX,step_up_0p14,0,4,2026-08-31T15:56:56Z,goal,1,TROT,0.9999999999999964,0.0,63,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --results-csv outputs/trot_capture.csv --trace-npz outputs/trace_trot_cap_M.npz --foot-offset-clip-m 0.05,,26,step_up,1,4.267058221931971,,on,half-stance,0.0,0.05,0,0.0,4,4,heading-only,0.0,0,0.04,obstacle,0.16,15,skill.STEP_TROT_MAX,step_up_0p16,0,4,2026-08-31T15:56:56Z,goal,1,TROT,1.0,0.0,63,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --results-csv outputs/trot_capture.csv --trace-npz outputs/trace_trot_cap_M.npz --foot-offset-clip-m 0.05,,26,step_up,1,4.3027250969439885,,on,half-stance,0.0,0.05,0,0.0,4,4,heading-only,0.0,0,0.04,obstacle,0.18,15,skill.STEP_TROT_MAX,step_up_0p18,0,4,2026-08-31T15:56:56Z,goal,1,TROT,1.0,0.0,63,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --results-csv outputs/trot_capture.csv --trace-npz outputs/trace_trot_cap_M.npz --foot-offset-clip-m 0.05,,26,step_up,1,4.281780842673419,,on,half-stance,0.0,0.05,0,0.0,4,4,heading-only,0.0,0,0.04,obstacle,0.2,15,skill.STEP_TROT_MAX,step_up_0p20,0,4,2026-08-31T15:56:56Z,goal,1,TROT,0.9999999999999982,0.0,63,0.0,1,nan,,
