argv,entry_frame,family,fell,final_dist_m,foot_comp,grid_cols,grid_rows,level_m,n_probes,param,probe,reached,rep,run_utc,skill,steps,t_reached_s
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid4.csv,0,gap,1,0.9791206910580343,on,7,6,0.05,42,robot.FOOT_SPAN_X,gap_0p05,0,0,2026-08-29T13:54:06Z,WALK,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid4.csv,0,gap,1,1.0152303721690281,on,7,6,0.1,42,robot.FOOT_SPAN_X,gap_0p10,0,0,2026-08-29T13:54:06Z,WALK,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid4.csv,0,gap,1,0.6097371932569282,on,7,6,0.15,42,robot.FOOT_SPAN_X,gap_0p15,0,0,2026-08-29T13:54:06Z,WALK,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid4.csv,0,gap,0,0.724957534288534,on,7,6,0.2,42,robot.FOOT_SPAN_X,gap_0p20,0,0,2026-08-29T13:54:06Z,WALK,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid4.csv,0,gap,0,0.8123987541961804,on,7,6,0.25,42,robot.FOOT_SPAN_X,gap_0p25,0,0,2026-08-29T13:54:06Z,WALK,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid4.csv,0,gap,1,1.0045729766675922,on,7,6,0.3,42,robot.FOOT_SPAN_X,gap_0p30,0,0,2026-08-29T13:54:06Z,WALK,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid4.csv,0,gap,1,0.7510664351409889,on,7,6,0.35,42,robot.FOOT_SPAN_X,gap_0p35,0,0,2026-08-29T13:54:06Z,WALK,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid4.csv,0,gap,1,1.4105028061103084,on,7,6,0.4,42,robot.FOOT_SPAN_X,gap_0p40,0,0,2026-08-29T13:54:06Z,WALK,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid4.csv,0,gap,1,0.9261294683667995,on,7,6,0.45,42,robot.FOOT_SPAN_X,gap_0p45,0,0,2026-08-29T13:54:06Z,WALK,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid4.csv,0,gap,1,1.0509530437322645,on,7,6,0.5,42,robot.FOOT_SPAN_X,gap_0p50,0,0,2026-08-29T13:54:06Z,WALK,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid4.csv,0,gap,1,1.1288228465392436,on,7,6,0.55,42,robot.FOOT_SPAN_X,gap_0p55,0,0,2026-08-29T13:54:06Z,WALK,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid4.csv,0,gap,1,1.036599576066016,on,7,6,0.6,42,robot.FOOT_SPAN_X,gap_0p60,0,0,2026-08-29T13:54:06Z,WALK,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid4.csv,0,step_up,1,1.4847161712721062,on,7,6,0.02,42,skill.STEP_TROT_MAX,step_up_0p02,0,0,2026-08-29T13:54:06Z,TROT,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid4.csv,0,step_up,1,1.8199357199378026,on,7,6,0.04,42,skill.STEP_TROT_MAX,step_up_0p04,0,0,2026-08-29T13:54:06Z,TROT,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid4.csv,0,step_up,1,1.8694086623248587,on,7,6,0.06,42,skill.STEP_TROT_MAX,step_up_0p06,0,0,2026-08-29T13:54:06Z,TROT,2193,nan
