task,level,switch_delay_s,step_walk_max_m,lookahead_trot_m,px_ground_width_m,obs_step_up_max,obs_step_up_p95,obs_step_up_mean,true_step_up_max,true_step_up_p95,true_step_up_mean,ticks_in_jump_band,jump_gate,requests_dropped_busy,jump_detections,jump_tracks_missed,jump_band_ticks,jump_blocked_far,jump_blocked_retrigger,switches,jumps,goals_reached,goals_total,sim_time_s,travelled_m,stalled,timed_out,n_segments,warn_tick_frac,blind_tick_frac,stale_tick_frac,unsupported_fatal,unsupported_unverified,frac_WALK,frac_TROT,frac_RUN,frac_JUMP,sequence
forward_ramp_lips,1,0,0.06,0.05,0.00316793,0.27,0.27,0.116442,0.27,0.27,0.116442,0,near_edge,0,0,0,0,0,0,24,0,8,8,54.8,13.2293,False,False,25,1,0,0,51,0,0.859489,0.0547445,0.0857664,0,TROT→WALK→TROT→WALK→RUN→WALK→TROT→WALK→RUN→WALK→TROT→WALK→RUN→WALK→TROT→WALK→RUN→WALK→TROT→WALK→RUN→WALK→TROT→WALK→RUN
forward_ramp_lips,2,0,0.06,0.05,0.00316793,0.285,0.285,0.116094,0.285,0.285,0.116094,0,near_edge,0,0,0,0,0,0,20,0,8,8,55.3,13.2718,False,False,21,1,0,0,52,0,0.864376,0.0506329,0.084991,0,TROT→WALK→TROT→WALK→RUN→WALK→TROT→WALK→RUN→WALK→TROT→WALK→RUN→WALK→RUN→WALK→TROT→WALK→RUN→WALK→RUN
forward_ramp_lips,3,0,0.06,0.05,0.00316793,0.29,0.29,0.122094,0.29,0.29,0.122094,0,near_edge,0,0,0,0,0,0,22,0,8,8,55.4,13.5076,False,False,23,1,0,0,53,0,0.855596,0.0631769,0.0812274,0,TROT→WALK→TROT→WALK→RUN→WALK→TROT→WALK→RUN→WALK→RUN→WALK→TROT→WALK→RUN→WALK→TROT→WALK→RUN→WALK→TROT→WALK→RUN
forward_ramp_lips,4,0,0.06,0.05,0.00316793,0.3,0.3,0.125585,0.3,0.3,0.125585,0,near_edge,0,0,0,0,0,0,18,0,8,8,55.6,13.2132,False,False,19,1,0,0,53,0,0.868705,0.0359712,0.0953237,0,TROT→WALK→TROT→WALK→RUN→WALK→TROT→WALK→RUN→WALK→RUN→WALK→RUN→WALK→TROT→WALK→RUN→WALK→RUN
forward_ramp_lips,5,0,0.06,0.05,0.00316793,0.31,0.31,0.13707,0.31,0.31,0.13707,0,near_edge,0,0,0,0,0,0,14,0,8,8,51.2,11.853,False,False,15,1,0,0,52,0,0.884766,0.0117187,0.103516,0,TROT→WALK→TROT→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
forward_ramp_lips,6,0,0.06,0.05,0.00316793,0.31,0.31,0.122483,0.31,0.31,0.122483,0,near_edge,0,0,0,0,0,0,18,0,8,8,58.2,13.6066,False,False,19,1,0,0,53,0,0.881443,0.0274914,0.0910653,0,TROT→WALK→TROT→WALK→RUN→WALK→RUN→WALK→RUN→WALK→TROT→WALK→RUN→WALK→RUN→WALK→TROT→WALK→RUN
forward_ramp_lips,7,0,0.06,0.05,0.00316793,0.315,0.315,0.132465,0.315,0.315,0.132465,0,near_edge,0,0,0,0,0,0,18,0,8,8,57,13.6074,False,False,19,1,0,0,52,0,0.868421,0.0403509,0.0912281,0,TROT→WALK→TROT→WALK→RUN→WALK→TROT→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→TROT→WALK→RUN
forward_ramp_lips,8,0,0.06,0.05,0.00316793,0.335,0.335,0.140458,0.335,0.335,0.140458,0,near_edge,0,0,0,0,0,0,12,0,8,8,55.7,12.7627,False,False,13,1,0,0,52,0,0.890485,0,0.109515,0,TROT→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
forward_ramp_lips,9,0,0.06,0.05,0.00316793,0.34,0.34,0.129253,0.34,0.34,0.129253,0,near_edge,0,0,0,0,0,0,12,0,8,8,59.6,13.5611,False,False,13,1,0,0,52,0,0.897651,0,0.102349,0,TROT→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
sphere_bump_lips,0,0,0.06,0.05,0.00316793,0.385,0.365,0.0974895,0.385,0.365,0.0974895,94,near_edge,0,0,0,66,0,62,16,4,8,8,71.3,16.6455,False,False,21,1,0,0,50,0,0.798036,0,0.157083,0.0448808,TROT→RUN→JUMP→WALK→JUMP→WALK→RUN→WALK→JUMP→WALK→JUMP→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
sphere_bump_lips,1,0,0.06,0.05,0.00316793,0.41,0.41,0.123723,0.41,0.41,0.123723,0,near_edge,0,0,0,0,0,0,13,0,8,8,65.8,16.052,False,False,14,1,0,0,94,0,0.837386,0,0.162614,0,TROT→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
sphere_bump_lips,2,0,0.06,0.05,0.00316793,0.46,0.46,0.131154,0.46,0.46,0.131154,0,near_edge,0,0,0,0,0,0,17,0,8,8,62.8,15.4137,False,False,18,1,0,0,95,0,0.829618,0,0.170382,0,TROT→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
sphere_bump_lips,3,0,0.06,0.05,0.00316793,0.485,0.485,0.151262,0.485,0.485,0.151262,0,near_edge,0,0,0,0,0,0,13,0,8,8,61.8,15.5522,False,False,14,1,0,0,82,0,0.807443,0,0.192557,0,TROT→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
sphere_bump_lips,4,0,0.06,0.05,0.00316793,0.6,0.6,0.174343,0.6,0.6,0.174343,0,near_edge,0,0,0,0,0,0,11,0,8,8,57.8,14.2334,False,False,12,1,0,0,52,0,0.82699,0,0.17301,0,TROT→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
sphere_bump_lips,5,0,0.06,0.05,0.00316793,0.605,0.605,0.184153,0.605,0.605,0.184153,0,near_edge,0,0,0,0,0,0,13,0,8,8,59.6,15.1251,False,False,14,1,0,0,46,0,0.800336,0,0.199664,0,TROT→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
sphere_bump_lips,6,0,0.06,0.05,0.00316793,0.69,0.69,0.227482,0.69,0.69,0.227482,0,near_edge,0,0,0,0,0,0,9,0,8,8,54.6,13.4008,False,False,10,1,0,0,78,0,0.827839,0,0.172161,0,TROT→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
sphere_bump_lips,7,0,0.06,0.05,0.00316793,0.62,0.62,0.229116,0.62,0.62,0.229116,0,near_edge,0,0,0,0,0,0,11,0,8,8,56,13.7508,False,False,12,1,0,0,81,0,0.828571,0,0.171429,0,TROT→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
sphere_bump_lips,8,0,0.06,0.05,0.00316793,0.745,0.745,0.268128,0.745,0.745,0.268128,0,near_edge,0,0,0,0,0,0,11,0,8,8,53.7,13.3313,False,False,12,1,0,0,63,0,0.819367,0,0.180633,0,TROT→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
sphere_bump_lips,9,0,0.06,0.05,0.00316793,0.77,0.755,0.290163,0.77,0.755,0.290163,0,near_edge,0,0,0,0,0,0,11,0,8,8,52.3,13.2813,False,False,12,1,0,0,78,0,0.801147,0,0.198853,0,TROT→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
forward_ramp_no_lips,0,0,0.06,0.05,0.00316793,0.025,0.025,0.0194086,0.025,0.025,0.0194086,0,near_edge,0,0,0,0,0,0,4,0,8,8,46.5,10.0262,False,False,5,1,0,0,0,0,0.937634,0.00430108,0.0580645,0,TROT→RUN→TROT→WALK→RUN
forward_ramp_no_lips,1,0,0.06,0.05,0.00316793,0.03,0.03,0.0211556,0.03,0.03,0.0211556,0,near_edge,0,0,0,0,0,0,4,0,8,8,43.7,9.96393,False,False,5,1,0,0,0,0,0.899314,0.0389016,0.0617849,0,TROT→RUN→TROT→WALK→RUN
forward_ramp_no_lips,2,0,0.06,0.05,0.00316793,0.03,0.03,0.0225768,0.03,0.03,0.0225768,0,near_edge,0,0,0,0,0,0,4,0,8,8,42.3,9.7189,False,False,5,1,0,0,0,0,0.891253,0.0425532,0.0661939,0,TROT→RUN→TROT→WALK→RUN
