task,level,switch_delay_s,step_walk_max_m,lookahead_trot_m,px_ground_width_m,obs_step_up_max,obs_step_up_p95,obs_step_up_mean,true_step_up_max,true_step_up_p95,true_step_up_mean,ticks_in_jump_band,jump_gate,requests_dropped_busy,jump_detections,jump_tracks_missed,jump_band_ticks,jump_blocked_far,jump_blocked_retrigger,switches,jumps,goals_reached,goals_total,sim_time_s,travelled_m,stalled,timed_out,n_segments,warn_tick_frac,blind_tick_frac,stale_tick_frac,unsupported_fatal,unsupported_unverified,frac_WALK,frac_TROT,frac_RUN,frac_JUMP,sequence
box_jump_uneven,8,0.45,0.1,0.2975,0.00454986,0.24,0.235,0.0252539,0.24,0.235,0.0252539,0,near_edge,0,0,0,0,0,0,14,0,8,8,45.3,11.9074,False,False,15,0.770419,0,0,90,37,0.770419,0.00883002,0.220751,0,TROT→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
box_jump_uneven,9,0.45,0.1,0.2975,0.00454986,0.23,0.225,0.019472,0.23,0.225,0.019472,0,near_edge,0,0,0,0,0,0,14,0,8,8,46.4,12.005,False,False,15,0.784483,0,0,90,35,0.784483,0.00862069,0.206897,0,TROT→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
flat_circle_jump,0,0.45,0.1,0.2975,0.00454986,0.125,0.125,0.0348085,0.125,0.125,0.0348085,39,near_edge,1,0,0,32,5,22,11,1,8,8,23.5,7.82371,False,False,13,0.53617,0,0,30,41,0.502128,0.238298,0.225532,0.0340426,TROT→WALK→JUMP→WALK→RUN→TROT→RUN→TROT→RUN→WALK→RUN→WALK→RUN
flat_circle_jump,1,0.45,0.1,0.2975,0.00454986,0.16,0.16,0.0236991,0.16,0.16,0.0236991,0,near_edge,0,0,0,0,0,0,12,0,8,8,31.9,8.3875,False,False,13,0.77116,0,0,56,37,0.77116,0.0125392,0.216301,0,TROT→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
flat_circle_jump,2,0.45,0.1,0.2975,0.00454986,0.19,0.19,0.0191888,0.19,0.19,0.0191888,0,near_edge,0,0,0,0,0,0,12,0,8,8,37.6,9.01199,False,False,13,0.851064,0,0,87,43,0.851064,0.0106383,0.138298,0,TROT→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
flat_circle_jump,3,0.45,0.1,0.2975,0.00454986,0.15,0.15,0.025625,0.15,0.15,0.025625,39,near_edge,0,0,0,32,5,22,11,1,8,8,35.2,9.44901,False,False,13,0.730114,0,0,74,60,0.707386,0.0113636,0.258523,0.0227273,TROT→WALK→JUMP→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
flat_circle_jump,4,0.45,0.1,0.2975,0.00454986,0.15,0.15,0.0179551,0.15,0.15,0.0179551,26,near_edge,0,0,0,26,2,19,13,1,8,8,40.1,9.71201,False,False,15,0.825436,0,0,94,52,0.805486,0.00997506,0.164589,0.0199501,TROT→WALK→JUMP→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
flat_circle_jump,5,0.45,0.1,0.2975,0.00454986,0.185,0.075,0.0166076,0.185,0.075,0.0166076,0,near_edge,0,0,0,0,0,0,12,0,8,8,39.5,10.6893,False,False,13,0.741772,0,0,91,58,0.741772,0.0101266,0.248101,0,TROT→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
flat_circle_jump,6,0.45,0.1,0.2975,0.00454986,0.215,0.215,0.0169195,0.215,0.215,0.0169195,0,near_edge,3,0,0,0,0,0,15,0,8,8,43.5,11.3528,False,False,16,0.777011,0,0,92,50,0.777011,0.0206897,0.202299,0,TROT→WALK→RUN→WALK→RUN→WALK→RUN→TROT→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
flat_circle_jump,7,0.45,0.1,0.2975,0.00454986,0.175,0.053,0.00666667,0.175,0.053,0.00666667,0,near_edge,0,0,0,0,0,0,14,0,8,8,49.5,11.9169,False,False,15,0.848485,0,0,151,48,0.848485,0.00808081,0.143434,0,TROT→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
flat_circle_jump,8,0.45,0.1,0.2975,0.00454986,0.255,0.105,0.00794118,0.255,0.105,0.00794118,25,near_edge,0,0,0,25,0,20,13,1,8,8,52.7,12.2269,False,False,15,0.867173,0,0,150,46,0.851992,0.00759013,0.125237,0.0151803,TROT→WALK→RUN→WALK→RUN→WALK→JUMP→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
flat_circle_jump,9,0.45,0.1,0.2975,0.00454986,0.055,0.005,0.00162214,0.055,0.005,0.00162214,0,near_edge,0,0,0,0,0,0,12,0,8,8,52.4,12.8728,False,False,13,0.832061,0,0,122,43,0.832061,0.00763359,0.160305,0,TROT→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
bump_jump,0,0.45,0.1,0.2975,0.00454986,0.075,0.045,0.0276144,0.075,0.045,0.0276144,0,near_edge,0,0,0,0,0,0,2,0,8,8,45.9,9.78538,False,False,3,0.945534,0,0,117,43,0.945534,0.0087146,0.0457516,0,TROT→WALK→RUN
bump_jump,1,0.45,0.1,0.2975,0.00454986,0.055,0.04,0.0243263,0.055,0.04,0.0243263,0,near_edge,0,0,0,0,0,0,2,0,8,8,47.5,10.1124,False,False,3,0.947368,0,0,79,42,0.947368,0.00842105,0.0442105,0,TROT→WALK→RUN
bump_jump,2,0.45,0.1,0.2975,0.00454986,0.06,0.04,0.0274411,0.06,0.04,0.0274411,0,near_edge,0,0,0,0,0,0,2,0,8,8,46.7,9.97173,False,False,3,0.946467,0,0,111,49,0.946467,0.00856531,0.0449679,0,TROT→WALK→RUN
bump_jump,3,0.45,0.1,0.2975,0.00454986,0.045,0.045,0.0252567,0.045,0.045,0.0252567,0,near_edge,0,0,0,0,0,0,2,0,8,8,48.7,10.3662,False,False,3,0.948665,0,0,116,52,0.948665,0.00821355,0.0431211,0,TROT→WALK→RUN
bump_jump,4,0.45,0.1,0.2975,0.00454986,0.055,0.045,0.0254649,0.055,0.045,0.0254649,0,near_edge,0,0,0,0,0,0,2,0,8,8,48.4,10.3214,False,False,3,0.948347,0,0,129,50,0.948347,0.00826446,0.0433884,0,TROT→WALK→RUN
bump_jump,5,0.45,0.1,0.2975,0.00454986,0.045,0.045,0.0254379,0.045,0.045,0.0254379,0,near_edge,0,0,0,0,0,0,2,0,8,8,49.1,10.51,False,False,3,0.94501,0,0,113,48,0.94501,0.01222,0.0427699,0,TROT→WALK→RUN
bump_jump,6,0.45,0.1,0.2975,0.00454986,0.045,0.045,0.0237398,0.045,0.045,0.0237398,0,near_edge,0,0,0,0,0,0,2,0,8,8,49.2,10.5409,False,False,3,0.945122,0,0,93,49,0.945122,0.0121951,0.0426829,0,TROT→WALK→RUN
bump_jump,7,0.45,0.1,0.2975,0.00454986,0.045,0.045,0.0263965,0.045,0.045,0.0263965,0,near_edge,0,0,0,0,0,0,2,0,8,8,51.2,10.8703,False,False,3,0.951172,0,0,116,52,0.951172,0.0078125,0.0410156,0,TROT→WALK→RUN
bump_jump,8,0.45,0.1,0.2975,0.00454986,0.05,0.045,0.025706,0.05,0.045,0.025706,0,near_edge,0,0,0,0,0,0,2,0,8,8,51.7,10.9334,False,False,3,0.951644,0,0,136,45,0.951644,0.00773694,0.040619,0,TROT→WALK→RUN
bump_jump,9,0.45,0.1,0.2975,0.00454986,0.045,0.045,0.0240619,0.045,0.045,0.0240619,0,near_edge,0,0,0,0,0,0,2,0,8,8,51.7,10.967,False,False,3,0.951644,0,0,93,41,0.951644,0.00773694,0.040619,0,TROT→WALK→RUN
sideways_ramp,0,0.45,0.1,0.2975,0.00454986,0.035,0.015,0.00969477,0.035,0.015,0.00969477,0,near_edge,0,0,0,0,0,0,14,0,8,8,34.4,9.93188,False,False,15,0.677326,0,0,56,37,0.677326,0.0116279,0.311047,0,TROT→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
sideways_ramp,1,0.45,0.1,0.2975,0.00454986,0.095,0.095,0.0154899,0.095,0.095,0.0154899,0,near_edge,0,0,0,0,0,0,14,0,8,8,34.7,9.63196,False,False,15,0.714697,0,0,50,32,0.714697,0.0115274,0.273775,0,TROT→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
sideways_ramp,2,0.45,0.1,0.2975,0.00454986,0.16,0.14,0.0273614,0.16,0.14,0.0273614,40,near_edge,0,0,0,33,6,17,12,2,8,8,41.5,9.77655,False,False,15,0.840964,0,0,56,37,0.80241,0.00963855,0.149398,0.0385542,TROT→WALK→JUMP→WALK→RUN→WALK→RUN→WALK→RUN→WALK→JUMP→WALK→RUN→WALK→RUN
sideways_ramp,3,0.45,0.1,0.2975,0.00454986,0.175,0.16,0.0233924,0.175,0.16,0.0233924,0,near_edge,0,0,0,0,0,0,12,0,8,8,39.5,10.0073,False,False,13,0.8,0,0,66,36,0.8,0.0101266,0.189873,0,TROT→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
sideways_ramp,4,0.45,0.1,0.2975,0.00454986,0.145,0.145,0.0256218,0.145,0.145,0.0256218,50,near_edge,2,0,0,43,5,28,17,2,8,8,38.6,9.69053,False,False,20,0.784974,0,0,61,29,0.743523,0.0284974,0.186528,0.0414508,TROT→WALK→JUMP→WALK→RUN→WALK→RUN→WALK→RUN→TROT→WALK→RUN→WALK→JUMP→WALK→RUN→WALK→RUN→WALK→RUN
sideways_ramp,5,0.45,0.1,0.2975,0.00454986,0.125,0.095,0.0166945,0.125,0.095,0.0166945,17,near_edge,0,0,0,17,0,7,14,2,8,8,41.9,9.90986,False,False,17,0.840095,0,0,69,30,0.801909,0.0214797,0.138425,0.0381862,TROT→WALK→TROT→WALK→RUN→WALK→JUMP→WALK→RUN→WALK→RUN→WALK→JUMP→WALK→RUN→WALK→RUN
sideways_ramp,6,0.45,0.1,0.2975,0.00454986,0.195,0.18,0.0270151,0.195,0.18,0.0270151,0,near_edge,1,0,0,0,0,0,14,0,8,8,39.7,10.2027,False,False,15,0.79597,0,0,79,28,0.79597,0.0352645,0.168766,0,TROT→WALK→RUN→WALK→RUN→WALK→TROT→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
sideways_ramp,7,0.45,0.1,0.2975,0.00454986,0.135,0.045,0.018658,0.135,0.045,0.018658,9,near_edge,2,0,0,9,5,0,14,1,8,8,42.1,10.4011,False,False,16,0.817102,0,0,66,32,0.7981,0.0332542,0.149644,0.0190024,TROT→RUN→WALK→JUMP→WALK→RUN→WALK→TROT→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
sideways_ramp,8,0.45,0.1,0.2975,0.00454986,0.275,0.275,0.0258293,0.275,0.275,0.0258293,0,near_edge,0,0,0,0,0,0,12,0,8,8,41.6,10.1216,False,False,13,0.84375,0,0,82,24,0.84375,0.0288462,0.127404,0,TROT→WALK→RUN→WALK→TROT→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
sideways_ramp,9,0.45,0.1,0.2975,0.00454986,0.25,0.23,0.0280968,0.25,0.23,0.0280968,3,near_edge,1,0,0,3,0,0,13,1,8,8,44.4,10.336,False,False,15,0.864865,0,0,82,25,0.846847,0.00900901,0.126126,0.018018,TROT→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→JUMP→WALK→RUN→WALK→RUN
stepping_stones_cylinder,0,0.45,0.1,0.2975,0.00454986,0.01,0.01,0.0054661,0.01,0.01,0.0054661,0,near_edge,0,0,0,0,0,0,1,0,8,8,11.8,5.49083,False,False,2,0,0,0,0,37,0,0.0338983,0.966102,0,TROT→RUN
stepping_stones_cylinder,1,0.45,0.1,0.2975,0.00454986,0,0,0,0,0,0,0,near_edge,0,0,0,0,0,0,2,0,8,8,13.6,5.3857,False,False,3,0.25,0,0,9,43,0.25,0.0294118,0.720588,0,TROT→WALK→RUN
stepping_stones_cylinder,2,0.45,0.1,0.2975,0.00454986,0.005,0.005,0.00256944,0.005,0.005,0.00256944,0,near_edge,0,0,0,0,0,0,4,0,8,8,14.4,5.18269,False,False,5,0.381944,0,0,15,40,0.381944,0.0277778,0.590278,0,TROT→WALK→RUN→WALK→RUN
stepping_stones_cylinder,3,0.45,0.1,0.2975,0.00454986,0.01,0.005,0.00287293,0.01,0.005,0.00287293,0,near_edge,0,0,0,0,0,0,4,0,8,8,18.1,4.87874,False,False,5,0.734807,0,0,31,21,0.734807,0.0220994,0.243094,0,TROT→WALK→RUN→WALK→RUN
stepping_stones_cylinder,4,0.45,0.1,0.2975,0.00454986,0.015,0.015,0.00862981,0.015,0.015,0.00862981,0,near_edge,0,0,0,0,0,0,2,0,8,8,20.8,4.82602,False,False,3,0.879808,0,0,43,15,0.879808,0.0192308,0.100962,0,TROT→WALK→RUN
stepping_stones_cylinder,5,0.45,0.1,0.2975,0.00454986,0.03,0.03,0.0193805,0.03,0.03,0.0193805,0,near_edge,0,0,0,0,0,0,6,0,8,8,22.6,5.26962,False,False,7,0.867257,0,0,45,44,0.867257,0.0176991,0.115044,0,TROT→WALK→RUN→WALK→RUN→WALK→RUN
stepping_stones_cylinder,6,0.45,0.1,0.2975,0.00454986,0.03,0.03,0.0177533,0.03,0.03,0.0177533,0,near_edge,0,0,0,0,0,0,2,0,8,8,22.7,5.01643,False,False,3,0.9163,0,0,54,34,0.9163,0.0176211,0.0660793,0,TROT→WALK→RUN
stepping_stones_cylinder,7,0.45,0.1,0.2975,0.00454986,0.035,0.035,0.0152765,0.035,0.035,0.0152765,0,near_edge,0,0,0,0,0,0,2,0,8,8,21.7,4.81352,False,False,3,0.912442,0,0,67,17,0.912442,0.0184332,0.0691244,0,TROT→WALK→RUN
stepping_stones_cylinder,8,0.45,0.1,0.2975,0.00454986,0.045,0.045,0.0219905,0.045,0.045,0.0219905,0,near_edge,0,0,0,0,0,0,2,0,8,8,21.1,4.71045,False,False,3,0.905213,0,0,72,11,0.905213,0.0189573,0.0758294,0,TROT→WALK→RUN
stepping_stones_cylinder,9,0.45,0.1,0.2975,0.00454986,0.05,0.05,0.0256481,0.05,0.05,0.0256481,0,near_edge,0,0,0,0,0,0,2,0,8,8,21.6,4.80828,False,False,3,0.907407,0,0,74,10,0.907407,0.0185185,0.0740741,0,TROT→WALK→RUN
stepping_stones_randomly_arranged,0,0.45,0.1,0.2975,0.00454986,0,0,0,0,0,0,0,near_edge,0,0,0,0,0,0,1,0,8,8,11.6,5.44957,False,False,2,0,0,0,0,23,0,0.0344828,0.965517,0,TROT→RUN
stepping_stones_randomly_arranged,1,0.45,0.1,0.2975,0.00454986,0,0,0,0,0,0,0,near_edge,0,0,0,0,0,0,1,0,8,8,11,5.19518,False,False,2,0,0,0,0,36,0,0.0363636,0.963636,0,TROT→RUN
stepping_stones_randomly_arranged,2,0.45,0.1,0.2975,0.00454986,0,0,0,0,0,0,0,near_edge,0,0,0,0,0,0,1,0,8,8,11,5.19083,False,False,2,0,0,0,0,40,0,0.0363636,0.963636,0,TROT→RUN
stepping_stones_randomly_arranged,3,0.45,0.1,0.2975,0.00454986,0,0,0,0,0,0,0,near_edge,0,0,0,0,0,0,1,0,8,8,10.9,5.15435,False,False,2,0,0,0,0,37,0,0.0366972,0.963303,0,TROT→RUN
stepping_stones_randomly_arranged,4,0.45,0.1,0.2975,0.00454986,0,0,0,0,0,0,0,near_edge,0,0,0,0,0,0,1,0,8,8,11.7,5.36099,False,False,2,0,0,0,0,42,0,0.034188,0.965812,0,TROT→RUN
stepping_stones_randomly_arranged,5,0.45,0.1,0.2975,0.00454986,0,0,0,0,0,0,0,near_edge,0,0,0,0,0,0,3,0,8,8,12,4.97768,False,False,4,0.2,0,0,6,31,0.2,0.0333333,0.766667,0,TROT→RUN→WALK→RUN
stepping_stones_randomly_arranged,6,0.45,0.1,0.2975,0.00454986,0,0,0,0,0,0,0,near_edge,0,0,0,0,0,0,5,0,8,8,13,4.95538,False,False,6,0.315385,0,0,12,29,0.315385,0.0307692,0.653846,0,TROT→RUN→WALK→RUN→WALK→RUN
stepping_stones_randomly_arranged,7,0.45,0.1,0.2975,0.00454986,0,0,0,0,0,0,0,near_edge,0,0,0,0,0,0,5,0,8,8,13.6,5.11896,False,False,6,0.308824,0,0,13,31,0.308824,0.0294118,0.661765,0,TROT→RUN→WALK→RUN→WALK→RUN
stepping_stones_randomly_arranged,8,0.45,0.1,0.2975,0.00454986,0,0,0,0,0,0,0,near_edge,0,0,0,0,0,0,5,0,8,8,16.1,4.96786,False,False,6,0.583851,0,0,22,24,0.583851,0.0248447,0.391304,0,TROT→RUN→WALK→RUN→WALK→RUN
stepping_stones_randomly_arranged,9,0.45,0.1,0.2975,0.00454986,0,0,0,0,0,0,0,near_edge,0,0,0,0,0,0,9,0,8,8,12.9,4.73111,False,False,10,0.364341,0,0,15,30,0.364341,0.0310078,0.604651,0,TROT→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
staircase_walking_full_width,0,0.45,0.1,0.2975,0.00454986,0.175,0.175,0.0700167,0.175,0.175,0.0700167,141,near_edge,0,0,0,113,5,88,15,4,8,8,59.9,14.75,False,False,20,0.796327,0,0,24,0,0.742905,0.0567613,0.146912,0.0534224,TROT→WALK→RUN→TROT→WALK→RUN→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→RUN→WALK→RUN→WALK→RUN
staircase_walking_full_width,1,0.45,0.1,0.2975,0.00454986,0.185,0.185,0.0721991,0.185,0.185,0.0721991,141,near_edge,1,0,0,113,5,88,14,4,8,8,64.8,14.75,False,False,19,0.858025,0,0,24,0,0.808642,0.00617284,0.135802,0.0493827,TROT→WALK→RUN→WALK→RUN→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→RUN→WALK→RUN→WALK→RUN
staircase_walking_full_width,2,0.45,0.1,0.2975,0.00454986,0.21,0.21,0.0834807,0.21,0.21,0.0834807,92,near_edge,0,0,0,71,9,48,13,3,8,8,54.3,12,False,False,17,0.891344,0,0,40,0,0.847145,0.00736648,0.101289,0.0441989,TROT→WALK→JUMP→WALK→JUMP→WALK→RUN→WALK→RUN→WALK→JUMP→WALK→RUN→WALK→RUN→WALK→RUN
staircase_walking_full_width,3,0.45,0.1,0.2975,0.00454986,0.225,0.225,0.086547,0.225,0.225,0.086547,81,near_edge,0,0,0,67,0,52,13,3,8,8,54.3,12,False,False,17,0.891344,0,0,42,0,0.847145,0.00736648,0.101289,0.0441989,TROT→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
staircase_walking_full_width,4,0.45,0.1,0.2975,0.00454986,0.23,0.23,0.0912707,0.23,0.23,0.0912707,94,near_edge,0,0,0,80,3,62,13,3,8,8,54.3,12,False,False,17,0.891344,0,0,42,0,0.847145,0.00736648,0.101289,0.0441989,TROT→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
staircase_walking_full_width,5,0.45,0.1,0.2975,0.00454986,0.24,0.24,0.0974862,0.24,0.24,0.0974862,104,near_edge,0,0,0,83,5,63,13,3,8,8,54.3,12,False,False,17,0.891344,0,0,42,0,0.847145,0.00736648,0.101289,0.0441989,TROT→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
staircase_walking_full_width,6,0.45,0.1,0.2975,0.00454986,0.265,0.265,0.103963,0.265,0.265,0.103963,66,near_edge,0,0,0,52,0,42,12,2,8,8,53.5,12,False,False,15,0.88972,0,0,50,0,0.859813,0.00747664,0.102804,0.0299065,TROT→WALK→JUMP→WALK→JUMP→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
staircase_walking_full_width,7,0.45,0.1,0.2975,0.00454986,0.27,0.27,0.108227,0.27,0.27,0.108227,0,near_edge,0,0,0,0,0,0,10,0,8,8,51.9,12,False,False,11,0.88632,0,0,60,0,0.88632,0.00770713,0.105973,0,TROT→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
staircase_walking_full_width,8,0.45,0.1,0.2975,0.00454986,0.295,0.295,0.126729,0.295,0.295,0.126729,0,near_edge,0,0,0,0,0,0,2,0,8,8,42.5,9.25,False,False,3,0.936471,0,0,52,0,0.936471,0.00941176,0.0541176,0,TROT→WALK→RUN
staircase_walking_full_width,9,0.45,0.1,0.2975,0.00454986,0.3,0.3,0.132612,0.3,0.3,0.132612,0,near_edge,0,0,0,0,0,0,2,0,8,8,42.5,9.25,False,False,3,0.936471,0,0,52,0,0.936471,0.00941176,0.0541176,0,TROT→WALK→RUN
staircase_walking,0,0.45,0.1,0.2975,0.00454986,0.07,0.07,0.0436264,0.07,0.07,0.0436264,0,near_edge,0,0,0,0,0,0,1,0,8,8,9.1,4.5,False,False,2,0,0,0,0,0,0,0.725275,0.274725,0,TROT→RUN
staircase_walking,1,0.45,0.1,0.2975,0.00454986,0.09,0.09,0.070838,0.09,0.09,0.070838,0,near_edge,0,0,0,0,0,0,2,0,8,8,17.9,4.5,False,False,3,0.810056,0,0,0,0,0.810056,0.0446927,0.145251,0,TROT→WALK→RUN
staircase_walking,2,0.45,0.1,0.2975,0.00454986,0.105,0.105,0.0844575,0.105,0.105,0.0844575,119,near_edge,0,0,0,98,0,78,6,4,8,8,21.2,4.5,False,False,11,0.84434,0,0,0,0,0.693396,0.0377358,0.117925,0.150943,TROT→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→RUN
staircase_walking,3,0.45,0.1,0.2975,0.00454986,0.125,0.125,0.10073,0.125,0.125,0.10073,174,near_edge,0,0,0,146,1,120,7,5,8,8,22.6,4.5,False,False,13,0.867257,0,0,0,0,0.690265,0.0176991,0.115044,0.176991,TROT→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→RUN
staircase_walking,4,0.45,0.1,0.2975,0.00454986,0.145,0.145,0.118512,0.145,0.145,0.118512,173,near_edge,0,0,0,145,2,118,7,5,8,8,21.5,4.2,False,False,13,0.865116,0,0,0,0,0.67907,0.0186047,0.116279,0.186047,TROT→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→RUN
staircase_walking,5,0.45,0.1,0.2975,0.00454986,0.16,0.16,0.126784,0.16,0.16,0.126784,78,near_edge,0,0,0,57,5,41,5,3,8,8,19.9,4.2,False,False,9,0.854271,0,0,19,0,0.733668,0.0201005,0.125628,0.120603,TROT→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→RUN
staircase_walking,6,0.45,0.1,0.2975,0.00454986,0.185,0.185,0.140707,0.185,0.185,0.140707,45,near_edge,0,0,0,31,3,21,4,2,8,8,19.1,4.2,False,False,7,0.848168,0,0,25,0,0.764398,0.0209424,0.13089,0.0837696,TROT→WALK→JUMP→WALK→JUMP→WALK→RUN
staircase_walking,7,0.45,0.1,0.2975,0.00454986,0.2,0.2,0.157623,0.2,0.2,0.157623,13,near_edge,0,0,0,6,3,1,3,1,8,8,18.3,4.2,False,False,5,0.84153,0,0,29,0,0.797814,0.0218579,0.136612,0.0437158,TROT→WALK→JUMP→WALK→RUN
staircase_walking,8,0.45,0.1,0.2975,0.00454986,0.22,0.22,0.169457,0.22,0.22,0.169457,0,near_edge,0,0,0,0,0,0,2,0,8,8,17.5,4.2,False,False,3,0.834286,0,0,31,0,0.834286,0.0228571,0.142857,0,TROT→WALK→RUN
staircase_walking,9,0.45,0.1,0.2975,0.00454986,0.25,0.25,0.195686,0.25,0.25,0.195686,0,near_edge,0,0,0,0,0,0,2,0,8,8,17.5,4.2,False,False,3,0.834286,0,0,31,0,0.834286,0.0228571,0.142857,0,TROT→WALK→RUN
staircase_climbing,0,0.45,0.1,0.2975,0.00454986,0.545,0.545,0.351875,0.545,0.545,0.351875,0,near_edge,0,0,0,0,0,0,12,0,8,8,36,10.2,False,False,13,0.697222,0,0,63,0,0.697222,0.0111111,0.291667,0,TROT→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
staircase_climbing,1,0.45,0.1,0.2975,0.00454986,0.56,0.56,0.367222,0.56,0.56,0.367222,0,near_edge,0,0,0,0,0,0,12,0,8,8,36,10.2,False,False,13,0.697222,0,0,63,0,0.697222,0.0111111,0.291667,0,TROT→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
staircase_climbing,2,0.45,0.1,0.2975,0.00454986,0.575,0.575,0.379347,0.575,0.575,0.379347,0,near_edge,0,0,0,0,0,0,12,0,8,8,36,10.2,False,False,13,0.697222,0,0,63,0,0.697222,0.0111111,0.291667,0,TROT→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
staircase_climbing,3,0.45,0.1,0.2975,0.00454986,0.6,0.6,0.394042,0.6,0.6,0.394042,0,near_edge,0,0,0,0,0,0,12,0,8,8,36,10.2,False,False,13,0.697222,0,0,63,0,0.697222,0.0111111,0.291667,0,TROT→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
staircase_climbing,4,0.45,0.1,0.2975,0.00454986,0.6,0.6,0.394431,0.6,0.6,0.394431,0,near_edge,0,0,0,0,0,0,12,0,8,8,36,10.2,False,False,13,0.697222,0,0,63,0,0.697222,0.0111111,0.291667,0,TROT→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
staircase_climbing,5,0.45,0.1,0.2975,0.00454986,0.595,0.595,0.394025,0.595,0.595,0.394025,0,near_edge,0,0,0,0,0,0,12,0,8,8,35.4,9.9,False,False,13,0.70904,0,0,58,0,0.70904,0.0112994,0.279661,0,TROT→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
staircase_climbing,6,0.45,0.1,0.2975,0.00454986,0.64,0.64,0.432147,0.64,0.64,0.432147,0,near_edge,0,0,0,0,0,0,12,0,8,8,35.4,9.9,False,False,13,0.70904,0,0,58,0,0.70904,0.0112994,0.279661,0,TROT→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
staircase_climbing,7,0.45,0.1,0.2975,0.00454986,0.65,0.65,0.436172,0.65,0.65,0.436172,0,near_edge,0,0,0,0,0,0,12,0,8,8,35.4,9.9,False,False,13,0.70904,0,0,58,0,0.70904,0.0112994,0.279661,0,TROT→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
staircase_climbing,8,0.45,0.1,0.2975,0.00454986,0.67,0.67,0.452542,0.67,0.67,0.452542,0,near_edge,0,0,0,0,0,0,12,0,8,8,35.4,9.9,False,False,13,0.70904,0,0,58,0,0.70904,0.0112994,0.279661,0,TROT→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
staircase_climbing,9,0.45,0.1,0.2975,0.00454986,0.685,0.685,0.451412,0.685,0.685,0.451412,0,near_edge,0,0,0,0,0,0,12,0,8,8,35.4,9.9,False,False,13,0.70904,0,0,58,0,0.70904,0.0112994,0.279661,0,TROT→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
