group,session,name,skill_key,primary_skill,gait_mode,motion_type,skill_seq,prereq_skills,cmd_vx,cmd_vy,cmd_wz,cmd_duration_s,speed_level,samples,fs_hz,rec_duration_s,win_start_s,win_end_s,win_span_s,active_s,n_segments,idle_dq_rad_s,peak_dq_rad_s,send_to_motion_s,trigger_skill,settle_s,vx_mean,vx_std,vx_p5,vx_p95,vx_max,vx_min,vx_absmax,vy_mean,vy_absmax,speed_mean,vx_steady_mean,speed_steady_mean,vy_steady_mean,yaw_rate_steady_mean,yaw_rate_mean,yaw_rate_absmax,odom_dist_m,odom_speed_mean,odom_yaw_deg,contact_thr_FR_N,duty_FR,contact_thr_FL_N,duty_FL,contact_thr_RR_N,duty_RR,contact_thr_RL_N,duty_RL,contact_thr_mean_N,duty_mean,duty_min,duty_max,stride_hz,stride_hz_leg_spread,stride_cv,n_stride_intervals,periodic,flight_frac,flight_max_s,flight_mean_s,n_flight_phases,swing_sync,phase_FL,phase_RR,phase_RL,gait_pattern,pair_score_trot,pair_score_pace,pair_score_bound,foot_force_tot_mean_N,foot_force_peak_N,foot_force_clipped_frac,height_mean_m,height_std_m,height_min_m,height_max_m,height_range_m,height_session_min_m,height_session_max_m,tau_rms_Nm,tau_peak_Nm,tau_rms_hip_Nm,tau_peak_hip_Nm,tau_rms_thigh_Nm,tau_peak_thigh_Nm,tau_rms_calf_Nm,tau_peak_calf_Nm,tau_peak_joint,posstop_frac,posstop_frac_session,posstop_rows_frac,posstop_first_s,posstop_total_s,kp_max,nan_frac_state,nan_frac_qdes,nan_frac_tau,has_events
02_trot_no_flight,gait_static_walk_20260824_224400,gait_static_walk,static_walk+move:forward,move,static_walk,forward,static_walk→move,static_walk,0.3,0,0,5,,8170,407.4,20.324,11.5473,16.7404,5.19312,5.02886,1,0.026548,2.14321,4.25653,move,0.0277543,0.206014,0.143531,-0.0137028,0.354676,0.539117,-0.0588105,0.539117,0.0015737,0.252997,0.212112,0.25417,0.255356,0.00246985,-0.020041,-0.0184084,0.349407,1.13017,0.217629,-3.4452,32.1,0.51879,32.4,0.554417,35.7,0.531479,33,0.498292,33.3,0.525744,0.498292,0.554417,1.93708,0.110882,0.0998128,36,True,0,0,0,0,0,0.45896,0.458037,0.996735,trot,0.93378,-0.894067,-0.863644,139,118,0,0.320046,0.0016265,0.314753,0.323486,0.00873297,0.31196,0.324099,5.02432,17.9229,3.28107,6.60512,1.59199,8.0152,7.90137,17.9229,RR_calf,0.000650724,0.000163199,0.000488043,11.5538,0.0049086,40,0.000734394,0.00354957,0,True
02_trot_no_flight,run_10_20260824_225422,run_10,default+move:forward,move,default,forward,move,,1,0,0,4,,5846,421.5,13.947,5.36975,10.0115,4.64177,4.59542,1,0.0268298,3.1728,4.01749,move,0.229125,0.582793,0.443205,-0.00718726,1.01849,1.31196,-0.225861,1.31196,-0.0126145,0.855079,0.589921,0.699201,0.706343,-0.0125281,0.0125056,0.00832413,0.297209,2.87737,0.619886,4.61689,38.95,0.508518,32.85,0.545173,41.1,0.520909,38.05,0.489417,37.7375,0.516004,0.489417,0.545173,2.09139,0.166937,0.137093,34,True,0,0,0,0,0,0.481339,0.4621,0.0240366,trot,0.743249,-0.87378,-0.737949,133.94,200,0,0.32455,0.0045949,0.317803,0.333782,0.0159791,0.317631,0.333782,6.08463,25.367,2.55036,7.52044,5.22966,16.8962,8.78717,25.367,RL_calf,0,0,0,,0,40,0.0011974,0.00496066,0,True
02_trot_no_flight,run_15_20260824_225456,run_15,default+move:forward,move,default,forward,move,,1.5,0,0,3.5,,6039,439.4,13.998,5.47833,9.50354,4.02521,4.05982,1,0.0279949,4.30055,4.07361,move,0.163911,0.595786,0.806006,-0.16965,1.5309,1.97606,-3.94693,3.94693,-0.0129713,0.796014,0.723041,0.690005,0.857729,-0.019573,0.0218171,0.0208718,0.456998,2.8993,0.720285,5.58366,41.1,0.429933,45.9,0.421525,45.95,0.445628,63.15,0.268498,49.025,0.391396,0.268498,0.445628,2.77837,0.117987,0.106867,38,True,0.0896861,0.0409623,0.0202283,18,0.0896861,0.487339,0.51523,0.0428953,trot,0.678294,-0.643335,-0.568628,134.792,212,0.0168161,0.327992,0.00552931,0.310476,0.337593,0.0271171,0.310476,0.346829,7.24926,38.5484,2.82238,11.4538,6.74641,26.1484,10.2066,38.5484,RL_calf,0,0,0,,0,40,0.00115913,0.00430535,0,True
03_slow_walk,gait_classic_walk_20260824_224559,gait_classic_walk,classic_walk+move:forward,move,classic_walk,forward,classic_walk→move,classic_walk,0.3,0,0,5,,8401,418.1,20.376,11.5165,16.9577,5.44118,5.26244,1,0.0271273,1.40311,4.17432,move,0.106199,0.158376,0.101182,-1.19033e-08,0.28117,0.463033,-0.382887,0.463033,0.00434597,0.154315,0.162953,0.187466,0.194539,0.00722115,-0.0128187,-0.00461889,0.203465,0.827798,0.152136,1.70249,32.3,0.627273,29.1,0.685909,35.55,0.578182,35.2,0.660455,33.0375,0.637955,0.578182,0.685909,1.38071,0.21533,0.242087,24,True,0,0,0,0,0,0.513821,0.530239,0.0451601,trot,0.659818,-0.569903,-0.529562,138.663,76,0,0.302532,0.00550034,0.291836,0.312055,0.0202191,0.291836,0.318573,5.2729,16.5478,2.94604,8.16363,2.98637,9.8211,8.1125,16.5478,FL_calf,0,0,0,,0,40,0.000833234,0.00297584,0,True
03_slow_walk,gait_cross_step_20260824_224639,gait_cross_step,cross_step+move:forward,move,cross_step,forward,cross_step→move,cross_step,0.3,0,0,5,,8728,437.2,20.381,11.4135,17.0143,5.60086,5.53506,1,0.0262332,1.35434,4.058,move,0.256377,0.152071,0.102571,-6.26955e-05,0.279139,0.424139,-0.380494,0.424139,0.00234139,0.162291,0.159078,0.175454,0.186587,0.00228599,-0.0180383,-0.00733668,0.197074,0.822905,0.146925,-0.326749,32.4,0.726033,29.55,0.730992,34.2,0.631405,34.75,0.631818,32.725,0.680062,0.631405,0.730992,1.42494,0.899135,0.382046,29,False,0,0,0,0,0,0.564238,0.59382,0.16914,trot,0.457485,-0.466215,-0.438042,139.34,76,0,0.300619,0.00422351,0.290817,0.308031,0.0172141,0.290817,0.319067,5.1311,16.453,2.79765,7.12463,3.01846,11.2559,7.87697,16.453,FL_calf,0,0,0,,0,40,0.000687443,0.00332264,0,True
03_slow_walk,run_06_20260824_225352,run_06,default+move:forward,move,default,forward,move,,0.6,0,0,3.5,,5546,416.5,13.436,5.48964,9.36853,3.87889,3.85344,1,0.0275599,2.13538,4.14829,move,0.0651749,0.377848,0.251981,-0.00819654,0.624263,0.955741,-0.10549,0.955741,-0.00272141,0.365904,0.384522,0.443721,0.45127,-0.00273842,0.019511,0.0174285,0.270577,1.38367,0.356718,5.61998,32.65,0.545171,29.35,0.633645,34.45,0.588162,34.2,0.514642,32.6625,0.570405,0.514642,0.633645,1.54422,0.0304179,0.0486478,17,True,0,0,0,0,0,0.516161,0.523598,0.0607772,trot,0.782731,-0.75137,-0.675054,132.479,85,0,0.317952,0.00354637,0.30887,0.324065,0.0151957,0.30887,0.324065,5.74911,24.3713,2.49177,6.58038,4.44571,18.7516,8.55473,24.3713,RR_calf,0,0,0,,0,40,0.00144248,0.00522899,0,True
03_slow_walk,walk_fwd_default_20260824_224021,walk_fwd_default,default+move:forward,move,default,forward,move,,0.3,0,0,5,,5956,416.6,14.445,5.52185,11.0333,5.51142,5.39618,1,0.0273443,1.62729,4.09618,move,0.136999,0.154654,0.103622,-3.26572e-05,0.284506,0.399675,-0.404842,0.404842,0.00256811,0.132931,0.16141,0.180156,0.190092,0.000388946,-0.0120193,-0.00540451,0.185356,0.8226,0.149254,2.60924,31.85,0.628114,29.55,0.661032,33.2,0.544039,33.75,0.592527,32.0875,0.606428,0.544039,0.661032,1.42284,0.45512,0.296318,28,True,0,0,0,0,0,0.525868,0.547739,0.0685147,trot,0.546036,-0.626952,-0.468146,134.84,84,0,0.301034,0.00503431,0.292573,0.314646,0.0220721,0.292573,0.31677,5.31175,16.9746,2.91527,7.86677,3.02123,9.10369,8.18642,16.9746,FL_calf,0,0,0,,0,40,0.00083949,0.00470114,0,True
04_turn,turn_left_20260804_174425,turn_left,gamepad:forward+yaw,gamepad,default,forward+yaw,(none: gamepad teleop),,,,,,,3808,409.1,9.194,3.77756,8.68327,4.90571,4.93495,1,0.0279178,3.69656,,,0.60964,0.55627,0.517274,-9.42946e-05,1.16398,1.58876,-2.21337,2.21337,-0.00842236,0.64674,0.581013,0.637068,0.67609,-0.00853121,0.307828,0.284915,2.00163,2.48955,0.50748,81.5529,40,0.461615,35.095,0.544824,49.25,0.545319,47.3,0.435364,42.9112,0.496781,0.435364,0.545319,2.24158,0.169322,0.141457,32,True,0.00990589,0.0244425,0.0244425,2,0.00999001,0.566706,0.557001,0.0774974,trot,0.746526,-0.746959,-0.714236,146.15,210,0.00284794,0.324329,0.00876187,0.312989,0.351873,0.0388841,0.305211,0.351873,6.10486,33.6647,2.44464,9.40055,5.05835,18.6032,8.95795,33.6647,RR_calf,0,0,0,,0,40,0.00131303,0.00814076,0,False
04_turn,turn_left_20260824_223921,turn_left,default+move:yaw,move,default,yaw,move,,0,0,0.6,4,,5701,423.2,13.541,5.53349,9.94898,4.41549,4.36252,1,0.025909,1.46754,4.10917,move,0.04217,0.00250115,0.0239559,-0.0270372,0.0428582,0.167691,-0.137497,0.167691,0.0117392,0.192948,0.0302399,0.0021133,0.0405595,0.0152618,0.385914,0.284893,0.796818,0.0423036,0.00958074,89.6444,26.15,0.287649,31.85,0.86078,31.4,0.861322,29.35,0.252979,29.6875,0.565683,0.252979,0.861322,0.878673,1.55257,0.555004,7,False,0,0,0,0,0,0.193567,0.217205,0.0246365,trot,0.660392,-0.632466,-0.657592,120.898,98,0,0.31381,0.0026327,0.305325,0.320855,0.0155309,0.305325,0.323803,4.28683,14.6512,3.68291,10.2911,2.27706,8.88104,6.03175,14.6512,RL_calf,0,0,0,,0,40,0.00105245,0.00526223,0,True
04_turn,turn_right_20260804_174232,turn_right,gamepad:forward+yaw,gamepad,default,forward+yaw,(none: gamepad teleop),,,,,,,5110,443.1,11.646,4.28106,8.391,4.10994,4.09366,1,0.0268006,4.04928,,,0.718052,0.555546,0.540208,-0.0420787,1.16233,2.23707,-1.94131,2.23707,-0.0140366,0.832744,0.60558,0.65218,0.721035,-0.0237953,-0.721744,-0.433896,2.20403,1.95377,0.475377,-97.4256,36.365,0.466924,52.6,0.485667,44.3,0.514333,52.115,0.478501,46.345,0.486356,0.466924,0.514333,2.14938,0.127382,0.108114,28,True,0.00496141,0.0203103,0.0203103,1,0.00496141,0.487145,0.469747,0.97866,trot,0.758454,-0.80109,-0.778612,147.459,212,0.00427233,0.327172,0.00716255,0.313231,0.348142,0.034911,0.304843,0.348142,6.4064,32.4793,2.82124,9.4995,5.67216,26.3215,9.11005,32.4793,RL_calf,0,0,0,,0,40,0.00156556,0.00547945,0,False
