argv,drift_max_m,entry_frame,family,fell,final_dist_m,foot_comp,foot_len_bias,foot_yaw_bias,grid_cols,grid_rows,heading,heading_cap_rad,heading_len,heading_len_cap_rad,inplace_at,level_m,n_probes,param,probe,reached,rep,run_utc,score,settle_ok,skill,spawn_x,spawn_z0_m,steps,swing_lift_mm,swing_lift_sym,t_reached_s,yaw_cum_deg,yaw_ok_deg
--headless --device cpu --params skill.STEP_TROT_MAX --max-probes 1 --reps 5 --foot-comp on --heading heading-only --foot-len-bias -0.04 --trace-full --trace-npz outputs/trace_ff_E.npz --results-csv outputs/trot_ff_E.csv,,0,step_up,1,3.5403012746355933,on,-0.04,0.0,1,1,heading-only,0.0,0,0.04,obstacle,0.02,1,skill.STEP_TROT_MAX,step_up_0p02,0,0,2026-08-31T02:28:50Z,goal,1,TROT,1.0,0.0,592,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --max-probes 1 --reps 5 --foot-comp on --heading heading-only --foot-len-bias -0.04 --trace-full --trace-npz outputs/trace_ff_E.npz --results-csv outputs/trot_ff_E.csv,,6,step_up,1,3.6191663655986086,on,-0.04,0.0,1,1,heading-only,0.0,0,0.04,obstacle,0.02,1,skill.STEP_TROT_MAX,step_up_0p02,0,1,2026-08-31T02:28:50Z,goal,1,TROT,1.0,0.0,75,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --max-probes 1 --reps 5 --foot-comp on --heading heading-only --foot-len-bias -0.04 --trace-full --trace-npz outputs/trace_ff_E.npz --results-csv outputs/trot_ff_E.csv,,13,step_up,1,3.804776308770412,on,-0.04,0.0,1,1,heading-only,0.0,0,0.04,obstacle,0.02,1,skill.STEP_TROT_MAX,step_up_0p02,0,2,2026-08-31T02:28:50Z,goal,1,TROT,1.0,0.0,133,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --max-probes 1 --reps 5 --foot-comp on --heading heading-only --foot-len-bias -0.04 --trace-full --trace-npz outputs/trace_ff_E.npz --results-csv outputs/trot_ff_E.csv,,19,step_up,1,4.2143466211707725,on,-0.04,0.0,1,1,heading-only,0.0,0,0.04,obstacle,0.02,1,skill.STEP_TROT_MAX,step_up_0p02,0,3,2026-08-31T02:28:50Z,goal,1,TROT,1.0,0.0,82,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --max-probes 1 --reps 5 --foot-comp on --heading heading-only --foot-len-bias -0.04 --trace-full --trace-npz outputs/trace_ff_E.npz --results-csv outputs/trot_ff_E.csv,,26,step_up,1,4.280004982413083,on,-0.04,0.0,1,1,heading-only,0.0,0,0.04,obstacle,0.02,1,skill.STEP_TROT_MAX,step_up_0p02,0,4,2026-08-31T02:28:50Z,goal,1,TROT,1.0,0.0,54,0.0,1,nan,,
