argv,drift_max_m,entry_frame,family,fell,final_dist_m,foot_comp,grid_cols,grid_rows,heading,heading_cap_rad,heading_len,heading_len_cap_rad,inplace_at,level_m,n_probes,param,probe,reached,rep,run_utc,score,settle_ok,skill,spawn_x,spawn_z0_m,steps,swing_lift_mm,swing_lift_sym,t_reached_s,yaw_cum_deg,yaw_ok_deg
--headless --device cpu --params skill.STEP_TROT_MAX --max-probes 1 --reps 5 --foot-comp on --heading heading-only --trace-full --trace-npz outputs/trace_ab1_A.npz --results-csv outputs/trot_ab1_A.csv,,0,step_up,1,1.592653860703627,on,1,1,heading-only,0.0,0,0.04,obstacle,0.02,1,skill.STEP_TROT_MAX,step_up_0p02,0,0,2026-08-31T02:24:37Z,goal,1,TROT,1.0,0.0,344,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --max-probes 1 --reps 5 --foot-comp on --heading heading-only --trace-full --trace-npz outputs/trace_ab1_A.npz --results-csv outputs/trot_ab1_A.csv,,6,step_up,1,3.677740941214599,on,1,1,heading-only,0.0,0,0.04,obstacle,0.02,1,skill.STEP_TROT_MAX,step_up_0p02,0,1,2026-08-31T02:24:37Z,goal,1,TROT,1.0,0.0,69,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --max-probes 1 --reps 5 --foot-comp on --heading heading-only --trace-full --trace-npz outputs/trace_ab1_A.npz --results-csv outputs/trot_ab1_A.csv,,13,step_up,1,4.100236443567446,on,1,1,heading-only,0.0,0,0.04,obstacle,0.02,1,skill.STEP_TROT_MAX,step_up_0p02,0,2,2026-08-31T02:24:37Z,goal,1,TROT,1.0,0.0,67,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --max-probes 1 --reps 5 --foot-comp on --heading heading-only --trace-full --trace-npz outputs/trace_ab1_A.npz --results-csv outputs/trot_ab1_A.csv,,19,step_up,1,4.194291040181277,on,1,1,heading-only,0.0,0,0.04,obstacle,0.02,1,skill.STEP_TROT_MAX,step_up_0p02,0,3,2026-08-31T02:24:37Z,goal,1,TROT,1.0,0.0,81,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --max-probes 1 --reps 5 --foot-comp on --heading heading-only --trace-full --trace-npz outputs/trace_ab1_A.npz --results-csv outputs/trot_ab1_A.csv,,26,step_up,1,4.293871518748403,on,1,1,heading-only,0.0,0,0.04,obstacle,0.02,1,skill.STEP_TROT_MAX,step_up_0p02,0,4,2026-08-31T02:24:37Z,goal,1,TROT,1.0,0.0,57,0.0,1,nan,,
