task,task_name,level,episode,goals,settle_ok,heading,heading_cap_rad,final_x_m,final_y_m,travelled_m,dist_to_next_goal_m,dist_to_last_goal_m,alive_at_end,switches,refused_ticks,steps_alive,frac_WALK,frac_TROT,frac_TURN,yaw_moment,yaw_moment_gain,partial,skill,start_phase,foot_comp,steps
3,forward_ramp_no_lips,0,0,1,1,heading-only,0.04,1.7287726402282715,1.4349182128906222,0.92218598301428,0.9702415084017577,9.288432277984406,0,,,,,,,off,5.0,0,WALK,first,on,1000
3,forward_ramp_no_lips,1,0,1,1,heading-only,0.04,1.438973999023439,2.609574127197263,0.7511849228831307,1.2256011471172144,9.530540184470162,0,,,,,,,off,5.0,0,WALK,first,on,1000
3,forward_ramp_no_lips,2,0,1,1,heading-only,0.04,1.6579772949218778,2.725231933593747,0.9792320859412426,1.09509875636308,9.071060354592095,0,,,,,,,off,5.0,0,WALK,first,on,1000
3,forward_ramp_no_lips,3,0,1,1,heading-only,0.04,1.4200180053711051,2.4627044677734347,0.6249084327590876,1.2314071861627514,9.341448466089018,0,,,,,,,off,5.0,0,WALK,first,on,1000
3,forward_ramp_no_lips,4,0,1,1,heading-only,0.04,1.5402587890625057,2.5970771789550753,0.8052209117926807,1.093588099248829,9.578369024929323,0,,,,,,,off,5.0,0,WALK,first,on,1000
3,forward_ramp_no_lips,5,0,1,1,heading-only,0.04,1.7904052734375,1.458103942871091,0.9583276230025236,0.8389737908450469,9.425185635035762,0,,,,,,,off,5.0,0,WALK,first,on,1000
3,forward_ramp_no_lips,6,0,1,1,heading-only,0.04,1.6722503662109602,2.6052616119384737,0.9045784508582602,0.9047813686123437,8.998129255900123,0,,,,,,,off,5.0,0,WALK,first,on,1000
3,forward_ramp_no_lips,7,0,1,1,heading-only,0.04,1.6198760986328296,2.5982025146484347,0.861447982287943,1.002462525379242,9.149699924196819,0,,,,,,,off,5.0,0,WALK,first,on,1000
3,forward_ramp_no_lips,8,0,1,1,heading-only,0.04,1.6013610839843864,2.6120193481445284,0.8580226313064998,0.9572991605630264,9.568232482070586,0,,,,,,,off,5.0,0,WALK,first,on,1000
3,forward_ramp_no_lips,9,0,1,1,heading-only,0.04,1.757269287109409,2.601109313964841,0.9668449619946697,0.9022844602252905,9.41194574209887,0,,,,,,,off,5.0,0,WALK,first,on,1000
4,flush_a_frame,0,0,1,1,heading-only,0.04,1.4021269083023071,2.445509338378905,0.6001538310829829,1.6266871248325596,13.705116044997158,0,,,,,,,off,5.0,0,WALK,first,on,1000
4,flush_a_frame,1,0,1,1,heading-only,0.04,1.4624992370605483,2.621939086914061,0.7750572702149727,1.4725111812066412,12.652795491950652,0,,,,,,,off,5.0,0,WALK,first,on,1000
4,flush_a_frame,2,0,1,1,heading-only,0.04,1.3280746459960966,2.45030059814453,0.5571387637158138,1.4090341140066809,12.979738750011055,0,,,,,,,off,5.0,0,WALK,first,on,1000
4,flush_a_frame,3,0,1,1,heading-only,0.04,1.5012481689453239,2.587351226806639,0.7721600808785081,1.4687237781687048,13.211814082910815,0,,,,,,,off,5.0,0,WALK,first,on,1000
4,flush_a_frame,4,0,1,1,heading-only,0.04,1.4658111572265682,2.580728912353514,0.744463635001771,1.4338356512953672,13.746460971413887,0,,,,,,,off,5.0,0,WALK,first,on,1000
4,flush_a_frame,5,0,1,1,heading-only,0.04,1.48065185546875,2.6614860534667955,0.8176735320998401,1.1882286264574253,12.636673272337749,0,,,,,,,off,5.0,0,WALK,first,on,1000
4,flush_a_frame,6,0,1,1,heading-only,0.04,1.6346679687500227,2.6117843627929673,0.8815234183589662,1.268781818372558,11.881093565760885,0,,,,,,,off,5.0,0,WALK,first,on,1000
4,flush_a_frame,7,0,1,1,heading-only,0.04,1.5389739990234546,2.684866333007811,0.8715129750674403,1.1286838085650142,12.080454879279989,0,,,,,,,off,5.0,0,WALK,first,on,1000
4,flush_a_frame,8,0,1,1,heading-only,0.04,1.7002075195312614,2.5167182922363267,0.8702231690432908,0.9097122998595235,13.209902320644543,0,,,,,,,off,5.0,0,WALK,first,on,1000
4,flush_a_frame,9,0,1,1,heading-only,0.04,1.495275878906284,2.6430305480957017,0.811656628144347,1.3365526676334543,12.621115578849066,0,,,,,,,off,5.0,0,WALK,first,on,1000
5,sphere_bump,0,0,1,1,heading-only,0.04,4.1197943687438965,2.9768028259277344,3.2691376024857894,2.0128542802677636,11.770805746094565,0,,,,,,,off,5.0,0,WALK,first,on,1000
5,sphere_bump,1,0,0,1,heading-only,0.04,0.9866043090820327,2.0110321044921875,0.017353727688777878,0.5135142089394057,14.763399812846115,1,,,,,,,off,5.0,0,WALK,first,on,1000
5,sphere_bump,2,0,1,1,heading-only,0.04,1.9226181030273466,2.6133689880371094,1.1079014755471026,1.1496468378422342,13.491332191904995,0,,,,,,,off,5.0,0,WALK,first,on,1000
5,sphere_bump,3,0,1,1,heading-only,0.04,2.38037567138673,1.4611701965332031,1.481814614336231,1.2964827919697477,12.531214262261637,0,,,,,,,off,5.0,0,WALK,first,on,1000
5,sphere_bump,4,0,1,1,heading-only,0.04,2.1102661132812557,2.7496070861816406,1.3396274205742416,1.4093485673804138,12.512208571819128,0,,,,,,,off,5.0,0,WALK,first,on,1000
5,sphere_bump,5,0,1,1,heading-only,0.04,2.22686767578125,2.704071044921875,1.4145389108024804,1.3619105459086034,12.093644618327152,0,,,,,,,off,5.0,0,WALK,first,on,1000
5,sphere_bump,6,0,1,1,heading-only,0.04,1.5694061279297102,2.6178741455078125,0.8402331808557164,1.2207228028885615,12.545818078007203,0,,,,,,,off,5.0,0,WALK,first,on,1000
5,sphere_bump,7,0,1,1,heading-only,0.04,2.1599151611328296,2.642566680908203,1.3260072097990956,1.3096439291919058,11.557960461416439,0,,,,,,,off,5.0,0,WALK,first,on,1000
5,sphere_bump,8,0,1,1,heading-only,0.04,1.9512451171875114,2.676013946533203,1.1669884870385305,1.257948674440993,11.51860923509914,0,,,,,,,off,5.0,0,WALK,first,on,1000
5,sphere_bump,9,0,1,1,heading-only,0.04,1.993933105468784,1.4250831604003906,1.1482301122170695,1.3380221488184978,11.270739607790468,0,,,,,,,off,5.0,0,WALK,first,on,1000
6,box_jump_even,0,0,2,1,heading-only,0.04,2.943809747695923,2.590310668945307,2.0314681934769108,0.9447349607602519,8.027923083958859,0,,,,,,,off,5.0,0,WALK,first,on,1000
6,box_jump_even,1,0,2,1,heading-only,0.04,3.3103691101074233,1.4024291992187443,2.3863981828028864,0.8851909021357199,7.962087008422022,0,,,,,,,off,5.0,0,WALK,first,on,1000
6,box_jump_even,2,0,2,1,heading-only,0.04,2.9791366577148466,1.7500091552734318,1.994862735217087,0.9482024890326964,8.474551385537618,0,,,,,,,off,5.0,0,WALK,first,on,1000
6,box_jump_even,3,0,2,1,heading-only,0.04,3.1134765625000114,2.7340942382812443,2.237337151820124,1.12374590450702,7.6717263091278465,0,,,,,,,off,5.0,0,WALK,first,on,1000
6,box_jump_even,4,0,2,1,heading-only,0.04,2.8542236328125057,2.6143127441406193,1.9533369980866035,1.2295190193757177,8.31849058916341,0,,,,,,,off,5.0,0,WALK,first,on,1000
6,box_jump_even,5,0,2,1,heading-only,0.04,2.86822509765625,2.6020523071289006,1.9628377406275683,1.1027661425862483,8.503115456969137,0,,,,,,,off,5.0,0,WALK,first,on,1000
6,box_jump_even,6,0,2,1,heading-only,0.04,3.1885620117187727,2.6947036743164006,2.296174399789186,1.112883210977796,8.390247816779986,0,,,,,,,off,5.0,0,WALK,first,on,1000
6,box_jump_even,7,0,2,1,heading-only,0.04,3.0195953369140796,2.6729064941406193,2.1287481003495254,1.1829911915525069,9.055440990307444,0,,,,,,,off,5.0,0,WALK,first,on,1000
6,box_jump_even,8,0,2,1,heading-only,0.04,2.7515686035156364,2.6312156677246037,1.8618339861552462,1.176950438087448,8.521840729556743,0,,,,,,,off,5.0,0,WALK,first,on,1000
6,box_jump_even,9,0,2,1,heading-only,0.04,3.176275634765659,0.6730781555175724,2.548901178908143,1.6602426682174207,9.170234208438298,0,,,,,,,off,5.0,0,WALK,first,on,1000
7,box_jump_uneven,0,0,2,1,heading-only,0.04,3.582029104232788,1.0302154541015582,2.7581436439331113,1.1499790476792047,9.268844021811718,0,,,,,,,off,5.0,0,WALK,first,on,1000
7,box_jump_uneven,1,0,1,1,heading-only,0.04,2.182981109619142,2.850245666503902,1.4568328658855831,0.8726131232410432,9.803957144870903,0,,,,,,,off,5.0,0,WALK,first,on,1000
7,box_jump_uneven,2,0,1,1,heading-only,0.04,2.353228759765628,2.79978866577148,1.5719064813637431,0.8753602802576821,10.527196605920691,0,,,,,,,off,5.0,0,WALK,first,on,1000
7,box_jump_uneven,3,0,1,1,heading-only,0.04,1.5655487060546989,2.6324035644531207,0.848398259812664,1.019157966259831,11.402002698322164,0,,,,,,,off,5.0,0,WALK,first,on,1000
7,box_jump_uneven,4,0,1,1,heading-only,0.04,1.3674224853515682,2.5899574279785114,0.6950173016328038,1.1570441569245304,10.698855645502444,0,,,,,,,off,5.0,0,WALK,first,on,1000
