ablation,argv,balance_comp,balance_kd_pitch,balance_kd_roll,balance_kp_pitch,balance_kp_roll,balance_max_rad,base_height_mean_m,best_mapping,best_mapping_r,cap_effort_target,cap_runtime_gains,clip,clip_archive,cmd_jump_rad,contact_rule,contact_threshold_n,decimation,dev_cmd_max_rad,dev_cmd_rms_calf_stance,dev_cmd_rms_calf_swing,dev_cmd_rms_hip_stance,dev_cmd_rms_hip_swing,dev_cmd_rms_thigh_stance,dev_cmd_rms_thigh_swing,dev_meas_rms_calf_stance,dev_meas_rms_calf_swing,dev_meas_rms_hip_stance,dev_meas_rms_hip_swing,dev_meas_rms_thigh_stance,dev_meas_rms_thigh_swing,dt,duty,duty_bare_threshold,duty_per_leg,fall_height_m,feet_down_hist,feet_down_mean,feet_down_min,flight_frac,foot_axis,foot_cap_hit_frac,foot_clip_rad,foot_comp,foot_hip_x_front_m,foot_k,foot_len_bias,foot_lever_m,foot_sign,foot_swing_source,foot_t_stance_s,foot_vel_filter_hz,foot_vx_des,foot_vy_log,foot_vy_target,foot_wz_log,foot_yaw,foot_yaw_bias,frac_below_3_feet,gain_writes,ground_friction_mu,handover_ang_dps,handover_feet_loaded,handover_speed_mps,hip_offset_rad_max,hip_sign,mode_requested,mode_used,n_cycles,n_steps,overwrite_frac_legsteps,overwrite_frac_time,phys_dt,plant_comp,plant_comp_alpha,rate,run_utc,settle_mode,start_feet_down,start_foot_spread_m,start_frame,start_phase,stride_cv,stride_hz,stride_hz_bare_threshold,swing_frac,swing_lift_added_mm,swing_lift_calf_max_rad,swing_lift_mm,swing_lift_sym,swing_lift_thigh_max_rad,switch_after_cycles,switch_step,switch_t_s,tag,term_reason,terminated_s,then_clip,torque_saturated_frac,verdict,via_clip,vx_mean,vy_mean,yaw_rate_deg_s
none,--clip TURN --rate lo --cycles 6 --headless --device cpu --results-csv outputs/roll2/turn_rate.csv,off,0.0,0.0,0.0,0.0,0.0,0.3318711817264557,identity,0.3651975917940338,True,True,TURN,skill_clips.npz,,schmitt+despeckle on force,1.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20141911506652832,0.1353643536567688,0.08014015853404999,0.07991185039281845,0.05119634047150612,0.037400022149086,0.019829280799998135,0.5340909090909091,0.7581168831168831,"[0.3051948051948052, 0.7532467532467533, 0.4155844155844156, 0.6623376623376623]",0.15,"[0, 11, 111, 32, 0]",2.1363636363636362,1,0.0,,0.0,0.0,off,0.0,0.0,0.0,0.0,0,,0.5998357441999437,0.0,0.007509986553621348,0.0143151,,-0.395449,,0.0,0.7922077922077922,0,1.3,16.456939531531987,4,0.04598168283700943,0.0,keep,position,position,1,154,0.0,0.0,0.004957320199999534,off,0.0,lo,2026-09-02T02:57:43Z,drop,4,nan,31,first,0.0,0.7758534230155655,2.0172188998404703,0.3344155844155844,{},0.0,0.0,1,0.0,,,,,roll,3.033879962399715,,0.0,FAIL,,-0.0296291746199131,-0.0926741287112236,-14.372697830200195
none,--clip TURN --rate hi --cycles 6 --headless --device cpu --results-csv outputs/roll2/turn_rate.csv,off,0.0,0.0,0.0,0.0,0.0,0.3429500162601471,identity,0.4045436130836606,True,True,TURN,skill_clips.npz,,schmitt+despeckle on force,1.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1804509162902832,0.06962255388498306,0.07073485851287842,0.06510210037231445,0.041948042809963226,0.02155202440917492,0.002385876032085337,0.6040552584670231,0.812945632798574,"[0.6140819964349377, 0.7014260249554367, 0.5837789661319073, 0.5169340463458111]",0.15,"[0, 6, 1417, 702, 119]",2.4162210338680925,1,0.0,,0.0,0.0,off,0.0,0.0,0.0,0.0,0,,0.5946796009972704,0.0,0.007509986553621348,0.0143151,,-0.395449,,0.0,0.6341354723707665,0,1.3,21.07001002337087,4,0.0444832406938076,0.0,keep,position,position,5,2244,0.0,0.0,0.0005964690080213342,off,0.0,hi,2026-09-02T02:57:43Z,drop,4,nan,285,first,0.04564248588775868,1.1206771665780393,13.097914384380832,0.3335561497326203,{},0.0,0.0,1,0.0,,,,,,,,0.0,WARN,,0.01489696092903614,0.025178229436278343,-19.277515411376953
