argv,drift_max_m,entry_frame,entry_frame_arg,family,fell,final_dist_m,foot_com_height_m,foot_comp,foot_gain,foot_len_bias,foot_offset_clip_m,foot_vy_avg_n,foot_yaw_bias,grid_cols,grid_rows,heading,heading_cap_rad,heading_len,heading_len_cap_rad,hip_saturated,inplace_at,level_m,n_probes,param,probe,reached,rep,roll_cap_nm,roll_couple,roll_gain,run_utc,score,settle_ok,skill,spawn_x,spawn_z0_m,steps,swing_lift_mm,swing_lift_sym,t_reached_s,tau_hip_max_nm,yaw_cum_deg,yaw_moment,yaw_moment_cap_nm,yaw_moment_gain,yaw_moment_nm,yaw_ok_deg
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 1 --skip-unsupported --foot-comp on --heading heading-only --trace-full --trace-npz outputs/roll2/t4_1.npz --results-csv outputs/roll2/t4.csv,,1,1,step_up,1,1.6261702051880547,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.22,15,skill.STEP_TROT_MAX,step_up_0p22,0,0,,off,,2026-09-02T02:38:46Z,goal,1,TROT,0.9999999999999964,0.0,901,0.0,1,nan,16.161664962768555,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 1 --skip-unsupported --foot-comp on --heading heading-only --trace-full --trace-npz outputs/roll2/t4_1.npz --results-csv outputs/roll2/t4.csv,,1,1,step_up,1,2.2370683985698583,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.24,15,skill.STEP_TROT_MAX,step_up_0p24,0,0,,off,,2026-09-02T02:38:46Z,goal,1,TROT,1.0,0.0,901,0.0,1,nan,13.947580337524414,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 1 --skip-unsupported --foot-comp on --heading heading-only --trace-full --trace-npz outputs/roll2/t4_1.npz --results-csv outputs/roll2/t4.csv,,1,1,step_up,1,2.332514980522757,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.26,15,skill.STEP_TROT_MAX,step_up_0p26,0,0,,off,,2026-09-02T02:38:46Z,goal,1,TROT,1.0,0.0,901,0.0,1,nan,13.94681167602539,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 1 --skip-unsupported --foot-comp on --heading heading-only --trace-full --trace-npz outputs/roll2/t4_1.npz --results-csv outputs/roll2/t4.csv,,1,1,step_up,1,2.1786493555505886,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.28,15,skill.STEP_TROT_MAX,step_up_0p28,0,0,,off,,2026-09-02T02:38:46Z,goal,1,TROT,0.9999999999999982,0.0,901,0.0,1,nan,13.954095840454102,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 1 --skip-unsupported --foot-comp on --heading heading-only --trace-full --trace-npz outputs/roll2/t4_1.npz --results-csv outputs/roll2/t4.csv,,1,1,step_up,1,15.835486594529291,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.3,15,skill.STEP_TROT_MAX,step_up_0p30,0,0,,off,,2026-09-02T02:38:46Z,goal,1,TROT,0.9999999999999964,0.0,901,0.0,1,nan,13.940218925476074,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 16 --skip-unsupported --foot-comp on --heading heading-only --trace-full --trace-npz outputs/roll2/t4_16.npz --results-csv outputs/roll2/t4.csv,,16,16,step_up,1,6.576937572319234,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.02,15,skill.STEP_TROT_MAX,step_up_0p02,0,0,,off,,2026-09-02T02:38:46Z,goal,1,TROT,1.0,0.0,901,0.0,1,nan,11.958829879760742,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 16 --skip-unsupported --foot-comp on --heading heading-only --trace-full --trace-npz outputs/roll2/t4_16.npz --results-csv outputs/roll2/t4.csv,,16,16,step_up,1,1.6792263967638128,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.04,15,skill.STEP_TROT_MAX,step_up_0p04,0,0,,off,,2026-09-02T02:38:46Z,goal,1,TROT,0.9999999999999982,0.0,901,0.0,1,nan,22.768634796142578,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 16 --skip-unsupported --foot-comp on --heading heading-only --trace-full --trace-npz outputs/roll2/t4_16.npz --results-csv outputs/roll2/t4.csv,,16,16,step_up,1,1.4294620122189428,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.06,15,skill.STEP_TROT_MAX,step_up_0p06,0,0,,off,,2026-09-02T02:38:46Z,goal,1,TROT,0.9999999999999964,0.0,901,0.0,1,nan,17.029560089111328,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 16 --skip-unsupported --foot-comp on --heading heading-only --trace-full --trace-npz outputs/roll2/t4_16.npz --results-csv outputs/roll2/t4.csv,,16,16,step_up,0,1.4169134912554509,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.08,15,skill.STEP_TROT_MAX,step_up_0p08,0,0,,off,,2026-09-02T02:38:46Z,goal,1,TROT,1.0,0.0,901,0.0,1,nan,12.01888370513916,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 16 --skip-unsupported --foot-comp on --heading heading-only --trace-full --trace-npz outputs/roll2/t4_16.npz --results-csv outputs/roll2/t4.csv,,16,16,step_up,0,1.432041564168329,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.1,15,skill.STEP_TROT_MAX,step_up_0p10,0,0,,off,,2026-09-02T02:38:46Z,goal,1,TROT,1.0,0.0,901,0.0,1,nan,16.553510665893555,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 16 --skip-unsupported --foot-comp on --heading heading-only --trace-full --trace-npz outputs/roll2/t4_16.npz --results-csv outputs/roll2/t4.csv,,16,16,step_up,0,1.3259284960215003,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.12,15,skill.STEP_TROT_MAX,step_up_0p12,0,0,,off,,2026-09-02T02:38:46Z,goal,1,TROT,0.9999999999999982,0.0,901,0.0,1,nan,11.97311782836914,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 16 --skip-unsupported --foot-comp on --heading heading-only --trace-full --trace-npz outputs/roll2/t4_16.npz --results-csv outputs/roll2/t4.csv,,16,16,step_up,0,1.7883051321917334,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.14,15,skill.STEP_TROT_MAX,step_up_0p14,0,0,,off,,2026-09-02T02:38:46Z,goal,1,TROT,0.9999999999999964,0.0,901,0.0,1,nan,20.244874954223633,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 16 --skip-unsupported --foot-comp on --heading heading-only --trace-full --trace-npz outputs/roll2/t4_16.npz --results-csv outputs/roll2/t4.csv,,16,16,step_up,1,1.932414265669593,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.16,15,skill.STEP_TROT_MAX,step_up_0p16,0,0,,off,,2026-09-02T02:38:46Z,goal,1,TROT,1.0,0.0,901,0.0,1,nan,11.962108612060547,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 16 --skip-unsupported --foot-comp on --heading heading-only --trace-full --trace-npz outputs/roll2/t4_16.npz --results-csv outputs/roll2/t4.csv,,16,16,step_up,1,2.0790551916292817,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.18,15,skill.STEP_TROT_MAX,step_up_0p18,0,0,,off,,2026-09-02T02:38:46Z,goal,1,TROT,1.0,0.0,901,0.0,1,nan,18.322526931762695,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 16 --skip-unsupported --foot-comp on --heading heading-only --trace-full --trace-npz outputs/roll2/t4_16.npz --results-csv outputs/roll2/t4.csv,,16,16,step_up,1,1.7129749091723487,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.2,15,skill.STEP_TROT_MAX,step_up_0p20,0,0,,off,,2026-09-02T02:38:46Z,goal,1,TROT,0.9999999999999982,0.0,901,0.0,1,nan,19.841115951538086,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 16 --skip-unsupported --foot-comp on --heading heading-only --trace-full --trace-npz outputs/roll2/t4_16.npz --results-csv outputs/roll2/t4.csv,,16,16,step_up,1,1.7861385058509867,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.22,15,skill.STEP_TROT_MAX,step_up_0p22,0,0,,off,,2026-09-02T02:38:46Z,goal,1,TROT,0.9999999999999964,0.0,901,0.0,1,nan,11.9677095413208,,off,nan,0.0,0.0,
